item,title,rating,body
'B083WV4S85','Sanitary napkin','1.0 out of 5 stars','Worst quality and not fixed.'
'B083WV4S85','expensive','2.0 out of 5 stars',It's good but very expensive.
'B083WV4S85','Long lasting','5.0 out of 5 stars','No leakage at all for night'
'B083WV4S85','Good','4.0 out of 5 stars','Product is very good.'
'B083WV4S85','Bindaaz night','5.0 out of 5 stars','The Whisper Bindazzz Night Sanitary Pads have truly impressed me! This pack of 16 thin pads XXL+ in size provides superior protection with zero leaks. They are not only 60% longer and wider but also incredibly comfortable to wear throughout the night. I appreciate the extra coverage which gives me peace of mind while sleeping. These pads are a game-changer for overnight protection and I highly recommend them for anyone seeking a reliable and comfortable solution during their menstrual cycle.'
'B083WV4S85','Bigger the better','5.0 out of 5 stars','The media could not be loaded.'
'B083WV4S85','Good','5.0 out of 5 stars','Good'
'B083WV4S85','Very bad quality','1.0 out of 5 stars',"There was no use wearing this pad, even if we put 2 pads together, it leaks. Very bad quality and doesn't hold as described"
'B083WV4S85','So thin','5.0 out of 5 stars','So soft n thin no visible lines of pad no leakage rashes free…'
'B083WV4S85','Very Nice','5.0 out of 5 stars','Very Comfortable'
