item,title,rating,body
'B084HJF136','Retro Rani 😍','4.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rjcor65vj4acn_1697140884263""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""258-3531501-6298733""refMarkers:""vse_reviews_desktop_RJCOR65VJ4ACN_1697140884263_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""SS7DHE6FS9HGVF52GPM5""customerId:""0""sessionType:1}mimeType:""video/mp4""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RJCOR65VJ4ACN""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RJCOR65VJ4ACN_1697140884263_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/I/D1Ubzs9oHIL.mp4""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RJCOR65VJ4ACN""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rjcor65vj4acn_1697140884263-player-31c135a8-4395-43cd-b287-0452df0e5f98""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""SS7DHE6FS9HGVF52GPM5""pageAsin:""""sessionId:""258-3531501-6298733""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""258-3531501-6298733""refMarkers:""vse_reviews_desktop_RJCOR65VJ4ACN_1697140884263_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""SS7DHE6FS9HGVF52GPM5""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RJCOR65VJ4ACN""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RJCOR65VJ4ACN_1697140884263_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/917nnMHOiUL._SY256.png""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa0-:- Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. The media could not be loaded either because the server or network failed or because the format is not supported. I liked the product. But there is a small defect in it. I usually listen to 92.7 fm. But in this when we tune in needle crosses 93 and then we get 92.7 fm. This can be seen in this vedio.But in place of 98.3 fm...it seems to be on right place. As clarity is goodIv decided not to return or replace it. I feel price is good for the product. Paisa wasool 😄'"
'B084HJF136','very good','5.0 out of 5 stars','i gift ths to my mom and she loved it this product a classy look and best sound qualiy and range is also good  its still working good  go for it buy this product'
'B084HJF136','Good product','4.0 out of 5 stars','FM sounds low. Otherwise good.'
'B084HJF136','Gift','4.0 out of 5 stars','Like Grand Parents'
'B084HJF136','Pathetic product','1.0 out of 5 stars',''
'B084HJF136','Great first impression','5.0 out of 5 stars',Have just started using it. But it's retro look is really good and its controls are senior friendly. My 90 year old mother liked it!
'B084HJF136','Nice and good product','5.0 out of 5 stars','Nice connectivity nice stereo output overall good product'
'B084HJF136','Not a good product','1.0 out of 5 stars','Very bad quality product. Both FM & AM signal reception ability of this radio is too low. Therefore the broadcasting is not audible.'
'B084HJF136','Don’t buy','1.0 out of 5 stars','Waste and cheap material. Avoid buying this.'
'B084HJF136','Nice product..','5.0 out of 5 stars','I have used just a day but seems good product on initial review  sound is clear and big antena so no shhhh sound battery yet to check overall good product'
