item,title,rating,body
'B084HZT32P','Good quality','5.0 out of 5 stars','Good quality and reasonably priced.'
'B084HZT32P','Quality is good','5.0 out of 5 stars','Must buy for suite safety. Good quality and trusted vender'
'B084HZT32P','Review after use','3.0 out of 5 stars','Zip quality not good'
'B084HZT32P','Low Quality','1.0 out of 5 stars','Fabric Zippers and stitching everything is very low in quality. It will be useable for 4-5 times only.'
'B084HZT32P','Quality','4.0 out of 5 stars','Quality of the product is good'
'B084HZT32P','Good quality at descent price','5.0 out of 5 stars','Good quality ptoduct at descent price.'
'B084HZT32P','Worth it','5.0 out of 5 stars','Great price good product'
'B084HZT32P','totally useless low class quality','1.0 out of 5 stars',The media could not be loaded. I don't know why Amazon have put this products on their gallery as my experience after buying this is that this product is totally regretting buying this very low class cheap quality the stitching are worse I have never seen such low quality jacket suit cover in my life
'B084HZT32P','Nice','5.0 out of 5 stars',It's nice. Happy with the product
'B084HZT32P','Very poor','1.0 out of 5 stars','Zipper was stuck Little force applied jus tore the whole thing.'
'B084HZT32P','Good Quality','5.0 out of 5 stars','Good'
'B084HZT32P','Uniform cover','1.0 out of 5 stars','Not a good waist money'
'B084HZT32P','New. Light. Dimensions should be marked.','3.0 out of 5 stars','Both look new. Black is 93 x 61cm. Grey is 91 x 58cm. Black cover zip is not stitched properly. The zips need to be handled gently.'
'B084HZT32P','Good quality','5.0 out of 5 stars','Good quality'
'B084HZT32P','Value For Money','5.0 out of 5 stars','ExcellentSuperb Fabulous Fantastic product. Thank You Amazon. Thank You Seller'
'B084HZT32P','Just an average quality','3.0 out of 5 stars','Not recommended.'
'B084HZT32P','Bad zip quality','3.0 out of 5 stars','Zip quality is very bad'
'B084HZT32P','Made for hanging but no provision for that','1.0 out of 5 stars','It’s a big problem with Kuber product. They are not providing space for hanger hook to come out. I purchased 4 out of which in 3 there is no cut for hanger hook to come out.'
'B084HZT32P','Value for money','5.0 out of 5 stars','Good quality covers considering the price.'
'B084HZT32P','Good','2.0 out of 5 stars','Everything was good  If possible please provide small bag space To use put it on tie 👔'
'B084HZT32P','worth it','5.0 out of 5 stars','Worth for the money. The matl. seems to be like paper cloth need to see the durability over a time period.'
'B084HZT32P','Poor Quality','1.0 out of 5 stars','Made of non oven fabric and started tearing apart immediately. Stitching is uneven. Better to go for some better quality product.'
'B084HZT32P','Pathetic quality','1.0 out of 5 stars','Looks like Amazon ceased their QA program. The product delivered had holes in it. Had to return the same day.'
