item,title,rating,body
'B084XMYGBF','Nice','5.0 out of 5 stars','Beautiful sofa colour and everything...'
'B084XMYGBF','It seems wood or material is infected by pests','2.0 out of 5 stars','It seems there is a problem with the material used . Upon usage my body starts itching I have used a lot of insecticide but doesn’t seem to wrk .looks finishing appearance is good.'
'B084XMYGBF','Very hard seat, solid but','2.0 out of 5 stars''Comfort not much'
'B084XMYGBF','Lshaped Lounge','4.0 out of 5 stars',"Good One Improvement Points: A. The density of the foam used must be specified, we don't know what is there inside B. As the set contains two disjoint pieces, can think of providing joiners, so that they don't move freely C. The packing requires improvement, especially corners as handling damages could be noticed D. Back cushions are good but the outer cover can't be removed, for washing purposes. E. If an upper covering cloth for the whole of the L-shaped lounge can be designed, that would be nice, as this is non-washable, the only way is to dry clean by a vacuum cleaner!!  It is less than two months since we have been using it, it has a warranty for three years, let us see how the usage journey takes the shape"
'B084XMYGBF','Less comfort one','3.0 out of 5 stars','The product is okay. But the comfort level is low. Not a soft material. We need a technician to assemble it.'
'B084XMYGBF','Good product but received damage in corners','4.0 out of 5 stars','The product is good but i have received little damage on corners of the sofa Delivery was fast though'
'B084XMYGBF','Poor quality leg support','1.0 out of 5 stars','We purchased this product through Amazon very poor quality leg support got bend and broken within a year'
'B084XMYGBF','Poor quality','1.0 out of 5 stars',The quality and cushioning is very bad....i will not refer this brand to anyone...it's pathetic And they send sofa of 2 different colours
'B084XMYGBF',Don't buy the product.,'1.0 out of 5 stars',"The media could not be loaded. The quality is not up to the mark. My sofa got damaged within 2 years, and Amazon has failed to provide the warranty. Don't buy the product."
'B084XMYGBF','Worst product','1.0 out of 5 stars','Spring got detached from the bottom of sofa in just 4 months'
'B084XMYGBF','Value for money','5.0 out of 5 stars','Super quality fabricate with fantastic finishvery easy to assemble best quality package'
'B084XMYGBF','Very bad sofa','1.0 out of 5 stars',I'm a prime member since so many years and I trust Amazon a lot. But when I purchased this sofa I got manufacturing defects in this sofa. Very bad quality and service. The customer service is also not responding to claim my warranty within the time. Please don't purchase this sofa.
'B084XMYGBF','Smaller than expected.','3.0 out of 5 stars','The media could not be loaded. Sitting section is smaller than expected. But product is looking good and sturdy.'
'B084XMYGBF','Legs were missing','1.0 out of 5 stars','The media could not be loaded. Parts missing'
'B084XMYGBF','Value for money!','5.0 out of 5 stars','Delivered quickly looks elegant and is quite sturdy too. Would recommend.'
'B084XMYGBF','Poor wood used','3.0 out of 5 stars','There is powdered wood dropping from a point which indicates infestation.'
'B084XMYGBF','Worst Quality Sofa','1.0 out of 5 stars',"After only 3-4 months of usage, the sofa broke from the bottom and springs came out(Photo attached). Now the sofa is sinking a lot from where the springs came out and not usable at all. Getting support also has been nightmare and haven't had any luck even after trying for 2 months."
'B084XMYGBF','Comfortable and easy to assemble','4.0 out of 5 stars','The product got delivered on time and is fairly simple to assemble.. looks sturdy as of now.. the material is very comfortable as well.. overall a good purchase..'
'B084XMYGBF','Size is good and the cloth is ok','4.0 out of 5 stars','Value for money.'
'B084XMYGBF','Receiver two different colors for lounger and sofa','1.0 out of 5 stars',Received two different colors. One is LHS and other is RHS. initially ordered 6 seater from the same brand and seller but received both 3-3 seater sofa and no lounger and then legs were missing. Returned that and now ordered this one and problem with this one too. Seller doesn't respond. Very inconvenient.
'B084XMYGBF','Pricing of the product is not right.','1.0 out of 5 stars','Price is too high and it is flexible from 34000 to 22000.Apart from this post sales service is also not provided.I will not recommend anyone to buy product from Amazon wit such issue.'
'B084XMYGBF',It's very good product and value for money.,'4.0 out of 5 stars','Assembly is very easy . Perfect l shape sofa and good for 4 adult'
'B084XMYGBF','Its simply amazing and value for money','5.0 out of 5 stars','Overall a good product'
'B084XMYGBF','Good and value for money product','5.0 out of 5 stars','good product value for money. legs and connection of bolt need to improve'
'B084XMYGBF','Good for price. The product is nice but the fabric has loosened after regular use.','5.0 out of 5 stars','I like the color design and the price. Its a basic sofa with springs'
'B084XMYGBF','Real value for money','5.0 out of 5 stars','Product exactly as described and shown in picture. Fabric quality is very good finish is excellent seating is very comfortable.'
'B084XMYGBF','Value for money!','4.0 out of 5 stars','The media could not be loaded.'
'B084XMYGBF','Poor Quality and not long lasting','3.0 out of 5 stars','Within In 4 months it seems I need get it repair because the legs loosen and sofa is shaking'
'B084XMYGBF','Very hard cushioning. Not at all comparable to a comfortable sofa.','1.0 out of 5 stars',Worst experience with this sofa don't trust Amazon. It is disheartening to see Amazon partner with this cheap quality brand Solimo. Wastage of hard earned money. Comfort of the sofa needs to be upgraded drastically to even consider it as a sofa.
'B084XMYGBF','Legs missing','1.0 out of 5 stars','Legs missing'
