item,title,rating,body
'B085CZ3SR1','my phone battery gone','1.0 out of 5 stars','my phone battery gone after used one month. I am using redmi note 5 pro pls dont buy if you are using redmi note 5 pro'
'B085CZ3SR1','Good','5.0 out of 5 stars','Good'
'B085CZ3SR1','Nice','5.0 out of 5 stars','Nice'
'B085CZ3SR1','Value for money','5.0 out of 5 stars','Good quality and value for money'
'B085CZ3SR1','Horrible','1.0 out of 5 stars',It doesn't work on redmi k20. And the major issue cannot be returned or exchanged. Customer care assistant were completely dismissive and didn't help me out. Over all horrible experience
'B085CZ3SR1','Original genuine product by Amazon','5.0 out of 5 stars','Original genuine product by Amazon'
'B085CZ3SR1','Charger','4.0 out of 5 stars','Ok hai  slow hai  lakin ek baat ache thi agar koe problem hota hai tho exchange hojatahai.'
'B085CZ3SR1','Review','5.0 out of 5 stars','Nice 👍'
'B085CZ3SR1','Company product','5.0 out of 5 stars','Best quality'
'B085CZ3SR1','Cabel','5.0 out of 5 stars','Good having long cabel'
'B085CZ3SR1','Good quality','5.0 out of 5 stars','Charger is very good for redmi note 4 with good build quality and supply the sufficient charging but cons to xiaomi for locking the fast charging on note 4'
'B085CZ3SR1','Good Quality','3.0 out of 5 stars','Really works good'
'B085CZ3SR1','Average product','3.0 out of 5 stars','Average product'
'B085CZ3SR1',Didn't like,'3.0 out of 5 stars','Is a product not linked. Mobile charging is very slow.'
'B085CZ3SR1','Warranty','5.0 out of 5 stars','product looks good but how to claim its warranty if require..?'
'B085CZ3SR1','Good','5.0 out of 5 stars','Good'
'B085CZ3SR1','Charging','1.0 out of 5 stars','Adapter is not work'
'B085CZ3SR1','Super','5.0 out of 5 stars','Excellent 👌'
'B085CZ3SR1','worst experience ever by amazon and mi provider','1.0 out of 5 stars',when i connected my mobile phone for charging.it doesn't showing charging because mi provided me a defective piece. so don't buy
'B085CZ3SR1','Value for money.','5.0 out of 5 stars','Good performance.'
'B085CZ3SR1','good','5.0 out of 5 stars','i think this is good for normal phone charging. this is simple charger. its look is too good.'
'B085CZ3SR1','Good length and quality','5.0 out of 5 stars',''
'B085CZ3SR1','Bad product','1.0 out of 5 stars','Even my 3.5 years old charger works better than this😔'
'B085CZ3SR1','No','1.0 out of 5 stars','No any life'
'B085CZ3SR1','Charger is not working properly','1.0 out of 5 stars','Kindly replace the product'
'B085CZ3SR1','Valule For Money','5.0 out of 5 stars','Fast Charging 👍👍👍👍'
'B085CZ3SR1','Good','5.0 out of 5 stars','Best part is enough cord length'
'B085CZ3SR1','Go for it','5.0 out of 5 stars','Good quality the cable length is to be appreciated fast charging'
'B085CZ3SR1','Not as expected','3.0 out of 5 stars','Its a good charger but the strength and the level of good charge as Xiomi offer initially is not good. Xiomi Offers initially great products with highly satisfied product and charged speedly but now its a okay type product. As now If Spent 200-400 i get fast charger. But still its a usable product.'
'B085CZ3SR1','GOOD ONE','5.0 out of 5 stars','VERY GOOD  ORIGINAL PRODUCT'
'B085CZ3SR1','worse product','1.0 out of 5 stars',It's not working in two weeks.
'B085CZ3SR1','Good','5.0 out of 5 stars','Good'
'B085CZ3SR1','Mi acha projekt hai','3.0 out of 5 stars','May 20 din uj kar rha hu good projekt hai'
'B085CZ3SR1','Charger','5.0 out of 5 stars','Excellent'
'B085CZ3SR1','Goat ally waste','1.0 out of 5 stars','I didn’t not receive the charging wire at all'
'B085CZ3SR1','MI Branded Product','5.0 out of 5 stars','Charging speed is good original and cheaper then stores Go for it Also MI Original Charger.'
