item,title,rating,body
'B086WYXS7X','Normal size notepad good quality','5.0 out of 5 stars','Good 👍'
'B086WYXS7X','Meet the expectation','5.0 out of 5 stars','Strong cover pages and quality paper'
'B086WYXS7X','Quality is Good but received front design differently','4.0 out of 5 stars','Quality is good but received different front design.'
'B086WYXS7X','Worst product until know','1.0 out of 5 stars',"The media could not be loaded. It's is not at all a good product, plz don't buy it the front is good but talking about the back it's just a thin bad quality cardboard with loose paper and I didn't knew before buying it that it is a non refundable item"
'B086WYXS7X','Fast delivery and good quality','5.0 out of 5 stars','Fast delivery and good quality'
'B086WYXS7X','Good','4.0 out of 5 stars','Good'
'B086WYXS7X','Worth buying','4.0 out of 5 stars','Paper quality is also good.'
'B086WYXS7X','Nice not pad','5.0 out of 5 stars','Good quality'
'B086WYXS7X','Worth the price','5.0 out of 5 stars','Good quality 👍🏻.'
'B086WYXS7X','Nice one','4.0 out of 5 stars','Good quality'
'B086WYXS7X','Ordered pack of three. But received only one. Money is gone 😕','1.0 out of 5 stars',''
'B086WYXS7X','Too good','5.0 out of 5 stars',I don't think you would get a better quality than this for the price. And this book is more than enough to write short notes ..office or home use ..works out well ...thank you!
'B086WYXS7X','Good','5.0 out of 5 stars','Decent notebook but price is slightly on higher side.'
'B086WYXS7X','Great for notes!','5.0 out of 5 stars','This is a good product for daily notes. It’s not too expensive and the page quality is decent. Go for it!'
'B086WYXS7X',It's awesome,'5.0 out of 5 stars',''
'B086WYXS7X','Amazing!','5.0 out of 5 stars',The media could not be loaded. It's Awesome! Amazing product! Received a set of 3books as mentioned with no damage! Colorful cover pages! ❤️❤️❤️
'B086WYXS7X','Good quality','5.0 out of 5 stars','Good product. Good page quality'
'B086WYXS7X','Value for money','4.0 out of 5 stars','Nice product'
'B086WYXS7X','Will keep buying','5.0 out of 5 stars',I have started to write with my left hand. And I was trying to find a top wiro bound that is suggested for lefties. But I was unable to find any other brand in an affordable range.  But I found this one. And the paper quality is good. I am attaching the backside of the paper sheet writing with energel and zebra highlighters. There's mostly shadowing. Works for me. I also loved the paper quality of some other products of Navneet too.  It's easy to write on both the sides.  Plus the covers are also nice. Although there room for improvement.  Even the lines are all grey which I like better than black.  Given the quality of the paper and top wiro binding it's value for money if you compare it with other brands.  But I also feel that they should also come out with a cheaper version as well. Which could be used roughly.  I will keep buying these once I have finished. Love these notebooks.
'B086WYXS7X','Awsome!','4.0 out of 5 stars','Product is Awsome and on time delivery.'
'B086WYXS7X','Navneet quality','5.0 out of 5 stars','Great note books. Thick paper great quality. Always happy with Navneet'
'B086WYXS7X','mast writing pads','5.0 out of 5 stars','truely wonderful !!!!!!!!! very comfortable while writing !!!!!!! superb built !!!!!!!'
'B086WYXS7X','Worth','5.0 out of 5 stars','Worth'
'B086WYXS7X','Go for it','5.0 out of 5 stars','Absolutely love them.'
'B086WYXS7X','Value for money','5.0 out of 5 stars','Nice product'
'B086WYXS7X','Fast delivery and nice product','5.0 out of 5 stars','I ordered this in night and received next morning. nice notebooks and fulfilling my purpose.'
'B086WYXS7X','All went well, as expected.','5.0 out of 5 stars''I have not yet opened the transparent packaging but the notepads seem to be exactly as described on Amazon. The speed of delivery was amazing.'
'B086WYXS7X','Product Quality and Quantity','1.0 out of 5 stars','Product was delivered on time. On opening the packaging it was found that instead of 3 nos only one was there inside the pack. Was it intentional or some negligence.  Also the quality of paper was not upto the mark based on the similar products in the market.  Would implore the supplier to deliver the balance quantity'
'B086WYXS7X','Good but the design is very bad','1.0 out of 5 stars','On first purchase: Everything is perfect but the design is not good also I feel the price is high.  This is my second purchase review: They cheated. In my first order I received a great top cover with plastic coated. But now I received without plastic coated so if any water feels on this notebook it will tear.'
