item,title,rating,body
'B088MVGB92','12 pcs','5.0 out of 5 stars',''
'B088MVGB92','Good','5.0 out of 5 stars','Good'
'B088MVGB92','Incomplete set','1.0 out of 5 stars','Single size per wrench. Without a 15 inch it is incomplete. Most common sizes are missing'
'B088MVGB92','Quality is good for house hold','4.0 out of 5 stars','Cover was torn in few areasnot for heavy duty purpose'
'B088MVGB92','Quality','4.0 out of 5 stars','Good product so recommended to others to buy.'
'B088MVGB92','Worth product value for money','5.0 out of 5 stars','Its very handy and usefull tools for multi purpose but not dor heavy duty services'
'B088MVGB92','Not Good Experience','1.0 out of 5 stars','Matrial not received good Condition &some part Missing'
'B088MVGB92','Good 👍','5.0 out of 5 stars','Value for money'
'B088MVGB92','Good but something missing','1.0 out of 5 stars','Good quality but some size of mm like 1516182021 are not available these are important size to rapair bicycle'
'B088MVGB92','The best product!!','5.0 out of 5 stars','Excellent quality and cost effective!!'
'B088MVGB92','Nice','4.0 out of 5 stars','Nice'
'B088MVGB92','Tools','4.0 out of 5 stars','Product quality is good worth of money I love it'
'B088MVGB92','9 No useles। 16 No useful please add 16No','4.0 out of 5 stars','STANLEY IS GOOD'
'B088MVGB92','Very well-made product at an affordable price','5.0 out of 5 stars','Using it for a few days.Very well-made product at an affordable price. Strongly recommend it for a house or car.'
'B088MVGB92','Old product','1.0 out of 5 stars','Some old wrenches are kept in the set'
'B088MVGB92','Good','3.0 out of 5 stars','Good Quality'
'B088MVGB92','Bad quality','1.0 out of 5 stars','Bad quality'
'B088MVGB92','Good for home use','4.0 out of 5 stars','Not for heavy use.good for occasional use.'
'B088MVGB92','Gooy','4.0 out of 5 stars','Good'
'B088MVGB92','Good product','4.0 out of 5 stars','Good product. .. Much more than I expected. .. There was nothing I disliked.'
'B088MVGB92','Average','3.0 out of 5 stars','Ok ok not heavy duty use very small size'
'B088MVGB92','Great','5.0 out of 5 stars','Value For Money'
'B088MVGB92','A must have spanner set to have','4.0 out of 5 stars','A good quality spanner set. I wish a storage box is given. Hence reducing one star.'
'B088MVGB92','good','4.0 out of 5 stars','quality'
'B088MVGB92','Great choice..!','5.0 out of 5 stars','Sleek and strong. Because of the slim design it will reach in to the deeper portions of the automobile parts..'
'B088MVGB92','Did not meet expectation','3.0 out of 5 stars','Product could be more better does not feel like premium. Also the box seems to be already opened. Found 2 tears in the cover. Why should I purchase a new one having these issues?'
'B088MVGB92','Good quality','5.0 out of 5 stars','Stanley spanner tool kit has mostly all common numbers and the quality is good. The costing is nice does not gets removed when used. The frame has proper slots to keep them in order.'
'B088MVGB92','Good products','4.0 out of 5 stars','Nice products'
'B088MVGB92','Good product','5.0 out of 5 stars','Product kuwalty is good'
'B088MVGB92','Okay quality','3.0 out of 5 stars','Value for money.'
'B088MVGB92','Fabulous Wrench','5.0 out of 5 stars','Very helpful wrench 🛠️'
'B088MVGB92','Great deal','5.0 out of 5 stars','Good product'
'B088MVGB92','Matching of spanner sizes are not as expected..','3.0 out of 5 stars','Spanner sizes doest not match exactly to the Nut as it is suppose to be..This causes slipping of spanner..'
'B088MVGB92','Good','5.0 out of 5 stars','Very good product'
'B088MVGB92','Good','4.0 out of 5 stars','Very good 👍'
'B088MVGB92','This is worth buying','5.0 out of 5 stars',The media could not be loaded. I bought this for small work at home and it is fully serving it's job. It is strong sturdy and of various size. So if you're looking to buy one. You can go with it.
'B088MVGB92','Very Useful Product','5.0 out of 5 stars','One of the most useful wrench in this budget. u can use it as personal and commercial purposes'
'B088MVGB92','Product is well made. It’s made in India.','5.0 out of 5 stars','It’s a made in India product and the quality is really good. I give this a high rating.'
'B088MVGB92','Good quality','4.0 out of 5 stars','Good quality'
'B088MVGB92','இவர்களுடைய சர்வீஸ் பரவாயில்லை','1.0 out of 5 stars','நல்ல கம்பெனி பொருள் ஆனால் எனக்கு வந்ததில் ஒரு ஸ்பேனர் மட்டும் மிகவும் வளைந்த நிலையில் இருந்தது'
'B088MVGB92','Very good at cheap price','5.0 out of 5 stars','Very good product at cheap price'
'B088MVGB92','Good','5.0 out of 5 stars','Nice product'
'B088MVGB92','Fantastic Product!','5.0 out of 5 stars','High quality. Go for it.'
'B088MVGB92','Sizes are not accurate','2.0 out of 5 stars','If you want to buy it for random Household chore you can go for it otherwise i buy it for bike and it ended up de gripping 2 screws because of inaccurate sizes.'
'B088MVGB92','Good','4.0 out of 5 stars','👍'
'B088MVGB92','Good','4.0 out of 5 stars','Very good'
'B088MVGB92','Quality not there','1.0 out of 5 stars','Not worth for the money'
'B088MVGB92','Good quality product.','5.0 out of 5 stars',The spanner set is good for the price. Though it does not look genuine as it has a sticker for the brand. Haven't used for heavy work so will update later. Some sizes are not included which can be bought separately if required. Good buy.
'B088MVGB92','Grip is superb','5.0 out of 5 stars','Very nice and strong'
'B088MVGB92','EXECELLENT PRODUCT','5.0 out of 5 stars','EXECELLENT PRODUCT MUST HAVE FOR AUTOMOBILE'
