item,title,rating,body
'B089GXZHXT','Good product under budget','5.0 out of 5 stars','Very nice product received in good condition. Packaging was good. Material is non sticky and breatheable. Will purchase again. The best part is it has pockets which is very helpful.'
'B089GXZHXT','Good','4.0 out of 5 stars',I don't like the material but overall its good.
'B089GXZHXT','Nice fit','5.0 out of 5 stars','No camel toe issue'
'B089GXZHXT','Not the same color','2.0 out of 5 stars',The color is so shiny and lighter version of maroon. It's bad but the over all quality is fine
'B089GXZHXT','Very comfortable.....','5.0 out of 5 stars','Worth to buy'
'B089GXZHXT','Good stretchable quality','4.0 out of 5 stars','Value for money'
'B089GXZHXT','Must buy','5.0 out of 5 stars',Must buy products...I love it ..it's very comfortable and frdly for skin ...you can use for yoga and gym both .... value for money...warth it ..
'B089GXZHXT',I don't like quality and fut of the product,'2.0 out of 5 stars',Material used isn't comfortable
'B089GXZHXT','Awesome','5.0 out of 5 stars','Lovely'
'B089GXZHXT','Comfortable and stylish','5.0 out of 5 stars',"Got this at 350rs and they fit me perfectly, pocket are easy and my mobile didn't fall even when I was running. They are dry fit too so absorb sweat.. loved it"
'B089GXZHXT','Appearance is good....','5.0 out of 5 stars','Comfort cloth and stretchy....'
'B089GXZHXT','Great for gym use','4.0 out of 5 stars','Better than I expected'
'B089GXZHXT','Satisfied','5.0 out of 5 stars',Satisfied with the product. Receive the same item as shown in the picture. But the colour is slite changed that order for the maroon colour and I received the wine colour but still it's nice 🙂 go for it guys. 🤘🏻
'B089GXZHXT','Not expected','2.0 out of 5 stars',The media could not be loaded. I ordered L size but I received S size and the price tag mentioned L size but brand tag mentioned S size.. Product quality is good. It's worth buying
'B089GXZHXT','Good quality','4.0 out of 5 stars','Extra strachable. Got on a vood deal for 355'
'B089GXZHXT','Shapewear of very poor quality','1.0 out of 5 stars','Very poor quality will tear in one wear.'
'B089GXZHXT','Good for price','4.0 out of 5 stars',Good price definitely worth it but I didn't like the texture of the cloth is not smooth like other gym pants.It should have been smoother then it would ha e been perfect.I think they need to improve that.
