item,title,rating,body
'B089KJJFF3','Water goes inside the raincoat','1.0 out of 5 stars',Please don't buy.
'B089KJJFF3','Good purchase','4.0 out of 5 stars','Material is excellent'
'B089KJJFF3','Good product and loose fit','4.0 out of 5 stars','Good for walking people ...but not good for two wheel riders as it lengthy and loosly'
'B089KJJFF3','Good','5.0 out of 5 stars',Value for money. Product is good looking. We'll finish and comfortable wear. Long lasting material. Good for ages.
'B089KJJFF3','Good Product Quality','4.0 out of 5 stars','Great finishing. Good Quality. Nice fit'
'B089KJJFF3','Quality','5.0 out of 5 stars','NYC product with good quality'
'B089KJJFF3','Nuts','3.0 out of 5 stars','Good'
'B089KJJFF3','good','4.0 out of 5 stars','good'
'B089KJJFF3','Bad quality','1.0 out of 5 stars','Zip broken on the day of opening itself. Though it was mentioned free size Fit was not apt. Overall experience was bad. Hence returned. Surprised was it was Amazon recommended product'
'B089KJJFF3','Quality','5.0 out of 5 stars','The quality of the rain coat is very good . It is a double layered and easy to use . We can pack it and put it in a bag if it is not in use means .worth for money'
