item,title,rating,body
'B089KLXRZ6','Verry lower quality','1.0 out of 5 stars',💦 water likege not good 😊 don't buy any body
'B089KLXRZ6','Very good','4.0 out of 5 stars','Very good'
'B089KLXRZ6','Excellent product','4.0 out of 5 stars','Stitching and material both are very good 👍'
'B089KLXRZ6','Rain','5.0 out of 5 stars',I am like this product value for money I am using past 6 months rainy time it's was so good no water inside the coat perfect quality and affordable price it's amazing keep it up
'B089KLXRZ6',It's not satisfying one,'3.0 out of 5 stars','The product s differ from the original picture...missd d hip lock belt..'
'B089KLXRZ6','Value for money 💰 🧐👌💯🔥','5.0 out of 5 stars','It works. Value for money. Durability. Water resistant. Fit. Protection. Wear pants if you want to.💯🧐'
'B089KLXRZ6','Good quality','4.0 out of 5 stars','Good quality'
'B089KLXRZ6','Best quality..','5.0 out of 5 stars','Good product...'
'B089KLXRZ6','Best protection','5.0 out of 5 stars','Best protection thoda back pack ke liye size bada hona chahiye tha .baki product best.i am using on bicycle riding.'
'B089KLXRZ6','Not satisfied','1.0 out of 5 stars','Dislike'
'B089KLXRZ6','This seller is well handled by Amazon but fail on flipkart.','4.0 out of 5 stars','Product is same as I expected.'
'B089KLXRZ6','Product not up to the mark','3.0 out of 5 stars','Color does not match the display material Size is not fit to drive scooter at rains'
'B089KLXRZ6','Super','5.0 out of 5 stars','Really 👍'
'B089KLXRZ6','good product','5.0 out of 5 stars','good product'
'B089KLXRZ6','Raincoat','3.0 out of 5 stars','Quality is not so good'
'B089KLXRZ6','Third class quality','1.0 out of 5 stars','Worst'
'B089KLXRZ6','Good one.','4.0 out of 5 stars','Very nice.'
'B089KLXRZ6','Okay but not satisfied','3.0 out of 5 stars','It does not cover your legs when driving on a 2 wheeler'
'B089KLXRZ6','Awesome quality','5.0 out of 5 stars','Its a very good quality product. The material has a soft tone from inside and works well in heavy rain.'
'B089KLXRZ6','Excellent Excellent','5.0 out of 5 stars','Excellent'
'B089KLXRZ6','Quality is good','4.0 out of 5 stars','Raincoat Quality is good but received different colour'
'B089KLXRZ6','Good quality','5.0 out of 5 stars','Good'
'B089KLXRZ6','Good','4.0 out of 5 stars','Reasonabl price'
'B089KLXRZ6','Good Rainwear','4.0 out of 5 stars','This rain coat is good. protects from rain. light and airy.'
'B089KLXRZ6','Item is good but received different colour than order','4.0 out of 5 stars','Item is good but received different colour than order'
'B089KLXRZ6','Good','5.0 out of 5 stars','Good'
'B089KLXRZ6','Good','5.0 out of 5 stars','Nice product. Quality good worth for this price looking good came with good packing nice colour good rain rain go away'
'B089KLXRZ6','Wow','5.0 out of 5 stars','Super rain court'
'B089KLXRZ6','Very Good quality','5.0 out of 5 stars',This product is worth of buying. It's quality was awesome and looking good.
'B089KLXRZ6','Good Quality and material','5.0 out of 5 stars','Nice packing easy to carry rain coat Quality and material is good recommended!'
'B089KLXRZ6','Good product','5.0 out of 5 stars','Product is very good. Not sure whether you will get this quality material if purchased in local stores. Also not sure what the price would be.  Found pockets inside and outside for wearing the coat in the reverse way.  But here is the other face of this brand. They are promising cashbacks / freebies for rating / reviews in online store. Obviously people will provide good ratings for their promised freebies.  So not sure how many these ratings are genuine. For every product there will be both good / bad and avg reviews.. whereas here because of instant cashbacks / freebies u will find only 5 stars max.  Fyi for my review they gave 25% off on worthless items :-P'
'B089KLXRZ6','Met all expectations. Without thinking, Go for it.',"'4.0 out of 5 stars'It has all spec that I needed for long raincoat. Hood is well fit with tie lock. Zipper is smooth with buttons, giving dual protection. Double layered and no unwanted wrinkles. Reduced 1 star because I need to check it's performance over 1 month period. Will update ratings afterwards."
'B089KLXRZ6','Sizes','2.0 out of 5 stars',"Not good for bike and scooter ride. Even having problems with Bluetooth connection, while wearing it's caps."
'B089KLXRZ6','perfect','5.0 out of 5 stars','Good quality double lined and sturdy - exactly as described.'
'B089KLXRZ6','Far better than expected','5.0 out of 5 stars','Very good quality.must buy'
'B089KLXRZ6','Best quality rainwear','4.0 out of 5 stars','Super qualitygo for it!'
'B089KLXRZ6','Super product','5.0 out of 5 stars','Excellent'
'B089KLXRZ6','Value for money','4.0 out of 5 stars','Good one in budget Length need to be improved'
'B089KLXRZ6','Good','5.0 out of 5 stars','Good'
'B089KLXRZ6','Good','5.0 out of 5 stars','Good product'
'B089KLXRZ6','Super rain coat','5.0 out of 5 stars','Worthy 😜😜😜😜😜'
'B089KLXRZ6','Nice raincoat','5.0 out of 5 stars','Good quality ofcourse .'
'B089KLXRZ6','Good','4.0 out of 5 stars','1 day used looks good'
'B089KLXRZ6','Torn within a month','1.0 out of 5 stars','The quality seemed good when received. However the raincoat is torn within a month. Now it seems expensive because of usability for only one month.'
'B089KLXRZ6','Cloth and quality is very good.','5.0 out of 5 stars','Value for money.'
'B089KLXRZ6','Awesome product','4.0 out of 5 stars','Super quality'
'B089KLXRZ6','Quality Product','5.0 out of 5 stars','Good Quality 👍'
'B089KLXRZ6','Best product','5.0 out of 5 stars','Nice I liked the quality'
'B089KLXRZ6','Nice','3.0 out of 5 stars','Good product'
'B089KLXRZ6','Bad quality','2.0 out of 5 stars','It tore on the second day. and its really heavy. I thought heavy means better quality but it tore.'
