item,title,rating,body
'B08C9B7PTZ','Not worth the price','3.0 out of 5 stars',Spray doesn't work well. Trigger gets loose and stops spraying frequently. Not worth the price.
'B08C9B7PTZ',Don't buy,'1.0 out of 5 stars','Defective product  missing items  return replacement lot of problemd'
'B08C9B7PTZ','Please watch the video','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r1omfh8ib4dj82_1697141355239""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-3238250-4015449""refMarkers:""vse_reviews_desktop_R1OMFH8IB4DJ82_1697141355239_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""ET5DX73BQWN0X5KFKF93""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1OMFH8IB4DJ82""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1OMFH8IB4DJ82_1697141355239_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/a2dc017f-6a7b-49e7-a3bb-d5f9ad1f7821/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R1OMFH8IB4DJ82""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r1omfh8ib4dj82_1697141355239-player-ed75b307-31c7-4c6b-a634-90f37653ce31""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""ET5DX73BQWN0X5KFKF93""pageAsin:""""sessionId:""259-3238250-4015449""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-3238250-4015449""refMarkers:""vse_reviews_desktop_R1OMFH8IB4DJ82_1697141355239_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""ET5DX73BQWN0X5KFKF93""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1OMFH8IB4DJ82""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1OMFH8IB4DJ82_1697141355239_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/412OIsn3KiL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Not worth'"
'B08C9B7PTZ','N/A','N/A','Es bueno pero no era lo que deeeaba.'
'B08C9B7PTZ','N/A','N/A','Works really well on our LVP floors.'
'B08C9B7PTZ','N/A','N/A',"There's is a 12 month warranty - how do I activate this? This is my second mop (bought my first a couple of years ago and it's been perfect, bought the second for upstairs) and it was great until a piece of the handle attachment right by the bottle chipped and so the handle no longer will stay connected.  Sorry to give a low star rating my first mop has been, and still is, great. Hope to hear from you at which time I'll up date the review."
'B08C9B7PTZ','N/A','N/A',The product is awesome since you can use different cleaners. You're not stuck with the same scent all the time. It works great
'B08C9B7PTZ','N/A','N/A','Love it! it is easy to use. I love it!'
'B08C9B7PTZ','N/A','N/A','Poor quality'
'B08C9B7PTZ','N/A','N/A','Use it couple times the Handel broke everytime you spray the Handel comes out it is frustrating never buy again this is the second one I thrashed'
