item,title,rating,body
'B08CS9NC8Y','Good quality','5.0 out of 5 stars','Must buy it paiss vasool product'
'B08CS9NC8Y','Looks great','4.0 out of 5 stars','Nice & portable to carry. Best for short tour'
'B08CS9NC8Y','Nice suitcase but can have scratch marks easily.','4.0 out of 5 stars','Nice product comfortable to use. Can fit around enough items for 1 week trip. But it can catch scratches easily. Better to get a cover a well.'
'B08CS9NC8Y','Poor packaging & quality check','3.0 out of 5 stars',"The products are good. But major issues are very poor packing which causes dent in transit. Then the locking system doesn't work because, presumably no quality check is exercised. If these two aberrations are sorted out, there will not be sales return issues"
'B08CS9NC8Y','Good quality, light weight, NOT scratch free''4.0 out of 5 stars''Pros It is a sturdy and light weight suitcase. Good quality material Looks premium  Cons Advertized as scratch free but after one travel via flight I could see numerous scratches all over it'
'B08CS9NC8Y','Rejected product received...','1.0 out of 5 stars',Don't buy it
'B08CS9NC8Y','Only 9 kh weight in side broken hangs up handle bad quality','1.0 out of 5 stars','Only 9 kg weight in side brake hangs up handle broken only this weight very bad Quality'
'B08CS9NC8Y',New bag won't unlock,'1.0 out of 5 stars',This is ridiculous. I just got my brand new suitcase. Someone has reset the lock because it won't unlock to 0-0-0. Just don't take your chances with this seller.
'B08CS9NC8Y','Sexy Look✨','5.0 out of 5 stars','Cool luggage 🧳...and look is also so noice'
'B08CS9NC8Y','Very poor quality','1.0 out of 5 stars','Torn with in 15 days.'
'B08CS9NC8Y','Good product','3.0 out of 5 stars','Product is good but after I filled the warranty card details noticed the chain inside the suitcase in bottom compartment centre is broken'
'B08CS9NC8Y','Excellent','5.0 out of 5 stars','I got 68 cms one. Very sturdy light weight and sleek design. Perfect check-in baggage size for frequent flyers those who travel light. Travelled 8times in 3months. Few minor scratches here and there but not visible. For the price I have no complaints. I highly recommend. Thanks.'
'B08CS9NC8Y','Very good','5.0 out of 5 stars','I liked .thank you so much.'
'B08CS9NC8Y','Good Products at good price.','4.0 out of 5 stars','The media could not be loaded. Products at good price. Will update after travel.'
'B08CS9NC8Y','Good product to buy','5.0 out of 5 stars','Product quality is as expected. No major Complaint. Recommended to buy if you really needed it.'
'B08CS9NC8Y','Body not scratch resistant at all','2.0 out of 5 stars','The product is not scratch resistant. One my first use urself it got filled with scratches and dsnt look new at all.'
'B08CS9NC8Y','Affordable','4.0 out of 5 stars',"I like it's less weight, however material is not very strong"
'B08CS9NC8Y','Material Quality must improve','1.0 out of 5 stars','Low quality material'
'B08CS9NC8Y','Inferior quality product','2.0 out of 5 stars','Quality of the material used is not good. All other items used in the suitcase is very poor especially lock zipper and zip. Quality is not as per the standard shown in advertisement.'
'B08CS9NC8Y','Lock quality is not good','3.0 out of 5 stars','I will not recommends anyone becz of lock quality ws unexpected.broken in single use But inner material ws exillent.'
'B08CS9NC8Y','Cant find key','1.0 out of 5 stars','Cant find key .. locked suitcase'
'B08CS9NC8Y','Value for money','5.0 out of 5 stars','Worthy. I purchased it for our relatives they like it very much.'
'B08CS9NC8Y','Excellent','5.0 out of 5 stars','Excellent'
'B08CS9NC8Y','Steal for the price paid','5.0 out of 5 stars',"Easy to travel with this, doesn't feel heavy n wheels works like magic. This is a good suitcase for elderly"
'B08CS9NC8Y','Excellent 👌 product','5.0 out of 5 stars',''
'B08CS9NC8Y','Keys missing','1.0 out of 5 stars','I have not found the keys. Please reply immediately'
'B08CS9NC8Y',Couldn't open the lock as no booklet provided,'1.0 out of 5 stars',Want to replace as lock not working and couldn't open as booklet not provided and no code provided for item
'B08CS9NC8Y','Quality','2.0 out of 5 stars','Got scratches good not good as per reviews given'
'B08CS9NC8Y','Not suitable for people used for rough and tough','3.0 out of 5 stars','Light weighthandle carefully easyly it get. Scratched that is minus to this product. Not suitable for rough and tough Usage .'
'B08CS9NC8Y','Refurbished product','1.0 out of 5 stars','It looks like a refurbished product. He code for it was set to another number rather than the any of the standard numbers. Had to spend hours to identify the code.'
'B08CS9NC8Y','Good','5.0 out of 5 stars','Finishing is good'
'B08CS9NC8Y','Rubbish suitcase at high cost','1.0 out of 5 stars','The suitcase zip came open in the middle when passing through hand luggage security twice. We had to tape the suitcase shut. This was one week after a purchase. It was very difficult to lodge a complaint i finally contacted delsey usa. We were asked to take the suitcase to the nearby store. At the store they told us we should not have purchased a single zip suitcase (!) and that it comes open and we must have prised it open with a pen - mid-journey with the bag on security belt!!!! I have left the suitcase at the store - not clear what the outcome will be. It is practically 3 times the cost of a safari suitcase but has performed poorly - my safari and American tourister suitcases have travelled with me for so many years without a problem. This is simply unacceptable for a company that promises international warranty and replacement for damage within 30 days! We are well within a month after purchase. Very very disappointed and 6000 rupees poorer.'
'B08CS9NC8Y','Good for travelling','4.0 out of 5 stars','Gets scratches easily so need to be careful and it can carry the load easily'
'B08CS9NC8Y',Zip is very bad .it doesn't look new piece,'1.0 out of 5 stars','The media could not be loaded. Quality is not good'
'B08CS9NC8Y','Best','5.0 out of 5 stars','Best'
'B08CS9NC8Y','Old products at dirt cheap price','1.0 out of 5 stars','The bag was damaged and the zip broke in the first go.'
'B08CS9NC8Y','Send lock code and keys','3.0 out of 5 stars','Keys are not available and pls send lock code'
'B08CS9NC8Y','Received a damaged product','2.0 out of 5 stars','Receive a torn damaged bag and quality of the bag too not good upto the mark. Raised a concern of return but unfortunately delivery person not even responding to the call or taking action of the same to return the delivery of product'
'B08CS9NC8Y','Very good n useful sturdy','5.0 out of 5 stars',Looks good Sturdy Good machanism Good capacity It's really fulfilled the requirements for travelling Good finish as we expect from this brand
'B08CS9NC8Y','very small','1.0 out of 5 stars','its no useful .. not a good product not worth the money'
'B08CS9NC8Y','Good','4.0 out of 5 stars','Good'
'B08CS9NC8Y','OK product','3.0 out of 5 stars','Surface is delicate.'
'B08CS9NC8Y','Used product sent','1.0 out of 5 stars','The media could not be loaded. I ordered new bag but when I open the box and see the condition of the and it was already used one.'
'B08CS9NC8Y','Luggage bag plastic quality','1.0 out of 5 stars','Quality of the plastic used is not sturdy & does not meet the expectations. Also the return request sent 9-10days back; but no one has come so far to pick up the goods to be returned. This is something unusal that i am experiencing from Amazon'
'B08CS9NC8Y','Trolley handle not smooth','1.0 out of 5 stars','Product when delivered was fine but after keeping my clothes the handle was not smooth anymore. Very less space.'
'B08CS9NC8Y','Very good','5.0 out of 5 stars','Good for the price'
'B08CS9NC8Y','Unable to open and use','1.0 out of 5 stars','Unable to open and use.'
'B08CS9NC8Y','Good','4.0 out of 5 stars','Over all good'
'B08CS9NC8Y','Check the video if your struggling to open the bag!','5.0 out of 5 stars','The media could not be loaded. Check the video if your struggling to open the bag. Process is simply. Hope it helps you :)'
'B08CS9NC8Y','Damage bad quality','1.0 out of 5 stars',''
