item,title,rating,body
'B08FYJNX84','Good','4.0 out of 5 stars','Received product in good condition n the skirt is shown as in pic'
'B08FYJNX84','Lovely color and product','5.0 out of 5 stars','I am ordering this lehenga skirt second time. I love the color flare comfort and quality of both my skirts. Thank you Studio Shringar for never disappointing.'
'B08FYJNX84','A bit too long for short person like me','4.0 out of 5 stars','It’s a bit too long I am 5’4 “ but it’s too long for me don’t know how to reduce the length.. so for now it will reman storage'
'B08FYJNX84','Fit as expected','4.0 out of 5 stars','Very comfortable flare was very nice'
'B08FYJNX84','Great buy','4.0 out of 5 stars','Amazing product in this price the skirt has a lot of flare little long for short height girls.. But worth the money.'
'B08FYJNX84','Waste','1.0 out of 5 stars','Waste quality'
'B08FYJNX84','Good quality same color as shown in the pic','5.0 out of 5 stars','I like it'
'B08FYJNX84','Great product','5.0 out of 5 stars','Beautiful skirt.. With reasonable price.'
'B08FYJNX84','Wonderful✨😍','5.0 out of 5 stars','👌👌'
'B08FYJNX84','Long skirt','5.0 out of 5 stars','The media could not be loaded. I love this product.This quality is very nice like seen in the picture❤️'
'B08FYJNX84','Awesome','5.0 out of 5 stars','Awesome dress... It was very beautiful on me'
'B08FYJNX84','Okay','2.0 out of 5 stars','Product quality is good but stitching is not good.we returned it because they stitched another piece of the same cloth in the front side'
'B08FYJNX84','Disappointed','1.0 out of 5 stars',"Don't buy, looks like made with cheap material."
'B08FYJNX84','Great Quality','4.0 out of 5 stars','Loved the fittings and material as well'
'B08FYJNX84','Good Quality product in this price','4.0 out of 5 stars','Good Fabric and colour'
'B08FYJNX84','Nice','4.0 out of 5 stars','Good product'
'B08FYJNX84','Received product Whitout packing','1.0 out of 5 stars','The media could not be loaded.'
'B08FYJNX84','Beautiful 😍🥰','5.0 out of 5 stars','Very beautiful 🥰😘 girls if u r searching for a shiny rich look skirt.. this one is best for u👍😊it looks very very pretty 🥰💃packaging is also good 👍'
'B08FYJNX84','Good quality of material and stiching','5.0 out of 5 stars',''
'B08FYJNX84','Perfect for wedding guest party wear','5.0 out of 5 stars','This skirt is just perfect for wedding guest party wear. I wore an underskirt below it to add more flares.'
'B08FYJNX84','Amazing quality 👌','4.0 out of 5 stars','fit tends to be a Lil loose can be altered.'
'B08FYJNX84','Description should be floor length skirt not knee length skirt!','5.0 out of 5 stars','Skirt color is as shown in the picture! Fits well on most . Looks lovely!'
'B08FYJNX84',Its osm but i return this item becoz this product doesn't match (colour)well with my top.,'5.0 out of 5 stars',''
'B08FYJNX84',Amazing purchase. Don't doubt and just go for it.,'5.0 out of 5 stars','The media could not be loaded.'
'B08FYJNX84','Too good and please go for it , amazing stich','5.0 out of 5 stars''Very happy for the material and stick is too good  I got it one day delivery & soft lining material used & too good overall'
'B08FYJNX84','Beautiful skirt','5.0 out of 5 stars','The cloth is very soft and comfortable. Moreover even the lining of the skirt is comfortable enough to do all kind of task. Good buy!'
'B08FYJNX84','Preety and fabulous 😍','4.0 out of 5 stars','Very beautiful and elegant'
'B08FYJNX84',It's good,'5.0 out of 5 stars','Good fabric and looks nicely'
'B08FYJNX84','beautiful','5.0 out of 5 stars','this skirt is going to look so beautiful... it literally is a steal deal.. it looks classy...'
'B08FYJNX84','Amazing planning to buy another one','5.0 out of 5 stars','Amazing planning to buy another one'
'B08FYJNX84','Beautiful skirt!','5.0 out of 5 stars','Very beautiful skirt! Wore it for a function and everyone loved it! Worth buying!!!'
'B08FYJNX84','Better than picture','5.0 out of 5 stars',"Very beautiful, much more beautiful than the picture. Colour is exactly the same and design also same. There is no elastic and only string which did not work with me so had to return. Else it's too beautiful"
'B08FYJNX84','Excellent value for money.looks better than the photos','4.0 out of 5 stars','Falls well though fabric is slightly stiff.looks very good.'
'B08FYJNX84','Not so good','2.0 out of 5 stars','too long to fit quality is not very good color is different than shown in picture too much shine ok ok product'
'B08FYJNX84','Very beautiful 😍','5.0 out of 5 stars','So beautiful I liked it'
'B08FYJNX84','Very nice','5.0 out of 5 stars',"I buy black skirt,it's really very nice and comfortable."
'B08FYJNX84','Please think twice and buy it','1.0 out of 5 stars',The overall look is nice but the fall of the skirt is very weird and it looks kind of tacy. I had a size issue and the seller keeps cancelling the pickup. Keep in mind that you probably won't get to return this after you buy it if you have any issue.
'B08FYJNX84','Correct the length description, very long skirt',"'2.0 out of 5 stars'It's written knee length but it's extra long skirt, hence returned. Otherwise material is good."
'B08FYJNX84','Awesome','5.0 out of 5 stars','The flare of skirt is big. Bought purple color....looks heavy and stylish...can team up with any sort of top and blouse.'
'B08FYJNX84','Looks like a beautiful skirt','5.0 out of 5 stars','Have not tried it yet but it is a beautiful skirt and especially people who love to wear skirts only ordered because of good reviews and product is fine.'
'B08FYJNX84','Very good. The length was perfect, perfect for festive season. Loved it',"'5.0 out of 5 stars''{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r2tkvjk4j6go8u_1697131935610""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-1860843-7627063""refMarkers:""vse_reviews_desktop_R2TKVJK4J6GO8U_1697131935610_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""ZEX7GS6YMBYSQJATDPBN""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2TKVJK4J6GO8U""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2TKVJK4J6GO8U_1697131935610_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/6dcbb0d5-7655-44b1-875e-76511e1fa965.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/3d6257e0-ad95-43d7-bd6a-c02a584c518e/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R2TKVJK4J6GO8U""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r2tkvjk4j6go8u_1697131935610-player-9bedfdd4-3108-4065-9c0e-ba39cee16192""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""ZEX7GS6YMBYSQJATDPBN""pageAsin:""""sessionId:""259-1860843-7627063""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-1860843-7627063""refMarkers:""vse_reviews_desktop_R2TKVJK4J6GO8U_1697131935610_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""ZEX7GS6YMBYSQJATDPBN""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2TKVJK4J6GO8U""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2TKVJK4J6GO8U_1697131935610_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61FnHjMAV8L._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'"
'B08FYJNX84','Worth worth, go for it!','5.0 out of 5 stars'Haven't found a lehenga under 500 with such perfect fit n great cloth .. it's comfortable n classy ! Must buy for festive season..
'B08FYJNX84','Kpra kuch khaas nhi hai BT ghera bhut achha hai','5.0 out of 5 stars',''
'B08FYJNX84','Perfect','5.0 out of 5 stars',I ordered the red one; it was just perfect for the festive season. I wanted one for navratri and I'm glad i ordered this. It was even flowy downwards💞Anybody who's confused about this: do go for it ✔️💯💯
'B08FYJNX84','Good skirt at this price','3.0 out of 5 stars','One day delivery so could wear for the function.'
'B08FYJNX84','Made my friend really happy','5.0 out of 5 stars',"The long skirt is well-made and excellently designed. The stitching is good, and fabric design is exceptionally high quality for the product's price. The skirt flaring is just perfect making it delightfully compact for the normal use and elegantly playful during parties and while dancing. All in all, it is a wonderful product that brought smile to my friend's face."
'B08FYJNX84','Very good quality','5.0 out of 5 stars','Very good quality product. Colour as expected. Excellent value for money.'
'B08FYJNX84','Attractive , beautiful and economic','5.0 out of 5 stars''Beautiful and attractive skirt and price is also reasonable thanks Amazon.'
'B08FYJNX84','Excellent quality for the price','4.0 out of 5 stars',"At this price, I was worried that the material would be flimsy, or the colour would be garish. Surprisingly, the material is reasonably good, and the colour is also pretty. I will probably get some elastic put into the waist band, as the belt area tends to get scrunched up when the knot is tied (it is okay for long kurtas, but doesn't work for cholis). All in all, definitely worth the money."
'B08FYJNX84','Wow','4.0 out of 5 stars','Good product at reasonable price.'
