item,title,rating,body
'B08FZRYSVW','Value for money 💰','4.0 out of 5 stars','Nice Stuff but compressing not upto the mark.Still best choice at this price range 👍'
'B08FZRYSVW','It is a very poor quality shoe.','1.0 out of 5 stars','It is a very poor quality shoe'
'B08FZRYSVW','Good design and comfort feeling shoes','5.0 out of 5 stars','This is a good product and rent is very good and perfect fitting shoes thank you Reebok'
'B08FZRYSVW','Comfortable to wear it','5.0 out of 5 stars','I like this shoes to wear comfortably - size is 8 uk / India. It helps to walk and run properly. It is lighter shoes.'
'B08FZRYSVW','Avarage','3.0 out of 5 stars','Not good Not Bad'
'B08FZRYSVW','One of the best gym shoes in this budget','5.0 out of 5 stars','Super light comfortable and amazing for gym use. One of the best shoes available in this budget. The shoelaces feel a bit cheap but nothing problematic.'
'B08FZRYSVW','Soft','5.0 out of 5 stars','Very good to use its very soft'
'B08FZRYSVW','Not Good','1.0 out of 5 stars',Don't buy not of good quality
'B08FZRYSVW','Finishing is not good. Rs 1349 is too high for this shoes. I would not advice to buy this shoes.','1.0 out of 5 stars',The media could not be loaded. Rs 1349 is not worth for this shoes.... please Don't buy this from Amazon.
'B08FZRYSVW','Shoe is very good in quality and comfortable to wear. Easy to wash as well','4.0 out of 5 stars',''
'B08FZRYSVW','Not Good','1.0 out of 5 stars','Not of Good Quality Reebok Standard'
'B08FZRYSVW','Good one','5.0 out of 5 stars','Value for money!!'
'B08FZRYSVW','Lightweight and comfortable','3.0 out of 5 stars','The shoes were very light and comfortable to wear. Overall great experience.  Only negative I found was that the sole started to tear up after a week.'
'B08FZRYSVW','Shoes','4.0 out of 5 stars','Nice'
'B08FZRYSVW','Sasta tikao sundar','4.0 out of 5 stars','It is very light weight and the shoe fits very well.'
'B08FZRYSVW','Good product','3.0 out of 5 stars','Value for money'
'B08FZRYSVW','Good','5.0 out of 5 stars',''
'B08FZRYSVW','Poor sole quality. Poor cushioning. Not comfortable at all.','1.0 out of 5 stars','Poor quality of sole. No cushioning. You will feel the hardness in the sole.'
'B08FZRYSVW','Good','4.0 out of 5 stars','Ok'
'B08FZRYSVW','Value for money','4.0 out of 5 stars','Got this during offer. Value for money. Packaging was bad but product seems okay for the price range. Will have to use for some time for more comments'
'B08FZRYSVW','Great product with great style and comfort','4.0 out of 5 stars',"if you're looking for stylish and comfortable sneakers that are built to last, the Reebok Men's Advent Tr Heritage is an excellent choice. The outsole provides excellent traction, ensuring stability and preventing slips on various surfaces"
'B08FZRYSVW','Very good product','5.0 out of 5 stars','Got very good product in such less money it is original and the quality is also very good with perfect fitting.'
'B08FZRYSVW','Good','5.0 out of 5 stars','Soal is not good quality'
'B08FZRYSVW','Soul is nice.','4.0 out of 5 stars','Very good and recommended shoe for all. VERY light weight. Loved it. Even after 4 wash . No nothing happened.. got it for Rs 900 on BBD.'
'B08FZRYSVW','Good','3.0 out of 5 stars','Not as good as original product of Reebok'
'B08FZRYSVW','Good','5.0 out of 5 stars','Good'
'B08FZRYSVW','Not good','3.0 out of 5 stars','Not good'
'B08FZRYSVW','Nice','5.0 out of 5 stars','Nice'
'B08FZRYSVW','Seems to be first copy... slides to o w side while walking','3.0 out of 5 stars','Seems to be first copy... slides to o w side while walking'
'B08FZRYSVW','Cushioning the sole of the shoes.','4.0 out of 5 stars','Everything thing is good about the shoes except the cushioning which should be introduced immediately which will make it really comfortable.'
'B08FZRYSVW','Good','5.0 out of 5 stars','Good'
'B08FZRYSVW',Don't buy it,'1.0 out of 5 stars','Pathetic shoes... I have doubt regarding its originality'
'B08FZRYSVW','Duplicate product','1.0 out of 5 stars','Duplicate product'
'B08FZRYSVW',Very very poor quality this product don't parched,'1.0 out of 5 stars','Not good'
'B08FZRYSVW','Good product','5.0 out of 5 stars','Fitting'
'B08FZRYSVW','Above average','4.0 out of 5 stars','Shoes are pretty good. But there no good grip and lite weight to. Good for normal use and not for gym or running. Look of the shoe is good so can be used as sneakers! But for me rebook shoes are something which comes along for years even after rough use.'
'B08FZRYSVW','Had holes in the how in 3 months!!','1.0 out of 5 stars','Super poor quality..Ordered on 9th Sept and wore not more than 10-12 times and shoes upper part got holes in it. Dont buy !!!'
'B08FZRYSVW','Good','5.0 out of 5 stars','Quality Good'
'B08FZRYSVW','Good','5.0 out of 5 stars','Good light weight'
'B08FZRYSVW','Good','4.0 out of 5 stars','It is good lite wait'
'B08FZRYSVW','Good one','5.0 out of 5 stars','Like'
'B08FZRYSVW','Lightweight & comfortable','5.0 out of 5 stars','I liked it. At cost of 900₹ it is very worthful. Looking stylish after wearing it & also lightweight.'
'B08FZRYSVW','नीचे से चौड़ा है','1.0 out of 5 stars','नीचे से चौड़ा है'
'B08FZRYSVW','Comfortable and cost effective','5.0 out of 5 stars','Good product.'
'B08FZRYSVW','Excellent Shoes','5.0 out of 5 stars','Very comfortable'
'B08FZRYSVW','Light weight shoe','4.0 out of 5 stars',"Its a good light weight shoe flexible but it's given with a lays which is so thin, keeps on untie due to its material."
'B08FZRYSVW','Right product','5.0 out of 5 stars','Nice'
'B08FZRYSVW','Worthless','1.0 out of 5 stars','Worthless product'
'B08FZRYSVW','Worth Buying','1.0 out of 5 stars','Really its very comfort. I am loving it'
'B08FZRYSVW','Waste product','1.0 out of 5 stars','Waste'
