item,title,rating,body
'B08JQWD91H','Bad quality product','1.0 out of 5 stars','Surprised to see that when I replaced it with a bigger size the bigger size is smaller than the previous size!'
'B08JQWD91H','Want to replace two shirts.','5.0 out of 5 stars','Two shirts are too long . The sizes are not matched at all'
'B08JQWD91H','Size was good nd the clothing','4.0 out of 5 stars','Good and nice'
'B08JQWD91H','NEVER BUY THIS SHIRT.','1.0 out of 5 stars','NEVER BUY  MATERIAL is WORST  RETURN is NOT AVAILABLE . NOT AS SHOWN IN THE PHOTO.'
'B08JQWD91H','Good quality and matching color','5.0 out of 5 stars','The product is great and the colour is same as the shown people. Will recommend to buy :)'
'B08JQWD91H','Replacement','1.0 out of 5 stars','3xl కు బదులు L పంపారు 3xl పంపండి'
'B08JQWD91H','ok','5.0 out of 5 stars','ok'
'B08JQWD91H','Not that much good','4.0 out of 5 stars','Fabric okay but colour little dull'
'B08JQWD91H','Loved it','5.0 out of 5 stars','Comfortable quality is good and color is very bright and pleasant'
'B08JQWD91H','Packaging is not good','3.0 out of 5 stars','The media could not be loaded. Cloth material is good but packaging very bed'
'B08JQWD91H','Shirt','3.0 out of 5 stars','Material is not good'
'B08JQWD91H','poor quality','1.0 out of 5 stars','colour is very dull and quality is very very poor for me and fiting is bad i hate this shirt vaste fof money'
'B08JQWD91H','best','5.0 out of 5 stars','👍🏻👍🏻'
'B08JQWD91H','Not pure cotton','3.0 out of 5 stars','Overall ok but fabric is not pure cotton'
'B08JQWD91H','Worst packaging','3.0 out of 5 stars','Shirt was nice.. Worst packaging'
'B08JQWD91H','Amezing shirt','5.0 out of 5 stars','Shirt quality is very good and size also good thank you Amazon'
'B08JQWD91H','Fabric quality','2.0 out of 5 stars','Fabric quality very POOR'
'B08JQWD91H','Good','5.0 out of 5 stars','Good and correct fit.'
'B08JQWD91H','Colour','5.0 out of 5 stars','Very nice shirt'
'B08JQWD91H','Nice but','4.0 out of 5 stars','Too large in size'
'B08JQWD91H','Color not matching.','3.0 out of 5 stars','Product is okay but the color seems totally different. It is much darker than it seems.'
'B08JQWD91H','Value for Money','5.0 out of 5 stars','Value for Money'
'B08JQWD91H','Really nice product','5.0 out of 5 stars','a really good product that gives semi-formal look.'
'B08JQWD91H','Cotton shirt','5.0 out of 5 stars','मेरे को यह प्रोडक्ट मेरे को यह प्रोडक्ट अच्छा लगा'
'B08JQWD91H','Best','4.0 out of 5 stars','Best'
'B08JQWD91H','Nice fit','5.0 out of 5 stars',''
'B08JQWD91H','Good fabric, nice fitting','5.0 out of 5 stars''Very nice fitting'
'B08JQWD91H','Nice','4.0 out of 5 stars','Nice fitting'
'B08JQWD91H','Good quality','5.0 out of 5 stars','Good looking'
'B08JQWD91H','Worthy','5.0 out of 5 stars','Absolutely price worthy go for it'
'B08JQWD91H','third class quality','1.0 out of 5 stars','third class quality cheapest cloth wash and colour is failed after washing Shirt colour totally white'
'B08JQWD91H','Fabulous','4.0 out of 5 stars',It's nice quality and good looking shirt.
'B08JQWD91H','Good one','4.0 out of 5 stars','Good but fades quickly in the sun.'
'B08JQWD91H','Good','5.0 out of 5 stars','Good'
'B08JQWD91H','Good quality','4.0 out of 5 stars',Quality is nice. Colour didn't fade after washing it. The colour is exactly as shown in the pic. Size is perfect.
'B08JQWD91H','This is perfect!','5.0 out of 5 stars',"Usually ordering oversized clothes means either they won't fit right in some way or they'll make it shapelessly huge. Almost funny looking? Feels like mockery.  But this is perfect Material is great Stitch is great Fitting is amazing Packaging is good Colours available are good and same as shown in product images above.  Price (being 4XL) was still 600 which was great, as usually we see prices go on increasing with bigger size.  Looks overall are fab! So just pick your favourite colour and go for it!  9/10 (Because for slimmer sizes this is a TADDD BIT pricey. Hehe)"
'B08JQWD91H','bad quality.','1.0 out of 5 stars','The media could not be loaded. this product bad quality this product after one week shade colour.'
'B08JQWD91H','Colour got faded','1.0 out of 5 stars','After the first wash colour got faded very worst quality...'
'B08JQWD91H','Nice','5.0 out of 5 stars','Nice'
'B08JQWD91H','Product quality ok but desired colour nit sent.','4.0 out of 5 stars','I have selected and purchased melon colour but they sent sky blue color.'
'B08JQWD91H',It's good enough 😁,'4.0 out of 5 stars','Nice product quality but fitting is oversized 😅😂'
'B08JQWD91H','Shirt casual','4.0 out of 5 stars','Good. Well fitting. Appropriate and reasonable pricing.'
'B08JQWD91H','Nice shirt','5.0 out of 5 stars',It's a nice shirt for the price. Looks just like it appears on the product page. It's true to its size so one can go as per the size chart. The quality seems fine only time will tell how long it'll last based on usage and washing conditions.
'B08JQWD91H','Okay','3.0 out of 5 stars','The shirt colour was one or two dark shade. This photography has been done in light so be aware of that . Quality wisethe shirt was good'
'B08JQWD91H','Worthy buy','5.0 out of 5 stars','Worthy buy for 550'
'B08JQWD91H','Small shirt','1.0 out of 5 stars','The media could not be loaded. Small shirt amazon cheated me no changing options'
'B08JQWD91H','Good quality','5.0 out of 5 stars','Fits good and material is nice as well. Worth the money.'
'B08JQWD91H','Worst','1.0 out of 5 stars','Not good'
'B08JQWD91H','Fabulous','5.0 out of 5 stars','At the price shirt was super nice 🙂'
'B08JQWD91H','Product quality is good','4.0 out of 5 stars',It's good but if you are ordering your size go for smaller size other the it it's good.i order black and it's good.
