item,title,rating,body
'B08KMKDTBJ','Good quality','5.0 out of 5 stars',Product is very nice and it's size is too good ... in love with the quality.. must buy products
'B08KMKDTBJ','Good quality plastic','4.0 out of 5 stars','Lookwise it is very good. Plastic quality is also very sturdy. I am impressed with the product and mug is also matching.'
'B08KMKDTBJ','Nice','5.0 out of 5 stars','Colour is absolutely very nice. Quality is very good. Size is perfect for my bathroom.'
'B08KMKDTBJ','Perfect','5.0 out of 5 stars','Awesome quality Plastic is good Satisfied me'
'B08KMKDTBJ','Quality product','5.0 out of 5 stars','Size is good Value for money Handle is super Print is awesome'
'B08KMKDTBJ','Solid plastic balti mug','5.0 out of 5 stars','Its wonderful quality balti and mug. For super plastic quality. Size is perfect and very comfert. Value of money.'
'B08KMKDTBJ','Not so worthy','1.0 out of 5 stars','Cup was broken.'
'B08KMKDTBJ','Best quality product','5.0 out of 5 stars',As always it's best quality I received and we used this from 1st day of receiving the product. Really very tight plastic and handle to keep the bucket is best quality. There is mug as well I received. My wife like this combo.
'B08KMKDTBJ','Best product','5.0 out of 5 stars',This is best one!! It have mug also!! It's quality is too supppbbbb!!i m happy to buy this!!i received same product as shown in that picture!! Believe this is best for bathroom!! Easy to buy!! I m recommended to purchase!! Hurry up!!
'B08KMKDTBJ','Looking Beautiful nd Gud Quality','5.0 out of 5 stars','Bucket nd Mug Quality is Very Nice...Size of bucket is Also Gud...Very Durable Gud For Daily Use..Value For Money.'
'B08KMKDTBJ','Best one for bathroom','5.0 out of 5 stars',Nice quality it's good set for bathroom capacity is also too good I like the quality it's made a heavy plastic material it's so nice
'B08KMKDTBJ','Good quality.','5.0 out of 5 stars','The bucket and mug is very beautiful.The colour and the print is very nice.The plastic is very sturdy and durable.It is value for money...'
'B08KMKDTBJ','Plastic Bathroom Bucket with Mug','5.0 out of 5 stars','bathroom bucket is a good plastic . pink colour floral design . 16 litre of capacity . use a bathroom bucket'
'B08KMKDTBJ','Durable!','5.0 out of 5 stars',It's Very beautiful and durable with good material quality.
'B08KMKDTBJ','Sturdy and essential','5.0 out of 5 stars',It's quality is best!! It's print is so nice!! I purchased for Bathroom purpose!! Because it have a mug also!! Both The bucket and mug have sturdiness !! Value for money product!!
'B08KMKDTBJ','Nice','5.0 out of 5 stars','The quality is super good of the productcolour n design is as shown in image....nice...'
'B08KMKDTBJ','Good quality product','5.0 out of 5 stars','Product is of good quality.'
'B08KMKDTBJ','Wowww','5.0 out of 5 stars',"Very solid quality product, best thing is that its a combo deal of bucket and mug, I'm soo happy tp order it,colour is exactly same as show n in pic, size is also same as wht want,really happy with the purchase..."
'B08KMKDTBJ','Poor product','1.0 out of 5 stars',The media could not be loaded. Poor product & low quality unhappy with this service don't buy this company product If you are giving some one your product please given them best
'B08KMKDTBJ','good','5.0 out of 5 stars','Quality is good and comfortable and price is ok and material is excellent'
'B08KMKDTBJ','Good product','5.0 out of 5 stars','Product is very good . quality is also best Normal size great plastic material for daily use.'
'B08KMKDTBJ','nice for daily purpose','5.0 out of 5 stars','bucket is good for daily purpose bath and other water work..plastic used in it is aslo a fine quality at this price range'
'B08KMKDTBJ','A perfect quality virgin plastic bucket with mug set for bathroom at very affordable price point...','5.0 out of 5 stars',"A perfect quality virgin plastic bucket with mug set for bathroom at very affordable price point... It's made from high quality raw virgin plastic meterial which is looking very sturdy, durable & portable in size, seem's like a long-lasting and multi-purpose plastic bucket suitable for use's in kitchen's and bathroom's only and it's capacity is also 18L which is enough for daily use's and it's print quality & design both are looking perfect so it's very easy to use and very easy to clean 18 liters virgin plastic bucket and mug set at very affordable price point so it's a value for money deal for us, will surely recommend it to all..."
'B08KMKDTBJ','BEST AT THIS PRICE','5.0 out of 5 stars','this bucket is good as this price the plastic quality are fine and design is good'
'B08KMKDTBJ','Good quality product','5.0 out of 5 stars','Exactly as shown in picture. The size is of a good large size. The plastic quality is also good. Would surely recommend to purchase.'
'B08KMKDTBJ','It is very easy','1.0 out of 5 stars','The quality is not good at all it is very continuous a waste of buckets of money'
'B08KMKDTBJ','Good one','5.0 out of 5 stars','.'
'B08KMKDTBJ','Useful and Value for Money','5.0 out of 5 stars','The bucket is nice. Good in quality. Value for money.'
'B08KMKDTBJ','Good 1','5.0 out of 5 stars','Well satisfied'
'B08KMKDTBJ','Deffective product delivered','1.0 out of 5 stars','Received damaged bucket without mug'
'B08KMKDTBJ','Quality not very good','2.0 out of 5 stars','The product quality was not satisfactory.'
'B08KMKDTBJ','In transporting or Else in handling , totally the bucket and handle totally bent','1.0 out of 5 stars'''
'B08KMKDTBJ','Very ordinary','2.0 out of 5 stars','Felt like paid more for this..not worth the money'
'B08KMKDTBJ','Nice colour','5.0 out of 5 stars','Nice colour and Spacious.'
'B08KMKDTBJ','Good one bucket and mug','5.0 out of 5 stars',Product quality is very good. Material is robust and sturdy. It's colour and design is superb. Over all value for money.
'B08KMKDTBJ','Bad quality','1.0 out of 5 stars','Very small'
'B08KMKDTBJ','Quality and Size','5.0 out of 5 stars','Excellent quality and Sturdy product. The size is perfect. feels worthy compared to other brand.'
'B08KMKDTBJ','Best in market','5.0 out of 5 stars','Looks good and durable. Very nice colour looks regal. Capacity and quality of this bucket is too good. Must buy.'
'B08KMKDTBJ','Best in the market.','5.0 out of 5 stars','Got the bucket along with the mug. Quality is good. Looks good and durable. Overall a great product.'
'B08KMKDTBJ','Amazing product','5.0 out of 5 stars','Amazing product plastic material used sturdy and durable good product..Strong one with good finished..I am satisfied with this product..go for it big thums up. ..'
'B08KMKDTBJ','Bathing mug has poor quality and got defected.','3.0 out of 5 stars','Bucket is having good quality but if you are thinking that you will get mug with it is not worthy. 4 star for the bucket and 1 star for bathing mug'
'B08KMKDTBJ','Good quality bucket!','5.0 out of 5 stars','The capacity of the bucket is adequate so is the quality of plastic. The mug with is has good grip and capacity.'
'B08KMKDTBJ','Good quality','5.0 out of 5 stars','Plastic quality is good and durable product. Easy to lift and handle .'
'B08KMKDTBJ','Awesome Product at its best price','5.0 out of 5 stars','The combo looks elegant and matches well to my bathroom decor. Loved the quality vs price.'
'B08KMKDTBJ','Superb quality','5.0 out of 5 stars','Amazing colour & quality. very reasonable price according to market place.'
'B08KMKDTBJ','Bathroom bucket','5.0 out of 5 stars','The media could not be loaded. This bucket material is very strong.it is good for the purpose of houseware and this bucket is contains 15 to 20 litter water. It is the best set for the houseware.'
'B08KMKDTBJ','Good Product ❤️','5.0 out of 5 stars','plastic material used sturdy and durable good product..Strong one with good finished..I am satisfied with this product'
'B08KMKDTBJ','Just okay','1.0 out of 5 stars','The print is nice. Quality is very poor. Edges of the mug are sharp. Not value for money.'
'B08KMKDTBJ','Not bad','3.0 out of 5 stars','100 il 70 mark.athra strong alla.vilakku athu ok'
'B08KMKDTBJ','Not worth for money','1.0 out of 5 stars','Very poor quality'
