item,title,rating,body
'B08KRTTYFS','Poor brand','1.0 out of 5 stars','Hopeless quality. Bad colour bad fabric. Used product... has fungus and creases.... sent without a label and price tag.'
'B08KRTTYFS','Priceworthy and good fit','5.0 out of 5 stars','Value for money'
'B08KRTTYFS','Disappointed','1.0 out of 5 stars','Fabric was for a suite not an actual blaster. Hopeless indeed'
'B08KRTTYFS','return slow service','1.0 out of 5 stars','received stich fault in product and return very slow'
'B08KRTTYFS','worest quality','1.0 out of 5 stars','worest quality size 42 bit quality is good 36'
'B08KRTTYFS','Worst quality','1.0 out of 5 stars',Don't buy this quality is worst and colour is shaded. Return option also not available. Don't buy this
'B08KRTTYFS','Worst quality and poor fabric quality and fraud','1.0 out of 5 stars','worst quality and looks very cheap...fabric ..and also not looks great....  in word pahne ne ka baadh bikaari dikhta hai ..'
'B08KRTTYFS','Very good','5.0 out of 5 stars','Perfect fit for my son'
'B08KRTTYFS','Very poor quality 🤮🤮','1.0 out of 5 stars','Very very poor quality 🤮🤮 West of money'
'B08KRTTYFS','Pathetic','1.0 out of 5 stars','Pathetic material and fitting'
'B08KRTTYFS','Do not buy it.','1.0 out of 5 stars','There are some black stains on the Blazer.'
'B08KRTTYFS','Nice','5.0 out of 5 stars','Nice and great look'
'B08KRTTYFS','Worst Product with worst quality','1.0 out of 5 stars',Mismatch products delivered. Different colours and Products don't having price tag and different designs.And qualityless
