item,title,rating,body
'B08KWDWV4H','Beak zip chain','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r8kqsu146prs6_1697125803354""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-1746878-6981307""refMarkers:""vse_reviews_desktop_R8KQSU146PRS6_1697125803354_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""8RWBESSFBV32TWTBBB9R""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R8KQSU146PRS6""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R8KQSU146PRS6_1697125803354_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/68fb50e9-5e0c-4eec-b4f9-c85dadee0ea2.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/38128db9-5ebe-4bcb-9c04-f9117e7e67c7/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R8KQSU146PRS6""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r8kqsu146prs6_1697125803354-player-48be5a4b-c637-45ab-85f3-4a4a3f1863f4""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""8RWBESSFBV32TWTBBB9R""pageAsin:""""sessionId:""261-1746878-6981307""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-1746878-6981307""refMarkers:""vse_reviews_desktop_R8KQSU146PRS6_1697125803354_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""8RWBESSFBV32TWTBBB9R""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R8KQSU146PRS6""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R8KQSU146PRS6_1697125803354_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/41nOdIHQT0L._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'"
'B08KWDWV4H','Jacket','5.0 out of 5 stars','Comfortablewarm and soft to wear ordered another as well.'
'B08KWDWV4H','Comfotable','4.0 out of 5 stars','The quality is not superior but comfortable to use...'
'B08KWDWV4H','Excellent Jacket at this price','5.0 out of 5 stars','Excellent jacket at this price. Much better than the branded ones in the market.'
'B08KWDWV4H','Quality','3.0 out of 5 stars','Few months back bought black color jacket it was good but recently I bought blue one the quality of the product was not good at all.'
'B08KWDWV4H','Ok product','2.0 out of 5 stars','Fitting is good but stuff is not that much good.'
'B08KWDWV4H','Quality of cloth','1.0 out of 5 stars','Color was shaded after single wash and after a month it became look like dirt cloth even after wash also'
'B08KWDWV4H','Good','4.0 out of 5 stars','Good'
'B08KWDWV4H','nice quality','4.0 out of 5 stars','comfort'
'B08KWDWV4H','Good quality','3.0 out of 5 stars','Best quality'
