item,title,rating,body
'B08LTGVND9','Cutee','5.0 out of 5 stars','Product was soooooo good. Quality s awesome better than expected. Highly recommended to buy at this price.'
'B08LTGVND9','Really cute','5.0 out of 5 stars','Cute one and safe for little ones. Doesn’t have a fur and washable.'
'B08LTGVND9','👍','5.0 out of 5 stars','Worth it 😄'
'B08LTGVND9','It is done by intentionally','5.0 out of 5 stars',Actually it is lillte bit costly that's why I cancel it.
'B08LTGVND9','Perfect toy, value for money','5.0 out of 5 stars''Good stitching soft material high-quality and perfect for the price! Highly recommended'
'B08LTGVND9','A good toy','4.0 out of 5 stars','The size color is as good as shown in the image. The fabric quality is fairly good. The item is reasonably priced'
'B08LTGVND9','Perfect for Gifting','5.0 out of 5 stars','Fantastic quality. Perfect for birthday Gifts. Especially for Girl children. Beautifully crafted'
'B08LTGVND9','Good','5.0 out of 5 stars','Good product'
'B08LTGVND9','Defective product','1.0 out of 5 stars','The media could not be loaded. I want to return'
'B08LTGVND9','Very nice But price fluctuates I bought in higher price today price is reduced','4.0 out of 5 stars','Very nice worth buying'
'B08LTGVND9','I love this ❤️🥹','5.0 out of 5 stars','Softness 💯 color is good 💯 and value for money 💰....you have to buy this 💓🙏'
'B08LTGVND9','Threads came loose','2.0 out of 5 stars',The soft toy is good but the seam at the bottom came off while my kid was playing with it and I had to restitch the torn part. Crossing my fingers that other stitches don't open.
'B08LTGVND9','Worth the price!','5.0 out of 5 stars','Came in great packaging and quality! Stitching was great! Loved it!'
'B08LTGVND9','Need better materials','3.0 out of 5 stars','This is a small toy around the size of an adult human palm. Its cute to look at and if you put it around your baby when they sleep. The material is also child friendly hypoallergn. However this is where i was dissapointed. The softness and materials could both be improved. For example if you have ever used any soft toys from Miniso or Hamley you can clearly see the difference.'
'B08LTGVND9','Quality and softness','5.0 out of 5 stars','Very soft and good febric. My 6 month daughter love this.'
'B08LTGVND9','Very Innocent expression','5.0 out of 5 stars',"Exactly the same as shown in picture. It's soooooo cute, very soft, bright and light in weight. Love it for it's pure and innocent looks!!"
'B08LTGVND9','Damage','1.0 out of 5 stars','Unicorn stitching came off in a day. No value for money. Not safe for kids to play as they are stuffed with artificial cotton.'
'B08LTGVND9','Good product','5.0 out of 5 stars','V good'
'B08LTGVND9','Unicorn','5.0 out of 5 stars','The media could not be loaded. Very soft toys for children value for money and Durability. My baby loves it.'
'B08LTGVND9','Product is oky but packaging was open mode.','4.0 out of 5 stars','Pack was open condition i need action against that who give permission to open customer item.'
'B08LTGVND9','stitches coming out','2.0 out of 5 stars',Sewing quality especially finishing is poor. Stitches coming out . It's just ১ week post unboxing. Not value for money
'B08LTGVND9','Soft toy','5.0 out of 5 stars','Soft toy'
'B08LTGVND9','சூப்பர்','5.0 out of 5 stars',''
'B08LTGVND9','Value for money','5.0 out of 5 stars','Value for money'
'B08LTGVND9','Good','4.0 out of 5 stars','Nice'
'B08LTGVND9','Good quality','4.0 out of 5 stars','Good quality'
'B08LTGVND9','Awesome','5.0 out of 5 stars',Same shown as pic it's really very soft n nice .
