item,title,rating,body
'B08Q2CLS25','excellent quality','5.0 out of 5 stars','I like the quality. It looks and is sturdy. Courier needs to help with delivery in home. Assembly is easy but needs manual help putting it alone is lil difficult. OVER all satisfied with my purchase.'
'B08Q2CLS25','Value for money','5.0 out of 5 stars','Excellent finishing and comfort'
'B08Q2CLS25','Not comfortable','2.0 out of 5 stars','Height is very low.. no back support... cushion quality average.. totally not satisfied... not comfortable for adults... for children okay...'
'B08Q2CLS25','Good','5.0 out of 5 stars','Best'
'B08Q2CLS25','Amazing sofa','3.0 out of 5 stars','This sofa is good.. You can buy it in future'
'B08Q2CLS25','A simple sturdy sofa set','5.0 out of 5 stars','The sofa set is sturdy and the color is beautiful.. the quality seems good and there were no scratches or damages in it. Except the cork was missing on one of the legs. Assembling the product was easy even though they didn’t provide a manual but the markings on the pieces were easy to understand. The seat cushion is firm and hopefully it won’t sink after a few months. The fabric used on the sofa is also good. The weight is light so it tends to shift back and forth if we apply a little force while sitting.  Overall it’s a good buy at the price available.'
'B08Q2CLS25','Good Quality and nice product. lovely 🤩 beautiful','5.0 out of 5 stars','Good'
'B08Q2CLS25','look and wood quality👍 cushions 👎','3.0 out of 5 stars','The finishing of wood fitting looks wise is all good. The cushions quality is not good after 2days of usage it became very soft and dont believe they would last for even 6months. Cushion quality can be improved. Wood quality cant judge within 2days. Need to see. Good sofa in this price but with cushion drawback but look wise its very good.'
'B08Q2CLS25','Wood quality is good, gud buy','4.0 out of 5 stars'''
'B08Q2CLS25','Awesome product. Go for it.','5.0 out of 5 stars',"I really like this sofa from Saameniya furniture as the quality is good, comfortable, looks classy. Also, product delivery and assembly was hassle free with brilliant seller after sale service. Don't think much and go for this. It's really sturdy and comfy.  Thanks Amazon and Saamenia Furniture"
'B08Q2CLS25','Brilliant','5.0 out of 5 stars','Loved it'
'B08Q2CLS25','Perfect buying for said value','5.0 out of 5 stars','Perfect buying for given amount. Good finishing easy installation easy DIY simple but elegant look. Seller is cooperative. Buyer can contact seller for any customisation or query.'
'B08Q2CLS25','Great looks good stuff','4.0 out of 5 stars','Value for money looks quality of wood as seen on Amazon. Wish the height of the sofa set were a bit more.A good buy. The seller is approachable and prompt in response.'
'B08Q2CLS25','The best in the price','5.0 out of 5 stars',Furniture is top class. Ive searched for a lot of local furniture around me but haven't found any at this price and quality. Package arrived early. And it was very well packed
'B08Q2CLS25','Is exactly as described and looks elegant and strong','5.0 out of 5 stars','The sofa set is quite strong and seems geniune sheesham wood. Assembly was very easy and all parts had the right measurements. Delivery too was quick (within a week). The base seems MDF material but looks quite thick and strong too.'
'B08Q2CLS25','Good product. Value for money.','5.0 out of 5 stars','Product came as expected and quality is good.'
'B08Q2CLS25','Good set','5.0 out of 5 stars',It's good purchase 😃
'B08Q2CLS25','Product and Customer Support both are good','5.0 out of 5 stars','The media could not be loaded. Good build quality Really easy to assemble and de assemble Top notch customer support'
'B08Q2CLS25','Quality and finishing of the product is good','5.0 out of 5 stars','Our family members likes this product'
'B08Q2CLS25','Not so good sofa','2.0 out of 5 stars','Wood is good. Smell of wood polish will last for atleast a week. Sofa back inclination is not good. Cushions are very bad. I am giving this review after a month usage'
