item,title,rating,body
'B08R57KX76','Good products please buy this products','5.0 out of 5 stars','Good very good best denim jacket 🥰🥰🥰🥰'
'B08R57KX76','Very Worst Quality','1.0 out of 5 stars','Dont buy very bad quality'
'B08R57KX76','Product','1.0 out of 5 stars','Product was not same as shown cheap quality.'
'B08R57KX76','Good product','5.0 out of 5 stars','Denim jacket looks perfect and also stylish quality is also good everything is best'
'B08R57KX76','Good','4.0 out of 5 stars','Good'
'B08R57KX76','Good product','4.0 out of 5 stars','As expected branded fittings stitching weight hard cloth for winter use. Overall good. Bit rough surface on top jacket. worth for Rs 500 range.'
'B08R57KX76','Funtastic with real denim jacket','5.0 out of 5 stars','Initially i have received XXL which actually of my size but found to be much large. So requested for exchange and surprisingly i received funtastic exchanged jacket. Thanks to seller and Amazon for amazing service.'
'B08R57KX76','Worth it product','4.0 out of 5 stars','Jack et ak number ha par or heavy bi ha worth it ha'
'B08R57KX76','Too big.','3.0 out of 5 stars','Jacket does not fit according to your shirt size. I ordered it it on my shirt size but it was too big. My shirt size was L and size of jacket that fitted me was S. Over all the jacket was good.'
'B08R57KX76','Not the same as shown in picture pathetic material','2.0 out of 5 stars','Seriously not expected this from brand like Amazon. Pathetic experience poor quality material not exactly same what has show in picture hence returning the product.'
'B08R57KX76','Not good and very pure and used product','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rkcs6lfvov3w5_1697113687845""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-7379623-4545827""refMarkers:""vse_reviews_desktop_RKCS6LFVOV3W5_1697113687845_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""7759347HFC81ASKDZWXQ""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RKCS6LFVOV3W5""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RKCS6LFVOV3W5_1697113687845_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/bebf83db-9823-46ba-b480-c590f41aa845.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/058ec8d3-dc8d-4924-b876-6eb72f033c05/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RKCS6LFVOV3W5""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rkcs6lfvov3w5_1697113687845-player-b24560c0-51fc-47c6-bbc3-9d5a293d5d87""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""7759347HFC81ASKDZWXQ""pageAsin:""""sessionId:""261-7379623-4545827""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-7379623-4545827""refMarkers:""vse_reviews_desktop_RKCS6LFVOV3W5_1697113687845_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""7759347HFC81ASKDZWXQ""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RKCS6LFVOV3W5""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RKCS6LFVOV3W5_1697113687845_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61FVU74QVFL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Not good 😭'"
'B08R57KX76','Waste of money','1.0 out of 5 stars','Waste of Money.'
'B08R57KX76','Good product','3.0 out of 5 stars','Value for money product. Quality is good enough.'
'B08R57KX76','Disappointed Bekaar soda Schi esi bazar me 200 ki mil jati ha itna brkar kpda ha','1.0 out of 5 stars','Bekar'
'B08R57KX76','Very cheap material','1.0 out of 5 stars',Very cheap material don't buy. Not looks good and also the color become too dirty after wash.
'B08R57KX76','Not the exact as I order...','2.0 out of 5 stars','Fitting is good'
'B08R57KX76','Good product','4.0 out of 5 stars','Nice product and looks cool stretching and cloth is good....nice product in this price segment.'
'B08R57KX76','Good stuff at affordable price','4.0 out of 5 stars','Good qualitysize not as mentioned'
'B08R57KX76','Best denim jacket','5.0 out of 5 stars','Awesome Denim jacket...fits well & looks classy ...slim fit shirt...♥️👌👌👌👌'
'B08R57KX76','Great quality','5.0 out of 5 stars','Good material. Very strong fabric. The look is awesome. A must buy for your wardrobe collection.'
