item,title,rating,body
'B08R68MDBR','Short Review','4.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r2pzhr123rgcdr_1697117478436""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-5417462-4357815""refMarkers:""vse_reviews_desktop_R2PZHR123RGCDR_1697117478436_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""SGX8TY3KAQ22PF5K1C6V""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2PZHR123RGCDR""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2PZHR123RGCDR_1697117478436_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/5a2c333b-3ffe-4c98-8ab1-a4748c61cda4.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/e46c947c-f0e8-4998-9144-6139872159c9/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R2PZHR123RGCDR""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r2pzhr123rgcdr_1697117478436-player-8d3635db-cd05-4f5d-aba2-97b4bbc3a714""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""SGX8TY3KAQ22PF5K1C6V""pageAsin:""""sessionId:""260-5417462-4357815""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""260-5417462-4357815""refMarkers:""vse_reviews_desktop_R2PZHR123RGCDR_1697117478436_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""SGX8TY3KAQ22PF5K1C6V""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2PZHR123RGCDR""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2PZHR123RGCDR_1697117478436_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61b8195mVXL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Good Quality Sharp colourlow weight'"
'B08R68MDBR','It’s a fleece blanket','1.0 out of 5 stars','Its a 300/400 gm fleece blanket Nowhere its a 1400 gm heavy wool blanket as mentioned in the details Please don’t mislead anyone'
'B08R68MDBR','Good size. Good quality.','5.0 out of 5 stars','Good size. Good quality.'
'B08R68MDBR','Simply superb','4.0 out of 5 stars','Money worth'
'B08R68MDBR','good','5.0 out of 5 stars','good'
'B08R68MDBR','Too gud','5.0 out of 5 stars','Nice and satisfying for the beginning of winters...nice purchase worth it'
'B08R68MDBR','Ok','3.0 out of 5 stars',It's not the greatest quality and it's pretty thin. The color is nice though and it is soft.
'B08R68MDBR','Good comfort with warm... good quality product','5.0 out of 5 stars','Nothing'
'B08R68MDBR','Comfortness','5.0 out of 5 stars','Not too thin like expected in railway blanket. Washable in machine . Very comfortable soft  material is too good. Happy purchase 😀 Value for money 👍'
'B08R68MDBR','Good','4.0 out of 5 stars','Good for AC rooms and hills stations.'
