item,title,rating,body
'B08VKP51FF','Overpriced','1.0 out of 5 stars','Not worth it. You may find similar product quite cheaper in local market.'
'B08VKP51FF','No choices','5.0 out of 5 stars',''
'B08VKP51FF','Received only one box that too is broken','1.0 out of 5 stars',''
'B08VKP51FF','Received damaged product and too small compared to the picture that shown in the feed','1.0 out of 5 stars',The media could not be loaded. Worst product i've ever purchased from Amazon
'B08VKP51FF','Bad','1.0 out of 5 stars','He is so small'
'B08VKP51FF',"Size not described,it's too small",'1.0 out of 5 stars','Very small boxes'
'B08VKP51FF','Damaged product','1.0 out of 5 stars','Damaged product'
'B08VKP51FF','Tooooooo Small','1.0 out of 5 stars','Have hardly use'
'B08VKP51FF','सहूलियत वाला,','5.0 out of 5 stars''संतोष प्रद'
'B08VKP51FF','Nice product','5.0 out of 5 stars','Nice product'
'B08VKP51FF','Useful for me','5.0 out of 5 stars','I like it'
'B08VKP51FF','USELESS PRODUCT','1.0 out of 5 stars','NA'
'B08VKP51FF','Waste of Money. Very small Box.','1.0 out of 5 stars','Waste of Money. Very small Box. Today only product came. You closed date for return product on 12/10/2022. Very Bad Service. I want to return back the product'
'B08VKP51FF','👍👍','5.0 out of 5 stars','👍👍'
'B08VKP51FF','Good product','4.0 out of 5 stars','Size is smaller than expected.quality is good.worth for 150 rupees👍'
'B08VKP51FF','RB Adoor','1.0 out of 5 stars',It's is just like a soap box. It's not worth for the money I spent.
'B08VKP51FF','Not as expected','1.0 out of 5 stars','Size and quality was not as expected. And the order was unable to cancel after receiving.'
'B08VKP51FF','Bad quality','1.0 out of 5 stars','The plastic quality is bad. It bends all the time and is not sturdy at all'
'B08VKP51FF','So so quality','3.0 out of 5 stars','The size is not that big also the quality is not the best'
'B08VKP51FF','Worste product','1.0 out of 5 stars','Useless product and very bad Quality.'
'B08VKP51FF','The boxes is too small than shown in the photo poor quality quality','1.0 out of 5 stars','The boxes are too small than shown in the photo poor quality too'
'B08VKP51FF','Waste product','1.0 out of 5 stars','Waste product Photo is big but real boxes is very small Bavers product'
'B08VKP51FF','All boxes in good condition but one is defective.','3.0 out of 5 stars',''
'B08VKP51FF','Quality Good but small size','5.0 out of 5 stars','Received small size in picture shown big but actual size is small. But product quality is good no doubt in this price.'
