item,title,rating,body
'B08WJ86PV2','Mahol h','5.0 out of 5 stars','Lelo bhai log'
'B08WJ86PV2','Nice look but attracts dirt and spots','3.0 out of 5 stars',"Good Look and is easy to clean but a lot of coffee mugs and dirt spots will be on this. Can't eat and leave food chunks and liquid mugs, pots and bowls."
'B08WJ86PV2','Good morning sir it is good product','5.0 out of 5 stars','Fjfvhh'
'B08WJ86PV2','Quality issue','1.0 out of 5 stars','Cloth quality is pathetic.. never recommending for gaming.. dont buy this'
'B08WJ86PV2','Value for money','5.0 out of 5 stars','Great size good quality washable value for money.'
'B08WJ86PV2','fair product according to price','4.0 out of 5 stars','this mouse pad is really good according to its price really long and wide enough in size not that smooth as i expected for a speed type mouse pad but at this price how much more to expect any ways satisfied with the product thank you .'
'B08WJ86PV2','Good one','5.0 out of 5 stars','Good one please go for it.'
'B08WJ86PV2','Ok quality','3.0 out of 5 stars','Didnt expect much because 300 rupees if you are on a tight budget go for it its just slightly lumpy the quality is meh'
'B08WJ86PV2','Good quality','5.0 out of 5 stars','Worth it'
'B08WJ86PV2','Smoothness','4.0 out of 5 stars','Best product according to price'
'B08WJ86PV2','ITS LONG!','4.0 out of 5 stars','It was perfect for my medium desk'
'B08WJ86PV2','Quality','5.0 out of 5 stars','Amazing product value for money Very Nice Quality Go for it'
'B08WJ86PV2','Initial Impressions - Quality is Good for the Price (Rs. 278/-) (Size: 800mm x 30mm x 4mm)','4.0 out of 5 stars',"The mousepad is good as far as the touch and feel of the material goes, especially considering the price point. However, the size advertised is not entirely accurate, and the mat's length falls short by 20 mm (actual size is 780 mm instead of the advertised 800 mm).  Other aspects - Stitching, finishing and print quality - Good On time delivery (as quoted) and packaging - Good  PS: Not assessed thoroughly for extreme gaming. This is only the first impression."
'B08WJ86PV2','nice 👍','5.0 out of 5 stars','smooth enough'
'B08WJ86PV2','First impression is very good','5.0 out of 5 stars','The media could not be loaded. Value for money product and good for full size keyboard and mouse'
'B08WJ86PV2','Very good product','5.0 out of 5 stars','Good quality product. Delivered in a good packaging.'
'B08WJ86PV2','Best mouse pad in budget','5.0 out of 5 stars',It's so good and very long and also easy to clean and quality is also good and also help to minimize the friciton in mosue and table. So recommeding to buy this.
'B08WJ86PV2','Satisfied','3.0 out of 5 stars','Ok'
'B08WJ86PV2','great product','5.0 out of 5 stars','For gaming Value for money'
'B08WJ86PV2',Good quality but it's still bend from 1 side,'3.0 out of 5 stars',I am using it for about a month but 1 side of it is still not flat it's rooling
'B08WJ86PV2','BEST IN BUDGET','5.0 out of 5 stars','This product is very very good in just Rs 300 this is best deal the Matt is glossy type easy for mouse sliding gaming graphic design etc. The size is PERFECT for my needs. Always wanted a full size matt. The design on the Matt is high quality the thickness is also good. I really request the company to give more color options in the same product. Overall 4.7/5 very good buy in 300'
'B08WJ86PV2','Nice, sturdy, high quality and value for money''5.0 out of 5 stars''Best in this price range'
'B08WJ86PV2','Very good product','5.0 out of 5 stars','Nice mouse pad for this price range. Good for entry level gaming.'
'B08WJ86PV2','Value for money .','5.0 out of 5 stars','Must buy it . Very good .'
'B08WJ86PV2','Good Product','4.0 out of 5 stars','Nice to use and good quality as per the price band. Good Size also.'
'B08WJ86PV2','Honest review','5.0 out of 5 stars','Product is good I really like this product And quality is well You can go for it.'
'B08WJ86PV2','Good Product','5.0 out of 5 stars','The media could not be loaded. I am happy with this product'
'B08WJ86PV2','Nice !','4.0 out of 5 stars',"This never disappointed me, I am using this for gaming for more than 1 year and now after 1 year I am writing review. Definitely it's very good product within 600 and I got it on 499."
'B08WJ86PV2','Not waterproof,scamming customers','2.0 out of 5 stars''Came with water signs on mouse pad.it is NOT WATERPROOF .Its 7 days replacement so cannot return it.Another alternative is warhammer mouse pad.Not tested it for waterproofing.'
'B08WJ86PV2','Using Since a Long time - Good for everyday use.','4.0 out of 5 stars','You may Purchase this. Cloth is good. Only need to clean once in week.'
'B08WJ86PV2','Awesome','5.0 out of 5 stars','No other words can describe better... Just awesome..'
'B08WJ86PV2','Good','5.0 out of 5 stars','The product is very good for your desk top set-up.'
'B08WJ86PV2','Good','3.0 out of 5 stars','See the mousepad is good enough to accomodate your both the keyboards and mouse at once and even after this it has ample of space left so the size is good but according to price i felt that it can be better overall it is acceptable'
'B08WJ86PV2','Good value for money product','4.0 out of 5 stars','The media could not be loaded. I baught it for ₹299.'
'B08WJ86PV2',"'In one word ""Awesome""'",'5.0 out of 5 stars',"'In one word ""Awesome""'"
'B08WJ86PV2','Good product','5.0 out of 5 stars','Very nice product in our range and works great'
'B08WJ86PV2','Useless mouse pad....','1.0 out of 5 stars','The media could not be loaded. Mera wirless mouse iss pad par chalta nehin (40/100).koi kaam nehin ho payega. Mujhe cotton wala kapda use karna pad ta hai . YouTuber ki recommendation par liya tha bekar pad hai.... room smelling rubbery.  Waste of money & Not good at all 😭.'
'B08WJ86PV2','Best in quality','5.0 out of 5 stars','Best product'
'B08WJ86PV2','Worth of price','5.0 out of 5 stars','Best product in this price range.'
'B08WJ86PV2','GREAT!!!!','5.0 out of 5 stars','What an awesome mousepad. it has a simple design. nice and professional. Good for gaming. Really made with awsome quality fabric. JUST GO FOR IT AND DONT LOOK BACK.'
'B08WJ86PV2','Definitely worth buying','5.0 out of 5 stars','The mousepad is fairly large & keeps my wireless keyboard & mouse in place with adequate space around them for further movement. The feel is great & mouse can move very smoothly across the mousepad. Definitely worth recommending at this price point (around 300).'
'B08WJ86PV2','Nice','5.0 out of 5 stars','Good product'
'B08WJ86PV2',It's speed type,'5.0 out of 5 stars',"It's very useful product for esports gamers, no issues and perfect 👌"
'B08WJ86PV2','pretty good','4.0 out of 5 stars','satisfactory'
'B08WJ86PV2','Nice Product','4.0 out of 5 stars','Product is of Very Good Quality Go for it . I am giving 1 star less because price is slightly high and I think if height increases it would be better ...'
'B08WJ86PV2','Both good in looking and quality','5.0 out of 5 stars','Best gaming par with dimension of 30cm * 80cm my table is about 1m. So it fits very well and thick ness is 3mm gives best quality'
'B08WJ86PV2','Best Value for money (Compared to other mousepad of higher range )','5.0 out of 5 stars',"best mousepad ( truely), buy it you won't regret. before this i had a mousepad of 1000 rs which is bad quality than this."
'B08WJ86PV2','Very good quality for the price','5.0 out of 5 stars','Just go for it'
'B08WJ86PV2',It's a cloth which is good for mouse,'5.0 out of 5 stars',It's good that's it
'B08WJ86PV2','Floor mat dont order this','5.0 out of 5 stars',The media could not be loaded. Dont order this floor mat. The reason I'm giving 5 stars for this is because Nobody wants to go and check if who has given one star. Please don't order this they are completely rolling this. Your mouse and keyboard will notWork Do a replacement or refund on this this is completely nonsense :)
