item,title,rating,body
'B08YYSX5XX','Mic not working..','1.0 out of 5 stars','The packet was torn. When I tested the item the mic was not working. Hence applied for replacement. Hope to get a better one.'
'B08YYSX5XX','Good','5.0 out of 5 stars','Weight'
'B08YYSX5XX','Durability and warranty','1.0 out of 5 stars',"The product is good and worth the buy but all of sudden after usage of 3months one side of the earphone stopped working..  The product says 1year replacement warranty, but it doesn't say how to claim it!! And when checked there is option to get in touch with the service provider..  Pure scam on warranty is what I would say!!  Any suggestions??"
'B08YYSX5XX','Defective product','1.0 out of 5 stars','Received a defective product. Mic is not working'
'B08YYSX5XX','Too harmful for ear','1.0 out of 5 stars','Feel pain in the ear of i use for 30mnts and followed by headache.'
'B08YYSX5XX','Not For C TYPE USER','1.0 out of 5 stars',The media could not be loaded. This is not for C TYPE USER. This is usb jack pin . That's why the discount 😉
'B08YYSX5XX','Excellent product','5.0 out of 5 stars','Very good Thankq so much Amazon'
'B08YYSX5XX','Decent earphone','4.0 out of 5 stars','I have been using it for last 6 months and it works good. Overall decent earphone.'
'B08YYSX5XX','Not for gaming','1.0 out of 5 stars',Product look Is good but the base is not good and it's not for gaming so don't buy for gaming and it's almost not audible in less then 60% of volume...
'B08YYSX5XX','Dont Buy','1.0 out of 5 stars',Don't waste our money on your cheap products The Products only Work for the Limited Time like 6 months as claimed in Documents and after that either of it's side dont work.
'B08YYSX5XX','Very bad in all expect','1.0 out of 5 stars','Sound quality is bad and slow Discomfort'
'B08YYSX5XX','3rd class bass','1.0 out of 5 stars','3rd class bass'
'B08YYSX5XX','Good to buy','5.0 out of 5 stars','All things are by sound quality to look all good Mic quality also good By look it is too much'
'B08YYSX5XX','Great wired earphones from Boat','5.0 out of 5 stars',Earphones are very good.... using since 1.3 years Didn't have any single issue yet
'B08YYSX5XX','Decent','4.0 out of 5 stars','These are in-ear earphones with an open design like the one we find in apple EarPods. Hence it makes it easy to use and doesn’t block you off completely from surrounding which is a major factor for me. Moreover there is no pressure building up due to non-plug design adding onto better usability. Bass is more than okay but not best. The sound quality like clarity and treble is also okay. I’ve used AirPods Pro hence I noticed the change but a new user with similar sound acquaint won’t notice it. So for this price it’s the Best Buy.'
'B08YYSX5XX','Waste product','1.0 out of 5 stars',Waste product don't buy this earphones....sound quality is very poor....
'B08YYSX5XX','Claim rejected despite being under Warranty','1.0 out of 5 stars','It says 1 year warranty but the product is not available in their drop down menu while we opt for door to door service. When wrote a email it says that the claim has been rejected. Pathetic service'
'B08YYSX5XX','A good product!!','5.0 out of 5 stars','The audio quality and the style is really good.'
'B08YYSX5XX','I received defective product.','2.0 out of 5 stars','No sound quality as well as one side of the headset not working.'
'B08YYSX5XX','One ear phone is not working.','1.0 out of 5 stars','I ordered second time same head phone and the problem is the same. One right side no sound is coming out.'
'B08YYSX5XX','Good','5.0 out of 5 stars','Good'
'B08YYSX5XX','Very good quality ear phones.','5.0 out of 5 stars','The ear phones are of good quality the wire is also tangle free. Genuine worth it.'
'B08YYSX5XX','Jo mene gift pr likhne k liye text diye tha wo aaya hi nahi','1.0 out of 5 stars','The media could not be loaded. Product accha hai lekin gift rapping bekar hai jo text gift pr likhne diya tha wo likha hi ni kya fayega gift ka exta charge dene ka.  👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻🤬😡'
'B08YYSX5XX','Perfect for meetings','5.0 out of 5 stars','Useful and perfect for meetings'
'B08YYSX5XX','Good Product','4.0 out of 5 stars','Good Product'
'B08YYSX5XX','Nice','5.0 out of 5 stars','Nice looking work well good value.'
'B08YYSX5XX','Very bad 👎 😕','1.0 out of 5 stars','This headphone is not good. After using 1 months I faced noice problem.'
'B08YYSX5XX','Good, I like it.','5.0 out of 5 stars''Affordable price & i like it.'
'B08YYSX5XX','Normal headset','3.0 out of 5 stars','Dont expect much from this product an ordinary headset which gives you clear audio output. Not recommended for music lovers.'
'B08YYSX5XX','Worth ...','4.0 out of 5 stars','Worth'
'B08YYSX5XX','Sound of oneside earbud is lost.','2.0 out of 5 stars','Sound of one side earbud is not audible.'
'B08YYSX5XX','Good','5.0 out of 5 stars','Very good product'
