item,title,rating,body
'B092269QR8','Very comfortable','5.0 out of 5 stars',''
'B092269QR8','Good product with cheapest price','5.0 out of 5 stars','Good product with cheapest price'
'B092269QR8','Nice','5.0 out of 5 stars','Very good'
'B092269QR8','Not suitable for big foot size','1.0 out of 5 stars','Size is small and quality is also not good'
'B092269QR8','Size','1.0 out of 5 stars','Size is small only 1 or 2 pair is of my size (no.9). And another thing only four pairs last one only one sacks. Disappointed with Amazon.'
'B092269QR8',Fabric is good and it doesn't smell.,'5.0 out of 5 stars','Using on a daily basis for more than a year.'
'B092269QR8','Value for money','4.0 out of 5 stars','Good product'
'B092269QR8','Worsted clothing','1.0 out of 5 stars','Very worsted'
'B092269QR8','Good','5.0 out of 5 stars','Comfort is best'
'B092269QR8','Not comfortable for size 10','1.0 out of 5 stars','It would be great if they mentioned the size. My foot size is 10 and it is not comfortable wearing them. Please ignore if you are above 8.'
'B092269QR8',It's great,'5.0 out of 5 stars',It's good and fit me well ty Amazon
'B092269QR8','Good','4.0 out of 5 stars','You Can buy them. They are good'
'B092269QR8','Very bad qwality and packaging,,holes on socks very disappointed''1.0 out of 5 stars'''
'B092269QR8','Good fit','5.0 out of 5 stars','Good'
'B092269QR8','Nice and quality product','5.0 out of 5 stars','Product is nice as per the price. This is the second time I have ordered same product I am happy with the quality'
'B092269QR8','good','5.0 out of 5 stars','ok quality'
'B092269QR8','Good','5.0 out of 5 stars','Good'
'B092269QR8','Good','5.0 out of 5 stars','Good one'
'B092269QR8','Good material socks','5.0 out of 5 stars','Socks long lasting economical.'
'B092269QR8','A good product','5.0 out of 5 stars','Very comfortable and good value for money. A very good product must buy.'
'B092269QR8','Quality and quantity','5.0 out of 5 stars','Worthy for money'
'B092269QR8','Value for Money','5.0 out of 5 stars','Excellent product value for money super comfortable and decent smart choice of colours.'
'B092269QR8','Excellent product with cheaper price','5.0 out of 5 stars','Excellent thing under this price range.'
'B092269QR8','Quality is good.','5.0 out of 5 stars','It’s thick and soft.'
'B092269QR8','Totally unsatisfied with the product','1.0 out of 5 stars','Very poor quality. The colour fades soon after use.'
'B092269QR8','Quality review','4.0 out of 5 stars','Best quality'
'B092269QR8','Quality is poor','2.0 out of 5 stars',Its kind of use and throw socks. Won't last for long time
'B092269QR8','Good product','5.0 out of 5 stars','Value for money'
'B092269QR8','Nice','3.0 out of 5 stars','It’s better and good product'
'B092269QR8','Best socks','5.0 out of 5 stars','Best quality loved the fabric... all colors are best and different'
'B092269QR8','Small size','3.0 out of 5 stars','Not suitable for size 10 and above'
'B092269QR8','Quality','3.0 out of 5 stars','Material quality of 4 socks is 9 on the scale of 10 whereas 5th one is of pure polyester. Looks like it’s not from the same package.'
'B092269QR8','Size issue','1.0 out of 5 stars','Size is very small and material also not good'
'B092269QR8','Comfy and Functional','4.0 out of 5 stars','Quality of the fabric is really good. Great fit and very comfortable while wearing. Looks perfect as well'
'B092269QR8','Super 😍😍','5.0 out of 5 stars','Lajwab hai boss 🤩🤩'
'B092269QR8','superb','4.0 out of 5 stars','100%'
'B092269QR8','Good product','4.0 out of 5 stars','Fabric is thicker than other but no problem in wearing overall good quality products at this price'
'B092269QR8','Moneys’s worth','4.0 out of 5 stars','Looks good still not used'
'B092269QR8',Don't buy this product,'2.0 out of 5 stars','Not good product as expected at this price.two different sizes supplied.'
'B092269QR8','Very bad','3.0 out of 5 stars','Dislike'
'B092269QR8','Good product','5.0 out of 5 stars','Value for the month'
'B092269QR8','Good product','5.0 out of 5 stars','Good product. Worth for money'
'B092269QR8','good product','5.0 out of 5 stars','very nice and comfortable value for money'
'B092269QR8','Worst socks ever','1.0 out of 5 stars','Cloth get torned out after the very first wash. Not recommended at all.'
'B092269QR8','Excellent','5.0 out of 5 stars','Value for money'
'B092269QR8','Initial impression is fine','4.0 out of 5 stars','Bought a set of these socks recently. Initial impression is good need to see how they hold up after a few wash cycles.......'
'B092269QR8','Good','4.0 out of 5 stars','Good quality'
'B092269QR8','Good','4.0 out of 5 stars','Good product one side towel finiesh'
'B092269QR8','Item missing, mediocre product, unsealed package''1.0 out of 5 stars''I ordered last week recd today with unsealed packaging. Only 4 socks were there instead of 5. Quality also not great.'
'B092269QR8','Poor quality Fabric after wash','1.0 out of 5 stars',''
