item,title,rating,body
'B0931BBTDP','Bata sleeper','5.0 out of 5 stars','Bata ke yeh sleeper bahut aramdayak hai Pairon ka accupressure hota hai'
'B0931BBTDP','Perfect for affordable shopping and daily use.','4.0 out of 5 stars','Good look good quality comfortable fitting and as well as affordable. One of the bests for daily use. Even the texture upside and pattern downside makes grip stronger to walk on any surfaces.'
'B0931BBTDP','Water resistivity','5.0 out of 5 stars','Water resistivity test not durable for that reason. Otherwise perfect value for money. Appearance should be better. Grip is of mid value. Fits best.'
'B0931BBTDP','Value of money','5.0 out of 5 stars','Value of money good product'
'B0931BBTDP','Nice and comfortable','5.0 out of 5 stars','Very comfortable'
'B0931BBTDP','Best, Given the price','5.0 out of 5 stars''Very durable and with the best price possible'
'B0931BBTDP','Bad quality','1.0 out of 5 stars','Very very bad quality like a duplicate'
'B0931BBTDP','Flip flop','5.0 out of 5 stars','Good'
'B0931BBTDP','Leaves blue color','1.0 out of 5 stars','Shocked to see that the slipper leaves blue stains on ur feet.i washed them a couple of timesyet it leaves color every time and my feet sole turn blue.Would never suggest to buy it.'
'B0931BBTDP','Good for foot pain relief','5.0 out of 5 stars','Good product'
'B0931BBTDP','Good product','4.0 out of 5 stars','Good product as per price'
'B0931BBTDP','Good','3.0 out of 5 stars','Recommended'
'B0931BBTDP','Quality','4.0 out of 5 stars','Good quality and comfortable slippers ..'
'B0931BBTDP','Comfortable Sleeper.','5.0 out of 5 stars','Comfort with acupressure. Thanks Bata for making it.'
'B0931BBTDP','Drastic fall in quality and hike in price','1.0 out of 5 stars',"I have been buying this item for many years from Bata shops. Of late, it is rarely found in the shops. So, I started buying Bata's own online shop. Then it disappeared from there too and was found listed in Amazon. From ₹200 odd the price has been unjustifiably increased to ₹369. And within about 2 weeks of purchase, wear and tear is observed, while the much older ones are still going strong. I use 3 pairs for different parts of my home and garden. So, I keep replacing once in a few months and hence, I am able to tell the deterioration in quality. I have decided to say good bye to these and will switch over to another brand that offers better quality."
'B0931BBTDP','Very good','4.0 out of 5 stars','Comfortable and good'
'B0931BBTDP','Bad quality product.','1.0 out of 5 stars','Looks like it is rejected stuff which bata is selling on Amazon. This is not my first experience. Earlier also I got pair of Ladies sandal which has defect in one foot. I returned. This time it was looking good but in 20 days condition is so bad  all stitching is ripping off in V straps.'
'B0931BBTDP','Nothing','4.0 out of 5 stars','Like & use'
'B0931BBTDP','Comfortable','5.0 out of 5 stars','Very comfortable while wearing and walking and health'
'B0931BBTDP','Fine','4.0 out of 5 stars','Fine but costly'
'B0931BBTDP','Superior Quality','5.0 out of 5 stars','The product is good and well fitted.'
'B0931BBTDP','Good','5.0 out of 5 stars','Good'
'B0931BBTDP','Quality is good .. but does not last long','3.0 out of 5 stars','The material gets worn out quickly due to its softness...'
'B0931BBTDP','Nice comfortable slippers','4.0 out of 5 stars','For those who like acupressure these slippers are quite comfortable. Only one problem is that the sole grip with the floor is not very great'
'B0931BBTDP','Not so comfortable','2.0 out of 5 stars','Not so comfortable. very hard to wear.'
'B0931BBTDP','Such a great choice honestly Very comfortable and light weight And look are awosome','5.0 out of 5 stars','The media could not be loaded. Such a great choice Good quality and light weight look awosome'
'B0931BBTDP','Nice','4.0 out of 5 stars','Comfortable slippers'
'B0931BBTDP','Poor material','2.0 out of 5 stars',The media could not be loaded. I thought it's bata made and quality won't be a issue. But these are made of poor quality material and price also high. I doubt if it is sunshine by bata or someone is selling using bata brand.
'B0931BBTDP','Comfortable','5.0 out of 5 stars','Nice product'
'B0931BBTDP','Average','3.0 out of 5 stars','okok'
'B0931BBTDP','Very comfortable','5.0 out of 5 stars','It is very comfortable. Not sure about the durability. Still think it is a good buy.'
'B0931BBTDP','After usage only i can tell','4.0 out of 5 stars','Its good but seems little fishy as both straps r not equal in size. M regular user of bata same style slippers from last six years . Hope its must be defective piece not duplicate i will come to know after her usage only Everythng. But its good appearance wise quality wise need to wait n watch fingers cross 🤞'
'B0931BBTDP','Comfortable','5.0 out of 5 stars','Nice comfortable slippers'
'B0931BBTDP','Straps are not equal in size due to which the fitting is not good and comfortable.','1.0 out of 5 stars','Straps are not equal in size due to which the fitting is not good and comfortable. I think online products are rejected or defective items put on sale.'
'B0931BBTDP','Very good product','5.0 out of 5 stars','Very good product in cheap price'
'B0931BBTDP','Good pair of slippers for home use','5.0 out of 5 stars','Comfortable pair of slippers and does not slip on the floor easily. Strap is joined together below the arch and on occasion has come off and I have had to discard the slippers.'
'B0931BBTDP','Quality','5.0 out of 5 stars','Good and comfortable 😀'
'B0931BBTDP','BATA IS ALWAYS BATA','5.0 out of 5 stars','VERY NICE PRODUCT . GO ONE SIZE MORE OF YOUR ACTUAL SIZE .'
'B0931BBTDP','Nice slippers with best quality from Bata','5.0 out of 5 stars','Good quality slippers from Bata.'
'B0931BBTDP','Very nice','5.0 out of 5 stars','Very nice'
'B0931BBTDP','Value for money','5.0 out of 5 stars','Good product I like it'
'B0931BBTDP','Very good','4.0 out of 5 stars','Feels comfortable. Good slippers.'
'B0931BBTDP','Below Average quality','1.0 out of 5 stars','It became slippery in just couple of months and even sole has broken of one slipper. Not a good product at all.'
'B0931BBTDP','Not comfortable','1.0 out of 5 stars','Not comfortable and feels defective one as it feels very hard near thumb side. All this can be felt after use only. You can see this abnormal hardness by seeing..'
'B0931BBTDP','About the foot ware','5.0 out of 5 stars','Fits as expected. Request you to take care of Shoe bite....'
'B0931BBTDP','Perfect fit Perfectly made','5.0 out of 5 stars','This is my 2nd piece. Highly comfortable and nicely made. Have been using BATA shoes and Chappals since my school days. Never disappointed. Keep it up BATA.'
'B0931BBTDP','Genuine product','5.0 out of 5 stars','The media could not be loaded. Nice'
'B0931BBTDP','Awesome product and delivery, have been using these for years','5.0 out of 5 stars''Bata product so no issue’s with quality or fit. Have been using this product for years'
'B0931BBTDP','Nice slippers','5.0 out of 5 stars','Nice slippers. This is very light weight and dotted surface. Must buy.'
'B0931BBTDP',It's good product,'4.0 out of 5 stars','Good'
