item,title,rating,body
'B093SWNYYS','Good quality','5.0 out of 5 stars','Value of money'
'B093SWNYYS','Good','5.0 out of 5 stars','Vwry good shampoo wirh affordable price'
'B093SWNYYS','Good','4.0 out of 5 stars','Good'
'B093SWNYYS','Product quality','3.0 out of 5 stars','Sunsilk shampoo is good quality'
'B093SWNYYS','Good','5.0 out of 5 stars','Very good... packing everything ws good 👍'
'B093SWNYYS','Good','5.0 out of 5 stars','The media could not be loaded. Good'
'B093SWNYYS','Makes shiny and silky hair','5.0 out of 5 stars','Sunsilk shampoo is my personal favourite becoz when i wash my hair with sunsilk shampoo then it makes my hair shiny and silky and provide moisture as well. Even i skip conditioner as well'
'B093SWNYYS','good item','4.0 out of 5 stars','My wife use this shampoo more than last 20 years'
'B093SWNYYS','Broken cap','1.0 out of 5 stars','The media could not be loaded. All leakage shampoo'
'B093SWNYYS','Nice','5.0 out of 5 stars','Thik hey'
'B093SWNYYS','Good','5.0 out of 5 stars','Actual product received'
'B093SWNYYS','Good','5.0 out of 5 stars',It's too good for all type of hairs. I highly recommend this one.
'B093SWNYYS','Good','5.0 out of 5 stars','Sunsilk Stunning Black Shine shampoo for hair that shines like you do! It comes with activ-mix that contains Amla + Oil Pearl Protein and Vitamin E. Amla + Oil is known for providing shine to hair Pearl Protein is known for its moisture binding properties and Vitamin E is known as antioxidant. Together this formula of powerful ingredients works best to deeply nourish your black hair reviving hair strands to make it strong & healthy looking for hair that gives shine for upto 24 hours*(Based on Lab test vs. Non-conditioning shampoo) The shampoo comes with no added parabens. Directions to use the shampoo: 1. After washing your hair thoroughly take 2 to 3 drops of the shampoo on your palm equal to the size of a coin 2. Apply the shampoo by gently massaging it all over your hair from roots to the tips. 3. Leave the shampoo on your hair for a couple of minutes and then rinse it off completely. For best results follow up with the use of Sunsilk Stunning Black Shine Conditioner. Using a conditioner correctly can make a difference to hair. By conditioning your hair well you are ensuring that it behaves just like you want it to every time you style it.'
'B093SWNYYS','Great shampoo','5.0 out of 5 stars','Very nice shampoo it makes my hair shiny and silky'
