item,title,rating,body
'B093TDWVL2','All in my family satisfied','5.0 out of 5 stars','Quality and for easy transaction'
'B093TDWVL2','Value for money','3.0 out of 5 stars','Value for money'
'B093TDWVL2','Nice shampoo . good 👍','5.0 out of 5 stars','Thanks 👍. Az tu sahi product Mila hai. Same shampoo .'
'B093TDWVL2','Good','4.0 out of 5 stars','Good'
'B093TDWVL2','Good','5.0 out of 5 stars','Value for money'
'B093TDWVL2','Ok','4.0 out of 5 stars','Ok'
'B093TDWVL2','Satisfied','4.0 out of 5 stars','Nice product'
'B093TDWVL2','Product listing is misleading','1.0 out of 5 stars','Image is different from the product name.'
'B093TDWVL2','Good product','3.0 out of 5 stars','I like it'
'B093TDWVL2','Not good as claimed by company','3.0 out of 5 stars','Used this item but nothing noticable changes.'
'B093TDWVL2','Good for a long run','4.0 out of 5 stars','This bottle will last long.'
'B093TDWVL2','Good👍','5.0 out of 5 stars','Good👍'
'B093TDWVL2','Good','5.0 out of 5 stars','Value for money'
'B093TDWVL2','🙏','5.0 out of 5 stars','Very good product'
'B093TDWVL2','Old pack of bottle received','2.0 out of 5 stars','I have ordered new pack of bottle but recd old one with lots of taped'
'B093TDWVL2','Basic shampoo','5.0 out of 5 stars','Always works for my hair. I like that you don’t need a conditioner for it.'
'B093TDWVL2','nice','5.0 out of 5 stars','nice'
'B093TDWVL2','Good','5.0 out of 5 stars','Very good'
'B093TDWVL2','I want strong thick almond & milk protein you send this','1.0 out of 5 stars',''
'B093TDWVL2','family pack','5.0 out of 5 stars',It's suitable & affordable a budget friendly product it makes hair soft & manageable 👍👍
'B093TDWVL2','received in open condition, without any seal','2.0 out of 5 stars''Received in open condition without any seal. It is unhealthy and suspect adultration'
'B093TDWVL2','Very bad packaging','2.0 out of 5 stars',''
'B093TDWVL2','Good','4.0 out of 5 stars','Good'
'B093TDWVL2','Quality Assurance','5.0 out of 5 stars','Smell and helps in keeping my hair neat and tidy always.'
'B093TDWVL2','Good','4.0 out of 5 stars','Its is good product and I have received this on time. I have used and an very good price and Nice to use'
'B093TDWVL2','Not suits for my hair.','1.0 out of 5 stars','More hairfall after using within two days. Better try this type in small quantity and then go for higher quantities.'
'B093TDWVL2','Nice','5.0 out of 5 stars','Good product'
'B093TDWVL2','Good','5.0 out of 5 stars','Good'
'B093TDWVL2','Super❤','5.0 out of 5 stars','Super❤'
'B093TDWVL2','Leaves hair clean and soft','5.0 out of 5 stars','Cleanses scalp and leaves hair soft..'
'B093TDWVL2','ok','2.0 out of 5 stars','ok'
'B093TDWVL2','Quality','5.0 out of 5 stars','Everything'
'B093TDWVL2','Good product','5.0 out of 5 stars','Good purchase'
'B093TDWVL2','Good','5.0 out of 5 stars','Good product'
'B093TDWVL2','GOOD .','3.0 out of 5 stars','Satisfied .'
'B093TDWVL2','Awesome','5.0 out of 5 stars','Our favourite brand.'
'B093TDWVL2','Thank You','5.0 out of 5 stars','Thank you'
'B093TDWVL2','It is very useful and value of money','5.0 out of 5 stars','I like it so much'
'B093TDWVL2','Good quality','5.0 out of 5 stars','Good quality'
'B093TDWVL2','old.used product','1.0 out of 5 stars','The media could not be loaded. old and dirty'
'B093TDWVL2','Very nice','5.0 out of 5 stars','It’s a good product and compred to shops it is better to purchase here because you get some discounts'
'B093TDWVL2','Overall good product','4.0 out of 5 stars','Fine quantity'
'B093TDWVL2','Clinic plus fabulous','5.0 out of 5 stars','Boxing and all fabulous thankyou so much'
'B093TDWVL2',Shampoo 's cap was opened and it's seal was broken,'1.0 out of 5 stars',''
'B093TDWVL2','Good','5.0 out of 5 stars','Okay'
'B093TDWVL2','Okay','4.0 out of 5 stars','Okay'
'B093TDWVL2','Go for it','5.0 out of 5 stars','Original product'
'B093TDWVL2','Ok','5.0 out of 5 stars','Usefull money'
'B093TDWVL2','Worth purchasing the product','5.0 out of 5 stars','Worth purchasing the product.100% Value for money.'
'B093TDWVL2','Good','4.0 out of 5 stars','Yes like'
