item,title,rating,body
'B096XSBVX4','Kitchen Meat Chopper','4.0 out of 5 stars','Sharpheavy blade nice balance in either hand. Chop/Cut/Slash usage has been satisfactory. Glad to have got this pair for the fair price'
'B096XSBVX4','🙂','5.0 out of 5 stars','Very good product. Go for it under 300 Price'
'B096XSBVX4','Expected it to be more sharp.','2.0 out of 5 stars','Not sharp enough. Somehow does the job.'
'B096XSBVX4','Worth money','4.0 out of 5 stars','Amazing buy 100% worth the price. Suggest to use with sharpener'
'B096XSBVX4','Good product','4.0 out of 5 stars','A worthy buy'
'B096XSBVX4','Sturdy and had good cover','5.0 out of 5 stars',''
'B096XSBVX4','Excellenttt👌👌👌','5.0 out of 5 stars','Superr metal Excellenttt cutting Excellent look Easy to use and catch Verry sharp Totally outstanding 👌👌👌👌👌👌👌👌'
'B096XSBVX4','Knife review','3.0 out of 5 stars','Quality of the cover is not that good.'
'B096XSBVX4','Very low quality','1.0 out of 5 stars','Poor and cheap product. Pls dont buy'
'B096XSBVX4','Good product','5.0 out of 5 stars','Nice'
'B096XSBVX4','Sheath was cracked','2.0 out of 5 stars','The sheath was craccked'
'B096XSBVX4','Quality','5.0 out of 5 stars','Liked the quality and its cover for protection worth it'
'B096XSBVX4','Kathi','5.0 out of 5 stars','Super.samayalukku peridhum udhavugiradhu.'
'B096XSBVX4','Good 👍','5.0 out of 5 stars','The media could not be loaded. Quality is very good 👍👍'
'B096XSBVX4','Amazing','5.0 out of 5 stars','Value of money Good product'
'B096XSBVX4','Ok Product....Weight and Length should more','3.0 out of 5 stars','Just ok product  knife are very light it should have weight and length should little more..'
'B096XSBVX4','Good product and stainless steel knife','5.0 out of 5 stars','Excellent set.. so fine sharp and quality steal used. Quite sturdy.. Worthit a buy!! The good thing is the handle is not separate from the head.. Its all in one.. A single monolith piece.. hence the handle would not break unlike other conventional knives.. Thats the great thing abt this product!! Super excited!'
'B096XSBVX4','Best product','5.0 out of 5 stars','Like'
