item,title,rating,body
'B097BFDJNG','Its value for money','5.0 out of 5 stars',"I liked it, it's totally value for money and the items are sturdy and strong."
'B097BFDJNG','Very useful','4.0 out of 5 stars','Good quality'
'B097BFDJNG','Good quality','5.0 out of 5 stars','Material used is good feels sturdy while using'
'B097BFDJNG','Damaged box','1.0 out of 5 stars','Two time replaced but they keep on sending damaged box. Moreover the quality of items is not at all good.'
'B097BFDJNG','Good product','3.0 out of 5 stars','Everything is fine  but I got old wrench in my kit That was wrong thing in part of the company.'
'B097BFDJNG','Value for Money','5.0 out of 5 stars','The Bare minimum tool box to have in every home.'
'B097BFDJNG','Not bad','4.0 out of 5 stars',"The product has value for money. However the contents seems like little bit old. As shown in photos, the measuring tape's tag clip seems to start rusting. In the case of hammer, the metallic ring was supposed to be attached to the head, but instead it's loose and will move back and forth whenever the hammer is even lifted/tilted"
'B097BFDJNG','Value for money best product','5.0 out of 5 stars','Thank full to Amazon I got the best product which is helping me'
'B097BFDJNG','Awesome Product 🤘🏼','5.0 out of 5 stars',Quality and Finishing of the product is awesome. It's easy to use. Wrench adjustment is very nice. Everything needed comes in low price with best quality.  Highly Recommended..!!!
'B097BFDJNG','Quality Material','5.0 out of 5 stars',"I got confused whether it's a tool box or gift box. Very nice packing, quality material, value for money."
'B097BFDJNG','Feels Premium. A Must Have Tool if you need to manage few things by your own in home.','5.0 out of 5 stars','In this package you get all the robust tools. From the plier to the Inch tape the build quality of every tool is great. The hammer is tough. The holding grip of every tool is strong smooth and comfortable to hold. Feels premium.  Pros: Feels Premium A great Build quality Robust & Rigid Grip is smooth & comfortable'
