item,title,rating,body
'B097BTJV3D','.','5.0 out of 5 stars','Compact and very useful product'
'B097BTJV3D','It is okay. Quality could be better','3.0 out of 5 stars',It's fine for storing tools but the quality of the rivets could be better. They came loose after a few days. Had to fix them myself.
'B097BTJV3D','Not rivited properly','1.0 out of 5 stars',''
'B097BTJV3D','Good 👍','4.0 out of 5 stars','Good 👍'
'B097BTJV3D','No issue with product','2.0 out of 5 stars','But pricing change after I placed that order and I Pay more for this and their no return policy in this'
'B097BTJV3D','Received damaged','1.0 out of 5 stars','this is my second order for same product this time material was not good and fully damaged.'
'B097BTJV3D','Worst product','1.0 out of 5 stars','Worst product dont buy'
'B097BTJV3D','రింగుపానులు పడడం లేదు వెడల్పు తక్కువ ఉంది పొడుగు తక్కువ ఉంది క్వాలిటీ బాగుంది','1.0 out of 5 stars','The media could not be loaded. క్వాలిటీ బాగుంది కొంచెం పొడుగు ఎక్కువగా ఉండి వెడల్పు కొద్ది ఎక్కువ ఉంటది బాక్స్ వెరీ సూపర్ ఉంటుంది ప్లీజ్ అమెజాన్ ఈ బాక్స్ పనిచేయడం లేదు ఫోన్లో చూసి బాక్స్ బాగుంది అని పెద్దగా ఉంటది పాలలో రూల్స్ అన్నీ పడతాయి అని అనుకున్నాను కానీ నేను అనుకున్నట్లు లేదు చిన్నగా ఉన్నది వెడల్పు తక్కువ ఉన్నది కొంచెం పెద్ద సైజు ఉంటే బాగుంటుంది కాబట్టి వేరే ఈ బాక్స్ నాకు పని చేయదు దయచేసి రిటర్న్ తీసుకోండి'
'B097BTJV3D','Joints of the handles are not properly revetted','1.0 out of 5 stars','The media could not be loaded. Worse experience. After a week of use joints of handles separated due to poor revetting.'
'B097BTJV3D','Good','5.0 out of 5 stars','Good'
'B097BTJV3D','No quality','1.0 out of 5 stars','One month used full domage'
