item,title,rating,body
'B097JJKB5W','Got it at 2800 rupees only','5.0 out of 5 stars','Very good quality'
'B097JJKB5W','Scratch proof and vibrant colour','5.0 out of 5 stars',''
'B097JJKB5W','Good product','4.0 out of 5 stars','Colour and size is perfect'
'B097JJKB5W','Value for money','5.0 out of 5 stars','Best in this price range. I am using safari luggage since last 10 years'
'B097JJKB5W','Defected product','1.0 out of 5 stars','The media could not be loaded. Side Rubber not fitted properly nylon threads flittering from sides poor finishing.'
'B097JJKB5W','Mast Hai','5.0 out of 5 stars','Superb Purchasing by me. Value for money'
'B097JJKB5W','Cheap stuff','1.0 out of 5 stars','The cheapness of the product is quite visible. Is t much scratch resistant. Zips give away easily.'
'B097JJKB5W','Spacious and sturdy','4.0 out of 5 stars','Love this bag.. very useful for long travels..it’s very strong and the color is elegant. Go for it.. bought it in DEAL'
'B097JJKB5W','Value for money','4.0 out of 5 stars','Got quality bag in affordable price . Colour is a described in photo. But there was black decorative part missing in one wheel'
'B097JJKB5W','I’ve bought it to gift on engagement','5.0 out of 5 stars','Product looks premium and has 5 years of international warranty and colour is the centre of all the talks. I am satisfied with the product.'
'B097JJKB5W','Product osm','5.0 out of 5 stars','Osm product'
