item,title,rating,body
'B097QNMBD7','Quality','5.0 out of 5 stars','Good product'
'B097QNMBD7','Good product with not-so-good packaging','4.0 out of 5 stars','Packaging was poor which resulted in minor but permanent scratches on the body. It requires more attention from the seller.'
'B097QNMBD7','Nice color and shiny look 😊','4.0 out of 5 stars','The color and look of the suitcase is very nice ...only feature which some might feel will give less space is there are two compartments or sections on each side ...but price wise is quite a good deal for the big and small suitcase combo.....'
'B097QNMBD7','Quality is good','4.0 out of 5 stars','Lock sestem is very bad'
'B097QNMBD7','Quality','1.0 out of 5 stars','Poor quality of zippers and lock. Bad experience'
'B097QNMBD7','Good','4.0 out of 5 stars','It was shown same as in the picture i like the quality and color. With this price it is ok.'
'B097QNMBD7','Damaged handle within less than 4 months of purchase','2.0 out of 5 stars','Damaged handle within less than 4 months of purchase of the 55 cms bag. Handle quality needs significant improvement. Additionally no mechanism to contact manufacturer or seller for the warranty discussions / addressing the defect issue.'
'B097QNMBD7','quality product','5.0 out of 5 stars','very very good'
'B097QNMBD7','Disappointing Purchase: Trolley Wheel Bags with Poor Materials Quality','2.0 out of 5 stars',"I recently purchased a set of trolley wheel bags from Amazon, and I must say I am extremely disappointed with the poor materials quality. These bags seemed like a great deal at first, but their overall construction and durability leave a lot to be desired.  First and foremost, the wheels on these bags are extremely flimsy. They feel like they could fall off at any moment, and they wobble and squeak with the slightest movement. It's frustrating and inconvenient to have to constantly worry about the stability of the bags while maneuvering them around.  Furthermore, the handles on these bags are also made of subpar materials. They feel cheap and uncomfortable to hold, and I have doubts about their long-term durability. I fear that they might break or snap under normal usage conditions, leaving me with a useless bag.  The fabric used to construct the bags is also disappointing. It feels thin and lacks the sturdiness required for travel luggage. I expected a higher level of quality for the price I paid, but instead, I received bags that seem like they won't withstand even a few trips.  Additionally, the zippers on these bags are frustratingly unreliable. They often get stuck or snag on the fabric, making it a struggle to open or close the bags. This lack of attention to detail and functionality is a major drawback and adds to the overall disappointment.  To make matters worse, the customer service experience with the seller was less than satisfactory. Despite reaching out to them regarding my concerns and expressing my disappointment, I received no response. It's disheartening to see such a lack of responsibility and care from the seller.  In conclusion, I strongly advise against purchasing these trolley wheel bags due to their poor materials quality. They simply do not meet the standards expected for travel luggage. I regret my decision to buy them and will now have to look for a more reliable and durable alternative. Save yourself the frustration and disappointment and explore other options available on the market."
'B097QNMBD7','Best buy','5.0 out of 5 stars','Beautiful colour and good quality . Go for it guys .'
'B097QNMBD7','🙂','5.0 out of 5 stars','Good'
'B097QNMBD7','Travel','5.0 out of 5 stars',It's really good product for traveling.
'B097QNMBD7','Number lock getting jammed','2.0 out of 5 stars','Its number lock gets jammed frequently'
'B097QNMBD7','Value for Money','5.0 out of 5 stars','Durable and Handy... And it looks fancy'
'B097QNMBD7','Good looking','4.0 out of 5 stars','Easy to travel'
'B097QNMBD7','Nice .. 🙂','5.0 out of 5 stars','Same as shown.. overall nice..'
'B097QNMBD7','Trolley bag','5.0 out of 5 stars','Nice colour and comfortable'
'B097QNMBD7','There is 3 years warranty','4.0 out of 5 stars',I liked the product very much. I'm very happy I've purchased a great item. I use it when I travel.
'B097QNMBD7','value for money','5.0 out of 5 stars','built quality is good. light weight and easy to carry for travelling.'
'B097QNMBD7','Good','4.0 out of 5 stars','Good'
'B097QNMBD7','Good product','4.0 out of 5 stars','Good product'
'B097QNMBD7','Nice product . Received as it is','4.0 out of 5 stars','Nice delivery and very genuine product. Good quality with brand trust'
'B097QNMBD7','Eye Mask with cooling gel','5.0 out of 5 stars','This item is very helpful for a person and for relaxation of eyes'
'B097QNMBD7','Unable to unlock','1.0 out of 5 stars','The bag was delivered with lock. We were unable to unlock and the customer care could only suggest to return. The bags are returned but the refund is yet to happen'
'B097QNMBD7','Great product nd no damage found ….just love it','5.0 out of 5 stars','Best trolly'
'B097QNMBD7','Quality not so good','2.0 out of 5 stars','Not so good quality'
'B097QNMBD7','Product is good but....stitch quality is bad','1.0 out of 5 stars','Stitching quality is really bad. Customer service from safari is nightmare.'
'B097QNMBD7','Trolley is defective chain is not working','1.0 out of 5 stars','Trolley is defective jip is not working'
'B097QNMBD7','H','5.0 out of 5 stars','Good product'
'B097QNMBD7','Ok','5.0 out of 5 stars','Very product'
'B097QNMBD7','Must buy.','5.0 out of 5 stars','Amazing deal. Worth purchasr'
'B097QNMBD7','SUPPERB QUALIFY','5.0 out of 5 stars','Very nice quality and delevery'
'B097QNMBD7','Key is missing','2.0 out of 5 stars','Key is missing when trolley arrived. Also no instructions on how to change default digital code to lock and unlock'
'B097QNMBD7','Great price range','5.0 out of 5 stars','Good'
'B097QNMBD7',Product seems good but can't get it registered for warranty,'2.0 out of 5 stars',Product seems good but can't get it registered for warranty
'B097QNMBD7','Good product','4.0 out of 5 stars','Good product'
'B097QNMBD7','Nice product','5.0 out of 5 stars','55 cm suitcase is suitable for 3-4 days trips for one person....N 65cm bag is for 10days'
'B097QNMBD7','Great purchase..','5.0 out of 5 stars','It is highly recommended to purchase travel bags during sale on amazon. At reasonable price I got these trolly bags.'
'B097QNMBD7','How does the Warranty card works','1.0 out of 5 stars',"The media could not be loaded. The lock isn't working ,it's stuck and how does the warranty card works?"
'B097QNMBD7','Worth to buy BH','5.0 out of 5 stars','Worth to buy it'
'B097QNMBD7','pricing','4.0 out of 5 stars','In diwali sale i saw these two bags at ruppees 4000. If it is costly thẹn that don’t buy try to wait for any big sale. It is good product.'
'B097QNMBD7','Product was really good','4.0 out of 5 stars',Quality and weight of product is good but there's a doubt about scratch resistant
'B097QNMBD7','Nice product','5.0 out of 5 stars','Ascha product hai'
