item,title,rating,body
'B098JZG9N4','Worst product, the even cancelled the return','1.0 out of 5 stars''Worst product ever'
'B098JZG9N4','I am returning it , it is blue','2.0 out of 5 stars''Fabric and all good but its complete BLUE  so i m returning it ...it should be WHITE'
'B098JZG9N4','Pockets','5.0 out of 5 stars',It's hasa left front pocket and the side pickets
'B098JZG9N4','Good coat at great price','5.0 out of 5 stars','The coat is great and exactly like shown in images. Fits properly and the fabric seems long lasting and sturdy.'
'B098JZG9N4',It's great,'5.0 out of 5 stars','I need for my lab purpose but it got too long sleeves but you can fold it gives you a descent classy look . It is thick cotton fabric and is good.'
'B098JZG9N4',Didn't receive,'3.0 out of 5 stars','3 starts given for money back on time. I still want to buy it hope I receive it next time'
'B098JZG9N4','Product is large in size, Overall grading is 3','3.0 out of 5 stars''Overall like'
'B098JZG9N4','Poorquality','2.0 out of 5 stars','Very worst quality'
'B098JZG9N4','Size is shorter','3.0 out of 5 stars','All is well but size is shorter than the description in site.'
'B098JZG9N4','Good Quality','5.0 out of 5 stars','The product quality and the fit were up to the mark. Will definitely buy the same again and highly recommend.'
'B098JZG9N4',"Don't think twice, go for it!",'5.0 out of 5 stars','Great fitting good quality and comfortable for regular wear. The fabric and stiching of the product is nice. Must buy!!'
'B098JZG9N4','Its definitely not white in colour; looks more like light blue','1.0 out of 5 stars','I did not like the product as it was not white in colour. I had to return the product immediately'
'B098JZG9N4','Very good product. Fits very well','5.0 out of 5 stars','Fitting is very good. Very good quality product. Can wear it the lab full day very comfortably. I recommend this product'
'B098JZG9N4','Love it','5.0 out of 5 stars','Cloth is really good n perfectly fit'
'B098JZG9N4','Very good quality lab coat','5.0 out of 5 stars','The quality of lab coat is very good the fabric of lab coat is very comfortable. All and all a very good product.'
'B098JZG9N4','poor qulaity material looks light blue and not white very poor','1.0 out of 5 stars','it is not white it is blue transparent material i can see color of my t shirt very very poor quality'
'B098JZG9N4','Fabric is not good','1.0 out of 5 stars','Fabric is not worth the money'
'B098JZG9N4','Not a wrinkle free fabric !','3.0 out of 5 stars',"Product is fine but I expected a wrinkle free fabric as mentioned. The fabric I got is not wrinkle free. Besides this, it's good."
'B098JZG9N4','Waste of money','1.0 out of 5 stars','Fititig is not good'
'B098JZG9N4','Size: M , Colour: white','4.0 out of 5 stars''Really GOOD 😁🤩🤩 The lab coat is same as shown in picture..n as I needed a bit loose one I ordered M size..only the length differs....but overall product delivered is GOOD 👍👍👍'
'B098JZG9N4','It is same as the picture','5.0 out of 5 stars',It's very nice and perfect fit for me.
'B098JZG9N4','Good product','5.0 out of 5 stars','Nice'
