item,title,rating,body
'B0995VW65M','Best product','5.0 out of 5 stars','Good quality'
'B0995VW65M','Okey','3.0 out of 5 stars','SMELL'
'B0995VW65M','The plastic quality is very low','1.0 out of 5 stars','The smell of the bottle is very bad'
'B0995VW65M','Cheap quality','1.0 out of 5 stars','Quality was very cheap. You can easily find better option for this price'
'B0995VW65M','bad quality and west of money','1.0 out of 5 stars','bad quality weast of money'
'B0995VW65M','Quality not good','2.0 out of 5 stars','Printed labell not good'
'B0995VW65M','Damaged','1.0 out of 5 stars','Not nice'
'B0995VW65M','AQUAQLEAN Plastic water bottles','5.0 out of 5 stars','Great product'
'B0995VW65M','Not worth it','1.0 out of 5 stars','Very bad product'
'B0995VW65M','Stylish look but not a gud quality','2.0 out of 5 stars','Not a gud quality.'
'B0995VW65M',Don't buy this,'1.0 out of 5 stars','Worst quality bottles I have ever seen Not durable'
'B0995VW65M','High price compare to quality.please donot purchase','2.0 out of 5 stars','Poor quality material and maximum high rate'
'B0995VW65M','Good product','5.0 out of 5 stars','It’s good product go for it'
'B0995VW65M','To bad quality','1.0 out of 5 stars','To bad quality'
'B0995VW65M','Bad plastic. Leaking and smell bad too.','1.0 out of 5 stars','The plastic bottles are very bad quality. The kind that causes cancer. Smells bad too and is leaking. Such a waste. Who are these people giving this piece of plastic crap good ratings!'
'B0995VW65M','Elegant product...','5.0 out of 5 stars','I use this product as a Fridge Bottles for water. Very elegant & easy to clean. Easy to handle by children also.👌👌👍'
'B0995VW65M','Good','5.0 out of 5 stars','Good'
'B0995VW65M','Plastic not of food grade','1.0 out of 5 stars','Water inside bottle will keep smelling bad. This kinda plastic is not good for health. Avoid buying this product. Should be banned by amazon.'
'B0995VW65M','good not at all','1.0 out of 5 stars','bad smell came from this product when we kept water in this bottles.'
'B0995VW65M','Not good','1.0 out of 5 stars',There is no print on bottle....it'd on plastic and stick on bottle...and lid is not perfectly fit.
'B0995VW65M','The plastic bottle is not of a good quality','1.0 out of 5 stars','It smells after sometime though washing regularly. Quality is poor. The mouth of the bottle is so narrow that no cleaning brush can go inside. Sometimes I feel I just waste money on Amazon. The Amazon never checks their vendors.'
'B0995VW65M','Bakwass product hai.','1.0 out of 5 stars','Not good at all'
'B0995VW65M','Not recommend much','1.0 out of 5 stars','They smell after multiple washes.'
'B0995VW65M','Leakage problem u can’t use it while travelling','3.0 out of 5 stars','Good'
'B0995VW65M','I love these bottles!','5.0 out of 5 stars','People in the review say it’s not leakproof  but in my experience if you turn it till the last turn and lock it  it doesn’t leak anymore! Even the plastic quality is pretty decent. I’m glad I didn’t follow the reviews and still went ahead with it'
'B0995VW65M','Not as trendy as in pics','3.0 out of 5 stars','Only a printed label on two sides. Rest two sides are blank.'
'B0995VW65M','worst smell','1.0 out of 5 stars','i threw them after a week how much i try to get rid of the smell it became horrible i two days.... it gives terrible smelly burps after drinking from this bottles never buy'
'B0995VW65M','Not for regular use - use and throw material','2.0 out of 5 stars','Ordered this as for regular use but the quality is very low. We can use it one or twice and throw it. Dont fill with warm water'
'B0995VW65M','Not worth the money','3.0 out of 5 stars','Plastic quality is bad'
'B0995VW65M','Smelling bad','1.0 out of 5 stars','The plastic look cheap and smelling bad.'
'B0995VW65M','Bad quality','1.0 out of 5 stars','Return'
'B0995VW65M','Poor quality','1.0 out of 5 stars','The bottles look different from what’s shown . It’s not firm and looks cheap'
'B0995VW65M','Not of good quality','1.0 out of 5 stars',I didn't like the product. Not of good quality.
'B0995VW65M','Cheap plastic','1.0 out of 5 stars','Bottles are made of cheap plastic. Returned them same day.'
'B0995VW65M','Smelly plastic quality','1.0 out of 5 stars',It smells easily but my high quality plastic don't smell. Do not purchase
'B0995VW65M','Quality','5.0 out of 5 stars','Good quality'
'B0995VW65M','Good product','5.0 out of 5 stars','Good product'
'B0995VW65M','My flatmate loves this in our house','5.0 out of 5 stars','They are picturesque.'
'B0995VW65M','Very very very bad','1.0 out of 5 stars','Very very very cheap'
'B0995VW65M','Poor quality product','1.0 out of 5 stars','Total waste of money. The quality is so poor. Do not buy'
'B0995VW65M','Not good','1.0 out of 5 stars','Not good'
'B0995VW65M','Nice product','4.0 out of 5 stars','Looks great slightly leak othe wise good purchase'
'B0995VW65M','Quality inadequate','1.0 out of 5 stars','Too much expensive as per quality'
'B0995VW65M',Don't buy this...,'1.0 out of 5 stars','Worst product.... Waste of money...'
'B0995VW65M','bad quality of bottles','1.0 out of 5 stars',bad quality of bottles. Also after several cleaning it's laung type smell is not going
'B0995VW65M','Pathetic plastic','1.0 out of 5 stars','Better to go with good brands like cello or milton… this crap is only looks good in image otherwise once you get it you will feel that for this price this is not worth at all'
'B0995VW65M','Good product, go for it','5.0 out of 5 stars''Good product go for it.'
'B0995VW65M','Good looking, less than expected capacity, quality not good''2.0 out of 5 stars''Plastic is flimsy'
'B0995VW65M',It's not freezer bottles,'2.0 out of 5 stars','The bottles expand when frozen.'
'B0995VW65M','Bad plastic quality','1.0 out of 5 stars',Plz don't buy these bottles they are not made from food grade material. They stinks
