item,title,rating,body
'B099F3WJKW','Product is in damage condition kindly return it','1.0 out of 5 stars','No never'
'B099F3WJKW','It','3.0 out of 5 stars','This shampoo is not so good as it gives me dry and flaky scalp and if you have oily scalp maybe it will work on you'
'B099F3WJKW','Worst Product','2.0 out of 5 stars',I didn't like Mamaearth Onion Hair Fall Shampoo. It made my hair feel greasy and didn't help with hair fall.
'B099F3WJKW','Average','3.0 out of 5 stars','Almost Average product...'
'B099F3WJKW','Worth the money','5.0 out of 5 stars','It gives a smoothening effect'
'B099F3WJKW','Great','5.0 out of 5 stars','Nice'
'B099F3WJKW','Good product','4.0 out of 5 stars',It's a good product
'B099F3WJKW',I don't think it is a shampoo it is a conditioner can't use it as a shampoo,'2.0 out of 5 stars',I don't think it is a shampoo it is a conditioner can't use it as a shampoo
'B099F3WJKW','Nice product for hair','5.0 out of 5 stars','Recommending this product as it works fine for all types of hair. I personally could feel that my hair-loss has reduced to some extent post using this.'
'B099F3WJKW','Good','5.0 out of 5 stars','This shampoo is best and authentic and also helps you to smoothen your hair. Smells good.'
'B099F3WJKW','Worst','1.0 out of 5 stars',I was searching for good and suitable shampoo. After seeing reviews I tried this shampoo. But it didn't work for hair fall control . Makes hair so frizzy. Worst experience.
'B099F3WJKW','Not good for normal and dry hair.','1.0 out of 5 stars','It totally makes your hair dry to the core even makes your health bad.'
'B099F3WJKW','Hair fall control','5.0 out of 5 stars','Yes i have noticed hair fall control in one wash...  But after wash hair comes freeze...'
'B099F3WJKW','Poor Quality Shampoo','1.0 out of 5 stars','Dear Friends Hello I am using this shampoo for hair fall control and normal recovery but no effect will shown. Also due to that my hair get dry and hard fall get continuous.  Then I think to use it as a normal shampoo but it will not give any foam via using it.  It is worthless from my point of view not to buy again in future.'
'B099F3WJKW','Worst','1.0 out of 5 stars',Worst shampoo I have ever use man ! 😫. It doesn't wash off and even doesn't clean scalp. I would have given it no star if available
'B099F3WJKW','Hair caring solution','5.0 out of 5 stars',This is a very usefull product and owsom for the hairfall solution every one . Everyone can you this product it's netural and harbal no camicals including this .
'B099F3WJKW','Very very bad shampoo used till now','1.0 out of 5 stars',Very very very bad shampoo as I used hair falls start from 10 to 90 percent very very extremely bad don't not use it
'B099F3WJKW','Mama Earth shampoo','1.0 out of 5 stars','Useless'
'B099F3WJKW','Awesome','5.0 out of 5 stars','My wife happy'
