item,title,rating,body
'B09CVC4DDY','Good','5.0 out of 5 stars','Worth price'
'B09CVC4DDY','Worst product, waste of money','1.0 out of 5 stars''Please do not buy this product. The table was filled up with termites and smelled rotten as if was kept outside in rain for long time. It had fungal growth all over it. Literally had to put it in the trash can as soon as I opened the package. Please do not buy.'
'B09CVC4DDY','Worst product','1.0 out of 5 stars','Size and quality'
'B09CVC4DDY','Quality','1.0 out of 5 stars','Not in good'
'B09CVC4DDY','Return','1.0 out of 5 stars','Very small'
'B09CVC4DDY','Got crooked piece so returning it.','2.0 out of 5 stars',Stars are only for the quick delivery by Amazon. Sadly the one I received is defective. Product's upper shelf is crooked...and it's difficult to open up and place also. There was also mould on the lower side. Got it today but will return it as it looks and feels defective. Size wise it's smaller than expected. Looks cute to place small items.
'B09CVC4DDY','Very small','1.0 out of 5 stars','Size is small Not value for money Nearby shop told 250 rs for this table and Amazon price is 469rs'
'B09CVC4DDY','Very pretty stand','5.0 out of 5 stars','Looks really nice with plants kept on it like a mini park bench lovely plant stand'
'B09CVC4DDY','Received Damaged Product','1.0 out of 5 stars','Received Damaged Product and also it is fungus on the table.'
'B09CVC4DDY','Not worth buying','3.0 out of 5 stars','The media could not be loaded. The table is best at it shows but when buying products it feels to be satisfied however the stool seem to have gap in the middle not well stand .. the balance is not good'
'B09CVC4DDY','Not bad','2.0 out of 5 stars','Finishing not as I see at online picture.😏'
'B09CVC4DDY','Good Product','5.0 out of 5 stars','The product is very good'
'B09CVC4DDY','Super','5.0 out of 5 stars','The product is as same as shown'
'B09CVC4DDY','Good','3.0 out of 5 stars',"Good quality product, light weight. Size is small. Can't handle weight equally. Appearance is okay. Stability is not good otherwise okay."
'B09CVC4DDY','patio furniture','5.0 out of 5 stars',I bought to make a cute tea spot in my balcony and it's a perfect add on
'B09CVC4DDY','I loved it','5.0 out of 5 stars','Exactly as expected... fits well into my tiny little balcony space and sturdy enough with good space for medium sized pots... Good quality...'
'B09CVC4DDY','Pls check the items before you deliver','1.0 out of 5 stars','The media could not be loaded. Product is ok. Before deliverying the product pls check it.'
'B09CVC4DDY','Good product','4.0 out of 5 stars','Stable and sturdy... Worth buying'
'B09CVC4DDY','Received broken item','1.0 out of 5 stars',Received broken product. There is no return pick even for a broken product. You have to ship yourself which doesn't make sense considering cost involved.
'B09CVC4DDY','Poor finishing.','2.0 out of 5 stars','Product is build okay but is old and not stored properly. Has moisture and loose screw. Polish is not proper. Algae covered over the stand. If not required skip this product for something better.'
'B09CVC4DDY','Broken','1.0 out of 5 stars','Damaged product'
'B09CVC4DDY','Good Product','5.0 out of 5 stars','I loved to use this. It is very handy and easy to carry. It occupies less space.'
'B09CVC4DDY','Value for money','5.0 out of 5 stars','It is delicate and meant to put small things on it. But it’s quality is good and looks very nice in an office or home. Worth purchasing.'
'B09CVC4DDY','Bad','2.0 out of 5 stars','It was damaged  and not aligned perfectly as showed in image'
'B09CVC4DDY','It was awesome product','5.0 out of 5 stars','Very cute Its look like small table with chair...'
'B09CVC4DDY','Destroyed product','1.0 out of 5 stars','Damaged product'
'B09CVC4DDY','Bevakuf banate haai','1.0 out of 5 stars','Delivery are so late services are so bad I suggested dont buy this product..... Very pooor experience Pls change your Delivery partners 🙏'
'B09CVC4DDY','Not recommended','1.0 out of 5 stars','Not good... getting fungus very easily'
