item,title,rating,body
'B09H27WGZF','Became dull in two uses','1.0 out of 5 stars','On the plus side the handle is comfortable and the blade is lightweight. However none of that matters since the knife became absolutely dull after using it just twice.'
'B09H27WGZF','Value for money','5.0 out of 5 stars','Nice product 👌'
'B09H27WGZF','Great product!!','5.0 out of 5 stars','I am using this since last one month and fully satisfied with this. This is slightly larger and heavier compared to regular tomato knife but very good for cutting saag and sabji.. finish of this knife is excellent.'
'B09H27WGZF','Good for skillers','4.0 out of 5 stars','Strong and gripped handle knife very sharp  need basic skills to handle the knife...Uneasy with wet vegetables..its my opinion...'
'B09H27WGZF','Knife','5.0 out of 5 stars','Its nice knife'
'B09H27WGZF','Excellent. Very sharp','5.0 out of 5 stars','Excellent knife'
'B09H27WGZF','Nabab','5.0 out of 5 stars','Excellent performance'
'B09H27WGZF','Super','5.0 out of 5 stars','Exlent'
'B09H27WGZF','Product','5.0 out of 5 stars','Just I can say ... Excellent superb'
'B09H27WGZF','Not sharp','2.0 out of 5 stars','Blade shuld be more sharp'
'B09H27WGZF','Very sharp knife.','4.0 out of 5 stars','Sharp Nice design but Weigh too light.'
'B09H27WGZF','Nice','5.0 out of 5 stars','G8 knifemust buymakes cooking easy.'
'B09H27WGZF','Broke on first use','1.0 out of 5 stars','Knife thickness is so thin that it broke on its first use..now not able to return also..worst quality'
'B09H27WGZF','Nice but gets blunt in no time','3.0 out of 5 stars','Needs repeated sharpening'
'B09H27WGZF','Sharp','3.0 out of 5 stars','Ok product'
'B09H27WGZF','Good edge','5.0 out of 5 stars','Best indian made knives.this is my 5th knife.even small knives r sharp n does the job.'
'B09H27WGZF','Bad 👎','1.0 out of 5 stars','For first few days it was good..after that sharpness vanish...poor quality'
'B09H27WGZF','Good','4.0 out of 5 stars','Good'
'B09H27WGZF','Light, small nakiri. Gets the job done. Could be better.',"'3.0 out of 5 stars'The media could not be loaded. Overall, this nakiri knife will get the job done, however you may wish it was a few grams heavier.  Do remember, nakiri is a knife for greens/veggies - please don't confuse it with a meat cleaver. Nakiri knives are to be used only with veggies, it is not a general purpose knife - it should NOT be used with bones, seeds, hard shells.  I am reviewing this as a nakiri knife. A few points to note: 1. I found it to be light 2. The knife was decently sharp out of the box - however, the edge was too rough ground for my taste and needed polishing - pic attached. 3. The heel/finger guard section definitely needed sand papering - was uncomfortably rough - pic attached. 4. There were two unnecessary sharp points/tips in my opinion - again those needed sand papering - pic attached. 5. The balance of the blade - I'd have preferred a bit more towards the tang/handle - see the video. With such a light blade, a lean towards the front of the blade felt a bit off.  The handle was decent with a grippy texture. It did not feel slippery at all, and is the right size for the blade. For the price, I think the knife needs more weight and at least one more finishing step, where they smooth out the unnecessary rough bits/edges before they package the knife."
'B09H27WGZF','Sharp & easy to hold','5.0 out of 5 stars','This knife tells me that cutting in kitchen can also be fun & enjoyable. Good hold very sharp light weight. A must buy product.'
'B09H27WGZF','good','5.0 out of 5 stars','nice product'
'B09H27WGZF','Super knife','5.0 out of 5 stars',"Man, it's so good. Am just amazed with its sharpness. Earlier i used only crystal brands knives. Even today, i am a big fan of Crystal. Never satisfied with any other brand except this one. This is very light weight and very suitable for vegetable cutting. But as it's very sharp and light weight u should be careful while using this."
'B09H27WGZF','Kachaaaaao','5.0 out of 5 stars','This is a very good Blade. it chops nicely and get htings done. After a few days the blade is not sharpen anymore as it get dull. But I boought a Sand Stone 1000 and after few wacking it comes back to razor shaarp.  Its very dangerous as if it fals on you feet then you might get hurt.  Dont pickup speed with it so fast as it will cut your finger.  Its a Must Buy.. If you are the one who want to chop tomato withought making juice out of them.'
'B09H27WGZF','Absolutely amazing','5.0 out of 5 stars','The media could not be loaded. Extremely sharp blade just be careful'
'B09H27WGZF','Sharp','3.0 out of 5 stars','I was expecting it to be more thicker'
'B09H27WGZF','Brilliant knife with one drawback','4.0 out of 5 stars','Good quality both in terms of material and sharpness.. But not for household stuff... I am a trained chef and i can handel large knives well.. But this is big for most of householders.. Look for something else if you are not accustomed to handling large knives.'
'B09H27WGZF','good One','5.0 out of 5 stars','Good'
'B09H27WGZF',Didn't stand a chance against chicken,'1.0 out of 5 stars','Weak steel not suitable to use on meat. Had to constantly sharpen as well . Not recommended for heavy use'
'B09H27WGZF','But mind your fingers','5.0 out of 5 stars','After 8-9 days of use I can say this knife is indeed fantastic and extremely sharp and the weight of the material is also beautifully balanced with its sharpness. But mind your fingers use gloves.'
'B09H27WGZF','Good quality, firm grip','5.0 out of 5 stars''Good quality and firm grip'
'B09H27WGZF','Good one','5.0 out of 5 stars','Very good knife very usefull and very sharp use carefully'
'B09H27WGZF','Very expensive and very bad.','1.0 out of 5 stars','Not good. Condition of knife is very bad after one week'
'B09H27WGZF','Very sharp and good knife','5.0 out of 5 stars',"I want to clarify for the newbies here this is a professional chef knife, so it needs to be sharpen on a regular basis that means atleast one a month, plus cut it carefully it's very sharp and a slightest mistake can literally cut your finger. I have bought rupper caps for my fingers along with it to protect my fingers.  I had accidentally cut my thumb ( not completely but a cut) it cut half of my nail. So use it with precaution and keep it at a safe distance from your hand."
'B09H27WGZF','World Class!','4.0 out of 5 stars','Best in class. Very sharp easy to wield sturdy ergonomically designed. World class product.'
'B09H27WGZF','Very light for type of knife','3.0 out of 5 stars','First time use edge is sharp. Handle is not very ergonomic made out of plastic and not heavy. These type of knives should be heavy. Overall it is a big knife replacing your smaller knife for cutting vegetables.'
'B09H27WGZF','Great value for money','5.0 out of 5 stars','Sharp edge close to handle.. filled it off..'
'B09H27WGZF','Sharp knife','5.0 out of 5 stars','Easy to use. Value for money'
'B09H27WGZF','Good','4.0 out of 5 stars','Good'
'B09H27WGZF','Best','5.0 out of 5 stars','Amazing'
'B09H27WGZF','Not up to my expectations','3.0 out of 5 stars',"I am a professional chef,I Received knife last day, i was expecting bit more heavy but it's not. There is nothing much to boasting about sharpness too , it's as normal as some other knifes in the market. Not even easy to penetrate into a raw papaya. Handling is good."
'B09H27WGZF','The est','5.0 out of 5 stars','The best knife'
'B09H27WGZF','Not up to the expectations','2.0 out of 5 stars','Thickness of the blade is not like what I have expected.'
'B09H27WGZF','Simply Awesome 👌','5.0 out of 5 stars','Truly for beginners and Professional'
'B09H27WGZF','Very sharp & durable','5.0 out of 5 stars','I havent used it on bones yet but it is of very good quality.. can be used in professional kitchen.'
'B09H27WGZF','Good quality knife','4.0 out of 5 stars','Light weight and sharp. Also build quality and material are good. Little expensive.'
'B09H27WGZF','Only suitable for vegetable cutting & slicing','3.0 out of 5 stars','I have used for fish cutting but the result is disappointing. Only for vegetable cutting.'
'B09H27WGZF','Not worthy product','1.0 out of 5 stars',It's not sharp at all
'B09H27WGZF','Amazing','5.0 out of 5 stars','This is amazing 🥰. It cuts kimbab with no effort'
'B09H27WGZF','Good','5.0 out of 5 stars','Value for money to buygood product very sharp edge.'
'B09H27WGZF','Cutting vegetables has become easier','4.0 out of 5 stars','The edge is very sharp vegetables are cut easily and quickly the grip of the handle is also good just care has to be taken that the hands are not greasy'
