item,title,rating,body
'B09JCQWD42','Wonderful!!','5.0 out of 5 stars','Little things like this make life so much more organized.'
'B09JCQWD42','excellent','4.0 out of 5 stars','Nice worth the money'
'B09JCQWD42','Cost effective','5.0 out of 5 stars','Good product available at cheaper rate than the market'
'B09JCQWD42','Bad quality','2.0 out of 5 stars','Quality is poor'
'B09JCQWD42','Very poor quality','1.0 out of 5 stars','Very poor quality. Flimsy plastic pockets that were very weak and the plastic folder was dirty color and flimsy like it’s made from recycled plastic. Extremely poor quality. Do not recommend'
'B09JCQWD42','Good product','5.0 out of 5 stars','Durable product and good price range'
'B09JCQWD42','do not buy until necessary 40 rupees product in 279 waste of money','2.0 out of 5 stars','i got 2 files for me but 1 was torn so i need in urgent i used one ....other was damaged totally from inside all pages have holes in it'
'B09JCQWD42','Good','5.0 out of 5 stars','Good in this range'
'B09JCQWD42','Good Product','5.0 out of 5 stars','nice product good plastic used for manufacturing this product  sturdy and classic. value for money thanks amazon for this quality product'
'B09JCQWD42','Very poor quality','1.0 out of 5 stars','Not worthbuying'
'B09JCQWD42','Received inferior product. It was not what I ordered.','1.0 out of 5 stars',"When I ordered this product for the first time, everything was excellent. But when I ordered again, I received an inferior version of the product. The outer covers are not strong and the overall quality is comparatively poor.  I don't have time and energy to return it, While I can still use the inferior product, I am not happy with this product."
'B09JCQWD42','Kerala Palakkad Amazon delivery agent very very poor service change this agent','1.0 out of 5 stars',''
'B09JCQWD42','Bad quality','1.0 out of 5 stars','Not of good quality'
'B09JCQWD42','Worstest display book ever had','1.0 out of 5 stars',Extremely disappointed with the quality and the way pockets are arranged . Never ever seen or used a display book like this. Please don't buy . Save the money for something else.
'B09JCQWD42','Bad','1.0 out of 5 stars','Quality is very bad'
'B09JCQWD42','Received broken file twice.','1.0 out of 5 stars',''
'B09JCQWD42','Good but ends were damaged inspite of bubble wrap','3.0 out of 5 stars',''
'B09JCQWD42','Poor quality','2.0 out of 5 stars','I ordered these files as I needed them urgently. Although it came in bubble wrap the files were damaged and cracked/broken at the edges and corners. I had to put a cellophane tape on one corner. Poor quality and I doubt it will last in long run!!'
'B09JCQWD42','Overall food, but plastic can be better','5.0 out of 5 stars''Overall good plastic can be better'
'B09JCQWD42','I like this very much 👌 😍😍 worthable','5.0 out of 5 stars','The media could not be loaded. I use this for artworks'
'B09JCQWD42','Broke at the edge','2.0 out of 5 stars',Package came with bubble wrap still the edges of both the files are broken. Can't assure the durability in long run. I am unable to get these replace as I don't have time to wait.
'B09JCQWD42','Strong and plenty of leaves for Records keeping... Love it','4.0 out of 5 stars','Combo pack is nice and grabbed at a good price. Initial delivery had quality issues (torn/ broken) replaced ones are good quality wise. Useful filing solution for storing and easy referring of the documents. Serving my purpose all well.'
