item,title,rating,body
'B09JLS7F6W','Worse','1.0 out of 5 stars','Bad quality'
'B09JLS7F6W','Thickness','3.0 out of 5 stars','It is not that thick so need to wear something inside'
'B09JLS7F6W','Very dull','1.0 out of 5 stars',"Ordered red skirt, very dull and looks old. Front of the skirt is not flat as shown in the picture, it's all round elastic. Very less pleats almost looks flat, hence returned."
'B09JLS7F6W','Nice skirt','4.0 out of 5 stars','Light shades can be a little see through but good product at such a cheap price'
'B09JLS7F6W','Superb quality','5.0 out of 5 stars','Must buy'
'B09JLS7F6W','Too good','4.0 out of 5 stars','Too good to wear for any outings fitting color and size received as expected. Value for money'
'B09JLS7F6W','Nice Product','4.0 out of 5 stars',Nice product....  I ordered pink colour it's very nice...❤️
'B09JLS7F6W','Inner cloth is missing','2.0 out of 5 stars','Colour of the skirt is lovely. Fit is also good. Only problem is there is no lining in the skirt. It’s a see through product.'
'B09JLS7F6W','Not good product','1.0 out of 5 stars','Not good product'
'B09JLS7F6W','I was not sure about the material but after receiving the product my experience got changed','4.0 out of 5 stars',"after i got the product I was surprised.It is such a good quality Georgette material,non transparent and also color is super cool. I'll definitely buy another color."
'B09JLS7F6W','Lovely worth the money','5.0 out of 5 stars','Comforbale and stylish'
'B09JLS7F6W','Comfortable','5.0 out of 5 stars','Comfortable'
'B09JLS7F6W','Too tight','1.0 out of 5 stars','I had ordered first time size L and it came to be tight... so I exchanged it for XXL thinking may be their size chart is off but the XXL one also is as tight as before. There is no size printed on the item. It seems they only have one size and delivers it irrespective of what size customer is placing.'
'B09JLS7F6W','Good value for money, drapes beautifully','4.0 out of 5 stars''This is the skirt to go for if you’re on the heavier side especially if you have a tummy as the pleats easily hide it. The waist band is elastic and very comfortable. Will have to see how durable it is. The fit and flow of the skirt is lovely and if you were stockings with it you’re all set for even cold weather. Happy with my purchase overall.'
'B09JLS7F6W','Transparency','4.0 out of 5 stars',''
'B09JLS7F6W','Avarage product','4.0 out of 5 stars','Good product'
'B09JLS7F6W','Quality of cloth is cheap sticks to body no inner.. no proper stitching..feels like local stitching','1.0 out of 5 stars','Quality of cloth is cheap only polyester sticks to body and no inner.. no proper stitching..feels like local stitching'
'B09JLS7F6W','Nice quality as same as expected..','5.0 out of 5 stars','Allover very good product thank u amazon ❤'
'B09JLS7F6W','Totally different from picture','1.0 out of 5 stars','Very cheap product i returned this'
'B09JLS7F6W','Nice but transperant','4.0 out of 5 stars','Nice but transperant'
'B09JLS7F6W','Stylish looks, fabric is okay!','5.0 out of 5 stars''Fabric is not that great however overall fit and looks are smart and elegant! You can go for it as the price is great 👍'
'B09JLS7F6W','Nice fabric','5.0 out of 5 stars',Awesome product.... perfectly fitted.....i took L size. And it's really perfect skirt even for plus size women.
'B09JLS7F6W','Dont get','1.0 out of 5 stars','Waste.. It is kinda blowing skirt even for small breeze.. I personally dont like'
'B09JLS7F6W','It is sheer','3.0 out of 5 stars','Average quality for this price. However it is sheer and see through. Need to wear something beneath the skirt for coverage.'
'B09JLS7F6W','Poor quality','1.0 out of 5 stars','Poor quality not good'
