item,title,rating,body
'B09M82PT64',Don't go by look,'2.0 out of 5 stars',"Poor quality, the item don't justify as the images shown."
'B09M82PT64',It's so soft yet keep you warm.,'4.0 out of 5 stars','The product quality.'
'B09M82PT64','Good quality','5.0 out of 5 stars','Good quality and very warm. I love it'
'B09M82PT64','Very bad quality','1.0 out of 5 stars','Very bad'
'B09M82PT64','Not worth','2.0 out of 5 stars','It’s not the same thing what is shown in the picture'
'B09M82PT64','Blanket','4.0 out of 5 stars','Good but very small'
'B09M82PT64','Not worth','1.0 out of 5 stars','Very thin . Not for heavy winter. Material quality is soft'
'B09M82PT64','Nice product.','5.0 out of 5 stars','Not too heavy good for light winters and available in affordable price so could be used for guest purposes.'
'B09M82PT64','Return got cancelled on it own','1.0 out of 5 stars','The quality is not that good but what infuriating is that these people cancelled the return on their own.'
'B09M82PT64','Good enough','4.0 out of 5 stars',"It's quality is good enough, definitely comfortable for kids"
'B09M82PT64','Awesome','5.0 out of 5 stars','Superb.'
'B09M82PT64','Good one','4.0 out of 5 stars',Good one don't know how long it will last
'B09M82PT64','Best deal','5.0 out of 5 stars','Simply awesome deal just go for it'
'B09M82PT64','not good to buy','1.0 out of 5 stars','quality'
'B09M82PT64','Change of product','5.0 out of 5 stars','Colour of product is not very good want to change I know changing time is over by that time I was in US'
'B09M82PT64','It’s ok','4.0 out of 5 stars','In order to buy good one you need to spend some money product is ok'
'B09M82PT64','Size and colour issue.','3.0 out of 5 stars','Got smaller size and different colour got 60*74 instead of 60*84 as per description. Not happy.'
'B09M82PT64','Wrong description','1.0 out of 5 stars','Poor quality and misleading picture'
'B09M82PT64','Very nice product','5.0 out of 5 stars','Very nice product'
'B09M82PT64','Good product','5.0 out of 5 stars','Good product'
'B09M82PT64','Cheap quality','3.0 out of 5 stars','The product is not good and not worth the price.'
'B09M82PT64','Very nice','5.0 out of 5 stars','Blanket is very very warm and nice and soft i loved it'
'B09M82PT64','Good stuff','5.0 out of 5 stars','Didn’t need any more layer for Delhi winters'
'B09M82PT64','Satisfactory','3.0 out of 5 stars','Not so thick  lightweight article'
'B09M82PT64','Very small and price is high','1.0 out of 5 stars','Road side low price'
'B09M82PT64','Bahoot hi badhiya hai','3.0 out of 5 stars','I like this blanket .good for low winter season 🤩'
'B09M82PT64','Good','5.0 out of 5 stars','Good product and good service'
'B09M82PT64','Very bad','1.0 out of 5 stars','The media could not be loaded. Bilkul theek nahi hai 2 guni kimat Not good'
'B09M82PT64','Wrong Color','3.0 out of 5 stars','I ordered baby pink got bright pink even though product is not so bad'
'B09M82PT64','Good','4.0 out of 5 stars','Nice but not much big size'
'B09M82PT64','Fine material','3.0 out of 5 stars','Sleeping blanket'
'B09M82PT64','poorly finished with loose threads hanging.','2.0 out of 5 stars','The piping on all 4 sides of the blanket is finished with a cheap plasticky polyester material that is poorly finished with loose threads hanging and it makes a plastic like sound when touched. Terrible finish.'
'B09M82PT64','Warm','3.0 out of 5 stars','Soft warm'
'B09M82PT64','Not at all good','1.0 out of 5 stars','Bad'
'B09M82PT64','Finishing is not good','1.0 out of 5 stars','Material is good but finishing is not good it’s just stitched for namesake 👎🏻👎🏻👎🏻👎🏻👎🏻'
'B09M82PT64','Good','5.0 out of 5 stars','Very comfortable'
'B09M82PT64','Very poor experience of this product, delivery and return.','1.0 out of 5 stars''seller delivered different color and poor quality product even size is also short as mentioned at portal when I raised request of return pick up boy failed pick up due to different color of product.'
'B09M82PT64','Cloth is nice','5.0 out of 5 stars','Value for money'
'B09M82PT64','Quality not good. U can get better blanket in 500 Rs','1.0 out of 5 stars','Quality not good. U can get better blanket in 500 Rs'
'B09M82PT64','Wastevof money','1.0 out of 5 stars',"Didn't get the color i ordered . I dose no warm at all. It feels like it is already used before, not a brand new 😕"
'B09M82PT64','Quality & Cost Matched','4.0 out of 5 stars','Oh! Yes wonderful quality product for the right price. All weather friendly. My Mom is very happy as it is light in wait soft and full length single size & hold warmth. She was sick of flannel blankets. Thanks Amazon for providing good product with good price. Keep going.'
'B09M82PT64','Total waste of money','1.0 out of 5 stars','So bad quality'
'B09M82PT64',"This is dummy of original, this is device don't pairing with any blue truth device directly.",'1.0 out of 5 stars','Waste of money 3rd class product'
'B09M82PT64','Overall good but finishing in edges could have been better','4.0 out of 5 stars','Okay overall'
'B09M82PT64','Value for money,good product','4.0 out of 5 stars'It's good and comfortable in winter
'B09M82PT64','Short length.','3.0 out of 5 stars',10 inch short. Ideal blanket should be 7 feet in length . It's only 6 feet.  Not suitable for Delhi winter for an average hight adult.
'B09M82PT64','Very very good','5.0 out of 5 stars','Very very good'
'B09M82PT64','Colour not same as shown on photo dark pink came','1.0 out of 5 stars','Item colour not shown correctly as when it came it was dark pink'
'B09M82PT64','Good for 499','4.0 out of 5 stars','I received coffee color eventhough i ordered brown.the product is worth for 499/-.not of very great quality but worth the price. Its soft and good enough for indian winters. Doubtful of the quality after washit looks like it may become less soft  But overall good product'
'B09M82PT64','Good and warm','5.0 out of 5 stars','Quality is find'
