item,title,rating,body
'B09M8888DM','Good value for money product','5.0 out of 5 stars','Excellent product. Served the purpose for me. Recommend for extending USB ports. Good buy.'
'B09M8888DM','Quality not good, Slots does not fit at all. Waste of money','1.0 out of 5 stars''The quality is not so good. The 2 usb 2.0 ports does not fit at all. Tried with multiple USB devices none went in properly. The usb 3.0 port seems to be damaged as it does not hold any device. Had very good hopes for portronics but utterly disappointed. Suggest go with better brands or atleast buy them offline by checking the slots.'
'B09M8888DM',It's worthy,'5.0 out of 5 stars','Best build quality i give it to that.'
'B09M8888DM','Works well with Macbook m2 pro.','4.0 out of 5 stars','Working good with MacBook Pro also as always portronics are good brand.'
'B09M8888DM','Very bad packing,','2.0 out of 5 stars'''
'B09M8888DM','Worst product','1.0 out of 5 stars','The return period ended at 3rd oct and it stopped working on 5th oct.  Bad choice...'
'B09M8888DM','Great Price','5.0 out of 5 stars','Been using it for a year now and it still works. Great for the price'
'B09M8888DM','Not good','1.0 out of 5 stars','Doesn’t work to connect headphones'
'B09M8888DM','It looks and feels premium','5.0 out of 5 stars','The media could not be loaded. - looks Good - Speed is good'
'B09M8888DM','Cool','5.0 out of 5 stars','Ease of use. Perfect product for Mac Book and not heating good size'
'B09M8888DM','Its cord is quite stiff plus it gets disconnected with minute touch','3.0 out of 5 stars',Gets disconnected if I touch it a little bit which is quite frustrating I tried to return it but I didn't had the packaging intact
'B09M8888DM','Not connected with laptop','1.0 out of 5 stars','It is not working when I try to connect mouse with laptop'
'B09M8888DM','Nice','4.0 out of 5 stars','I like that it has multiple ports with one 3.0 USB port it is value for 💸💰'
'B09M8888DM','Looking good','5.0 out of 5 stars','Very good from personal usage'
'B09M8888DM','WASTE OF TIME AND MONEY','1.0 out of 5 stars','Stopped working after ine week ..'
'B09M8888DM','Useful product','5.0 out of 5 stars','Trusted brand'
'B09M8888DM','Stopped Working! Beware!','2.0 out of 5 stars','The product was not of any use to me as it stopped working. MacBook is not at all recognising this hub in any port. One fine day this failure happened while using. Interested buyers go with a trustworthy brand.'
