item,title,rating,body
'B09RG5RS5M','Arm chair plastic','5.0 out of 5 stars','Comfortable'
'B09RG5RS5M','Good quality, comfortable 👍','5.0 out of 5 stars''Good quality and comfortable Thanks 👍'
'B09RG5RS5M','Extremely bad experience.','1.0 out of 5 stars','The media could not be loaded. The chair has 2 legs shorter than the other 2 legs. How can a vendor deliver this kind of item to a customer. Bad experience.'
'B09RG5RS5M','chair setting not comftable very low inthe inside& space also not length length sqmt','1.0 out of 5 stars','dislike'
'B09RG5RS5M','ERGONOMIC FEATURES THAT IS 1) SUPPORT TO BACK,2 ) HEIGHT 2INCHES MORE,  BASE 3 INCHES BROAD''4.0 out of 5 stars''ERGONOMIC FEATURES ARE MISSING'
'B09RG5RS5M','Damaged product','1.0 out of 5 stars','Broken chair received'
'B09RG5RS5M','Cheap quality','1.0 out of 5 stars','Not useful for me'
'B09RG5RS5M','Received in damaged condition','1.0 out of 5 stars','The media could not be loaded. The chair was damaged in the sitting portion of it and has to be replaced or the amount refunded.'
'B09RG5RS5M','VERY VERY POOR QUALITY','1.0 out of 5 stars','WITHIN FEW MONTHS CHAIR HAS BROKEN AND I HAD FALLEN DOWN.  NORMAL USE NO ABUSES.  HORRIBLE QUALITY  😡🕉🇮🇳🕉😡'
'B09RG5RS5M','Timely delivery.','5.0 out of 5 stars','Excellent. Hope the supplied chair would be durable!!'
'B09RG5RS5M','Good quality product','5.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r2rkhzmbzdqy4l_1697128282281""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""258-1679500-9943162""refMarkers:""vse_reviews_desktop_R2RKHZMBZDQY4L_1697128282281_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""XS88H55AVJCDX5QDM308""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2RKHZMBZDQY4L""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2RKHZMBZDQY4L_1697128282281_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/15a5c25f-2ea3-45a9-872d-c5bfed467cb4.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/e13fea79-433c-41e9-8723-9f4f6bf2c58f/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R2RKHZMBZDQY4L""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r2rkhzmbzdqy4l_1697128282281-player-43e2ebfb-4f4b-488d-a0dc-a588d827795b""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""XS88H55AVJCDX5QDM308""pageAsin:""""sessionId:""258-1679500-9943162""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""258-1679500-9943162""refMarkers:""vse_reviews_desktop_R2RKHZMBZDQY4L_1697128282281_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""XS88H55AVJCDX5QDM308""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2RKHZMBZDQY4L""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2RKHZMBZDQY4L_1697128282281_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51MmtHeFwdL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Quality productvalue for money'"
'B09RG5RS5M','Bad product quality','1.0 out of 5 stars','Product quality is very bad. Chair got cracked within 15 days after use. Better to go for other branded products'
'B09RG5RS5M','Did not even last 2 months.','1.0 out of 5 stars','Got this on 17th January it’s 25th march today when it broke. Worst quality'
'B09RG5RS5M',Don't buy,'1.0 out of 5 stars',''
'B09RG5RS5M','Flimsy.','1.0 out of 5 stars','This product didn’t last for 2 months.'
'B09RG5RS5M','Quality is very poor','1.0 out of 5 stars','Leg broken in 1 month'
'B09RG5RS5M','Got damaged broken chair','1.0 out of 5 stars','Would like to return'
'B09RG5RS5M','Return the item','1.0 out of 5 stars','Old chair With a crack in one of the limbs'
'B09RG5RS5M','Very poor quality','1.0 out of 5 stars','I need a refund for the chair. Its not durable at all after sitting for long it broke. Sturdiness =0 Comfort=0'
'B09RG5RS5M',It's worst. Useless,'1.0 out of 5 stars','Nothing is there to like.'
'B09RG5RS5M','Low quality chair','1.0 out of 5 stars','Cheap quality. Broke while I was sitting on it. No refund or replacement was there. If you want to buy a chair Amazon is not the right place.'
'B09RG5RS5M','DO NOT BUY!!!!! IT BROKE IN 2 DAYS','1.0 out of 5 stars','Do not buy at all'
'B09RG5RS5M',"Worst product, broke within 2 months, luckily the person who was sitting didn't get hurt",'1.0 out of 5 stars',''
'B09RG5RS5M','very bad product (do not buy)','1.0 out of 5 stars',"Seriously bad product also a health hazard considering that the front leg broke in a day(not even 24hrs after delivery) while i was reading news on phone while sitting on it  please do not buy and waste your time also you could get harm as i was very close to getting myself , the break/splintered area could have punctured my knee or my eye if i hadn't been able to balance my self in time"
'B09RG5RS5M','Worst, please do not buy','1.0 out of 5 stars''Worst used first time since purchased in October 2022 and cracked suddenly and I fell down on the floor. I need my refund.'
'B09RG5RS5M','Not a Worthy product','2.0 out of 5 stars','The media could not be loaded. Chair is not strong its legs are bending while sitting on it it is ok for few days later it became worst'
'B09RG5RS5M','Plastic not ok','5.0 out of 5 stars','Not ok plastic'
'B09RG5RS5M','The product found damaged.','1.0 out of 5 stars','The product is broken.Need to reimburse the money'
'B09RG5RS5M','Good','5.0 out of 5 stars','Good quality and very sturdy'
'B09RG5RS5M','Good light weight','5.0 out of 5 stars','Chair nice good light weight comfortable'
