item,title,rating,body
'B09W5XN458','Nice!!','5.0 out of 5 stars','Great comfort!!'
'B09W5XN458','Below Expectations','2.0 out of 5 stars',I my views the product quality is below Expectations. This is doses not matches Bata's reputation.
'B09W5XN458','Excellent','5.0 out of 5 stars','Fit value for money and brand'
'B09W5XN458','Not comfortable','2.0 out of 5 stars','Too tight'
'B09W5XN458','Very tight and painful. Not fit for purpose. Do Not Buy.','1.0 out of 5 stars','The strap is too tight. Even though I have very slim feet the slippers are very uncomfortable and painful. I cannot use them at all. My money is wasted. Not fit for purpose at all. DO NOT BUY.'
'B09W5XN458','Soft material','4.0 out of 5 stars','Soft material comfortable to wear'
'B09W5XN458','Super comfy','5.0 out of 5 stars','Super confy Worth'
'B09W5XN458','Good','4.0 out of 5 stars','Super'
'B09W5XN458','Waste of money','1.0 out of 5 stars',"The media could not be loaded. Very bad quality product , don't buy them ever , it will be broken under 15 days only, waste of money"
'B09W5XN458','Very Comfortable','5.0 out of 5 stars','Best to use in summers and winters. Avoid using it in rainy season. It is the best overall slippers.'
'B09W5XN458','Bata slippers','5.0 out of 5 stars','Good and soft quality.. true to size.. color as shown in pic..'
'B09W5XN458','Comfortable','5.0 out of 5 stars','Nice and comfortable'
'B09W5XN458','Too comfortable.🥳','5.0 out of 5 stars','Very comfortable and looks good'
'B09W5XN458','Fake product','1.0 out of 5 stars','The media could not be loaded. Fake product. Broke in just 20 days. Worst quality sleeper i have ever used.'
'B09W5XN458','Good product','4.0 out of 5 stars','Very nice'
'B09W5XN458','Good','4.0 out of 5 stars','Slipper is good. 😅'
'B09W5XN458','Good','5.0 out of 5 stars','Good for money'
'B09W5XN458','Good and value for money.','5.0 out of 5 stars','The cushioning is soft and it is good for the price.'
'B09W5XN458','perfect','5.0 out of 5 stars','Value for Money..Perfect fit and Nice'
'B09W5XN458','Comfortable as expected','5.0 out of 5 stars',''
'B09W5XN458','Worthy to buy in 299','5.0 out of 5 stars','I got real one from this dealer so its worthy to buy in rs. 299 offer'
'B09W5XN458','The slipper broke in 1 month','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r113rxg9xxp3hn_1697120988700""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-3770817-7778000""refMarkers:""vse_reviews_desktop_R113RXG9XXP3HN_1697120988700_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""0K1V52TD2B33B019CW16""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R113RXG9XXP3HN""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R113RXG9XXP3HN_1697120988700_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/f195ab5e-3140-4b11-814b-e6a5919b42a7.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/5909aabb-317c-4f6e-8ef5-c3edc0e00560/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R113RXG9XXP3HN""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r113rxg9xxp3hn_1697120988700-player-84052639-e6f6-429a-aeea-07bac14cf226""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""0K1V52TD2B33B019CW16""pageAsin:""""sessionId:""257-3770817-7778000""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-3770817-7778000""refMarkers:""vse_reviews_desktop_R113RXG9XXP3HN_1697120988700_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""0K1V52TD2B33B019CW16""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R113RXG9XXP3HN""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R113RXG9XXP3HN_1697120988700_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51u56xE0eeL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. I am surprised to see this quality from bata. Slipper broke in 1 month. I bought on 2nd sep on 20th oct it\'s already broken without any heavy usage'"
'B09W5XN458','The seller is not good the footwear is stained and dirty .. disappointed','1.0 out of 5 stars','Disappointed'
'B09W5XN458','Perfect Fit, Very soft as compared to Plastic Material Slippers','5.0 out of 5 stars''Build is really nice and Most Important COMFORTABLE'
