item,title,rating,body
'B09WDCYY75','Very nice','5.0 out of 5 stars','The product ka very nice. It fits well for small home decor items.'
'B09WDCYY75','Loved the product','5.0 out of 5 stars','Loved this product … simple yet stylish n affordable'
'B09WDCYY75','Nice','5.0 out of 5 stars','Nice'
'B09WDCYY75','Poor quality','1.0 out of 5 stars','The media could not be loaded. Product quality is very poor. Not value for money.'
'B09WDCYY75','Absolutely raw products. Looks like age old and used product','1.0 out of 5 stars','The media could not be loaded. The complete product. It will be used for keeping show piece.'
'B09WDCYY75','Product quality is not good','1.0 out of 5 stars','Product quality is not good and height is too short'
'B09WDCYY75','Regrets buying this.','1.0 out of 5 stars','Product is not in good shape and it’s already become waste due to fungus all around and engineer is not properly done. 🤢🤮🤧'
'B09WDCYY75','Good quality','5.0 out of 5 stars','Worth for money'
'B09WDCYY75','The product is not sturdy enough and rather small compared to picture','1.0 out of 5 stars','Size and lack of strenght'
'B09WDCYY75','Not good','2.0 out of 5 stars','Size'
'B09WDCYY75','Damaged product','1.0 out of 5 stars','Bad product'
'B09WDCYY75','Awesome','5.0 out of 5 stars',It's awesome
'B09WDCYY75','Tiny but nice','4.0 out of 5 stars',I like the product according to price it's good but delivery charges are too much delivery should be free for prime members
'B09WDCYY75','Perfect for our requirement','5.0 out of 5 stars','Good product. It will be good a video to be added on how to fix it'
'B09WDCYY75','Return the product wooden stool','1.0 out of 5 stars','We are not at all satisfied with the product as it is damaged and not worthy enough for the amount we paid'
'B09WDCYY75','TOO SMALL TO B CALLED TBLE.','3.0 out of 5 stars','IT LOOKS A PLAY TABLE FR KIDS BUT LOOK WISE GOOD RUSTIC WOODEN FINISH'
'B09WDCYY75','Recieved a broken item. Kindly replace this item','1.0 out of 5 stars','The media could not be loaded. The screw site was broken with broken wooden piece'
'B09WDCYY75','Cute small side table','4.0 out of 5 stars',"It's really cute, I used to use it for my Phtography prop, it's been over 6 months now. Really cool but it catches fungus in rainy season. Polish it so it stays good."
'B09WDCYY75','Worst used product','1.0 out of 5 stars','The media could not be loaded. Very worst product dont buy it'
