item,title,rating,body
'B09XKJX436','Excellent quality','5.0 out of 5 stars','Like what they shown i received same A4 size My educational certificates fits well in this good size thank you'
'B09XKJX436','Sheets in Folder are not A3 size,dimensions are misleading.','1.0 out of 5 stars''Dimensions written are misleading and there is no option to returnonly replacement for the same item is available. Product is of no use to us due to size.'
'B09XKJX436','Good purchase','5.0 out of 5 stars','Quality product'
'B09XKJX436','Good','4.0 out of 5 stars','Good product.'
'B09XKJX436','Worth a buy','4.0 out of 5 stars','A pretty good product. A bit highpriced but it serves all your needs.'
'B09XKJX436','Product is very good','5.0 out of 5 stars','Product is very good'
'B09XKJX436','Dashing','5.0 out of 5 stars','The practical file is superb in this price range'
'B09XKJX436','Got damaged file','1.0 out of 5 stars','The media could not be loaded. The file folder was attached in a unprofessional manner'
'B09XKJX436','best product','5.0 out of 5 stars','good one to keep certificates ..'
'B09XKJX436','Worth buying product','5.0 out of 5 stars','I regret my decision of not buying product from same brand again. It is one of the best product in this segment. I am using it and can recommend it without any doubt'
'B09XKJX436','Excellent Product','5.0 out of 5 stars','Very nicely designed and excellent product'
'B09XKJX436','सुरक्षा','5.0 out of 5 stars','बच्चों के स्कुल के कागजात को सही सलामत रखने के लिए बहुत अच्छा है फोल्डर'
'B09XKJX436','Good quality','5.0 out of 5 stars',''
'B09XKJX436','Good product','4.0 out of 5 stars','Material is nice'
'B09XKJX436','Best Build Quality','5.0 out of 5 stars','Gorgeous'
'B09XKJX436','Worth it','4.0 out of 5 stars','Good quality and durability'
'B09XKJX436','Good folder','5.0 out of 5 stars','It is of good quality. Very helpful to carry all the documents.'
'B09XKJX436','Great product','5.0 out of 5 stars','Amazon product quality at this price.'
'B09XKJX436','Poor Quality','3.0 out of 5 stars','Quality of Inside Polythene is so thin.... Bad quality..... It should be thick polythene 20 leaf and big'
'B09XKJX436','Over priced.','2.0 out of 5 stars','Not upto the mark.. Over price..'
'B09XKJX436','Decent quality','4.0 out of 5 stars','Product quality is decentcould have been cheaper than what it is priced at.'
'B09XKJX436','Quality','5.0 out of 5 stars','Quality is very good'
'B09XKJX436','The damage product recived','1.0 out of 5 stars','The media could not be loaded.'
'B09XKJX436','Good','4.0 out of 5 stars','Very nice and smooth product material'
'B09XKJX436','Quality','4.0 out of 5 stars','Quality is very good 👍 and stylish too'
'B09XKJX436','Pen holder','4.0 out of 5 stars','Overall good quality but pen holder should have been on either side as 1. It is too hard to insert pen and it hides behind the leaflets. Also if possible 2 pen holders be provided.'
'B09XKJX436','Quality is ok','1.0 out of 5 stars','Only insert A4. Other sheet not insert the file'
'B09XKJX436','Doesn’t fit all the certificates','1.0 out of 5 stars','Except A4 it doesnt fit any other size . We cant expect all the certificates to be in A4 . So little extra space would be better . Waste of money'
'B09XKJX436','Nice looking','5.0 out of 5 stars','Everything is ok except inside plastic folders are not enough strong.'
'B09XKJX436','Good product 😀','5.0 out of 5 stars','Good product very useful one👍'
'B09XKJX436','100% QUALITY PRODUCT 👌','5.0 out of 5 stars','This is a high quality file folder the product is very good for its price. No compromise has been made with the quality. I got some at discount. I am very happy with this product. Thank you...FEDUS'
'B09XKJX436','Very good product','5.0 out of 5 stars','Team is too active thanks'
'B09XKJX436','Best File folder','5.0 out of 5 stars','Worth money'
'B09XKJX436','satified with product','5.0 out of 5 stars','satified with product'
'B09XKJX436','File holder review','4.0 out of 5 stars','Good'
'B09XKJX436','Best for Quality','5.0 out of 5 stars','Looking for a thoughtful and practical gift? These file folders make an excellent present for professionals graduates or anyone who values organization and style.  Ideal for Meetings and PresentationsBudget-Friendly With 20 file folders in one set.'
'B09XKJX436','Best file folder in this price range','5.0 out of 5 stars','Product quality is very good.'
'B09XKJX436','Valuable returns products','4.0 out of 5 stars','This product amazing valuable for money I happy of this product thank Amazon'
'B09XKJX436','Must buy little overpriced but good','4.0 out of 5 stars','Good to buy but overpriced .'
'B09XKJX436','Good','5.0 out of 5 stars','Nice product'
'B09XKJX436','Great quality but plastic sleeves need improvement.','4.0 out of 5 stars','Build quality is fine. But the plastic sleeves provided needs to be improved. No extra space than an A4 document hence tightly packed documents. But the risk of sleeve getting torn. It is time consuming to add and remove documents from this folder. Could be annoying at times. Rest is fine.'
'B09XKJX436','Nice product','5.0 out of 5 stars','Worth for money'
'B09XKJX436','Good quality product','5.0 out of 5 stars','Good quality product and well designed to keep all your important documents organised.'
'B09XKJX436','Good product.','5.0 out of 5 stars','It is good and durable product.'
'B09XKJX436','Great','5.0 out of 5 stars','Satisfactory product and worth buying'
'B09XKJX436','Stylish product in a reasonable price','5.0 out of 5 stars','The folder has been made with great finesse. The material zippers and stitches are of top quality. The sleeves are big enough to hold laminated A4 documents and legal documents. A lot of compartments of various sizes can hold all important documents credit cards IDs etc. Extremely happy with the folder.'
'B09XKJX436','Nice product','5.0 out of 5 stars','Nice one.'
'B09XKJX436','Good product','4.0 out of 5 stars','Everything in the folder is good be it looks feeltexture or quality except the size of plastic sleeves are bit tight for legal papers i.e. not even an mm extra. Which consumes unnecessary time and effort. Need to improve it. Rest is fine.'
'B09XKJX436','Price','4.0 out of 5 stars','The product is overall nice fit and comfort Especially leather cover and zipper closer But the price is little high.'
'B09XKJX436','Making','5.0 out of 5 stars','Nice leather finish. Good for long term use.'
