item,title,rating,body
'B09Z775586','color is very bad','1.0 out of 5 stars',I had use this product 2-3 time all color is fad of this product so please don't purchase
'B09Z775586','Quality','5.0 out of 5 stars','Good quality'
'B09Z775586','Nice outfit must try','4.0 out of 5 stars','It fit as expected that is all I needed. This brand importing product from multiple countries that is true but orginal commitment of the product comes with a good price.'
'B09Z775586','Not very nice','1.0 out of 5 stars',Cheap quality fabric 😡 Fabric so hard But brand Levi's is so cool To wear It is not very comfortable jeans
'B09Z775586','Dull colour','1.0 out of 5 stars',Faded colour like old one.... don't buy!
'B09Z775586','Received used and dirty product','1.0 out of 5 stars',''
'B09Z775586','Average','3.0 out of 5 stars','Normal quality'
'B09Z775586','Good','5.0 out of 5 stars','Comfortable & good product.'
'B09Z775586','I like to my pants is Fit to me','5.0 out of 5 stars',Yes I like Levis product quality so I think I will enjoy this product so that's 😁 😁 😁 😁
'B09Z775586','Good to Go. With this bottom wear','5.0 out of 5 stars','Easy to wear comfortable and good quality'
'B09Z775586','Not a perfect fit','5.0 out of 5 stars','Not a perfect fit for 512 little bit on the loose side'
'B09Z775586','Crack jeans issue','1.0 out of 5 stars','Crack jeans issue very bad please replace item'
'B09Z775586','Very good product - Amazing price as well','3.0 out of 5 stars','Very good product - Amazing price as well'
'B09Z775586',It's original Levi's nice thanks to Amazon,'5.0 out of 5 stars','Republic day sale .. as a good product'
'B09Z775586','Nice to buy','4.0 out of 5 stars',It's of good quality
'B09Z775586','Wrong product','3.0 out of 5 stars','Wrong product delivered to me the jeans was torn however in image it’s different. Have returned & order another item'
'B09Z775586',It's torn but not shown while ordering,'1.0 out of 5 stars','The media could not be loaded.'
'B09Z775586','Clothes quality is very good','4.0 out of 5 stars','Very good'
'B09Z775586','Perfect fitting','5.0 out of 5 stars','Not much narrownot more widergood fitting and comfortable for outdoors'
'B09Z775586','Nice Quality at such a low price.','5.0 out of 5 stars',"Fabric is very comfortable....color and quality is almost what I expected. The only issue with Amazon is they put a very attractive image and the item doesn't match up with the image but this one is satisfactory, Go for it. It's a value for money."
'B09Z775586','Good','5.0 out of 5 stars','Good'
'B09Z775586','Scam','1.0 out of 5 stars','Product was different or changed by someone with origional'
'B09Z775586','Good quality','5.0 out of 5 stars','Good quality'
'B09Z775586','sab Mast Hai quality bhi buy kr sakte ho badhiya maal hai','5.0 out of 5 stars','badhiya maal hai'
