item,title,rating,body
'B09Z78X599','Excellent quality','5.0 out of 5 stars','Excellent quality'
'B09Z78X599','Colour little fade','3.0 out of 5 stars','The colour is bit fade Expected displayed colour'
'B09Z78X599','This is not original','1.0 out of 5 stars','Fitting is very bad This is not original'
'B09Z78X599','Not satisfied.','1.0 out of 5 stars','Product is not exactly as shown in the picture.fitting is not good look like old pant.'
'B09Z78X599','Bad quality','1.0 out of 5 stars','Bad quality'
'B09Z78X599','Poor quality','3.0 out of 5 stars','Dislike'
'B09Z78X599','Good one','4.0 out of 5 stars','Great fit. Value for money'
'B09Z78X599',"It wasn't a stretch material as shown,sad",'1.0 out of 5 stars','A pant is used for what???'
'B09Z78X599','Waste','1.0 out of 5 stars','Product is not like the shown picture. Old faishened jeans. Not slim. Waste of money'
'B09Z78X599','Slim-fit','1.0 out of 5 stars',It's not slim fit and size is too large
'B09Z78X599','Not Liked','1.0 out of 5 stars','Not Good'
'B09Z78X599','Defective piece','1.0 out of 5 stars','The stiching and cutting of the denim is defective the inner crease goes askew even after ironing it many times  Please refund my money and collect this defective item'
'B09Z78X599','Loose fit','3.0 out of 5 stars','I ordered size 32 when my waste is 34 size…still it’s loose and the fit also is loose near thighs all the way to the ankle so I’m returning it..otherwise it’s a good product'
'B09Z78X599','Review','4.0 out of 5 stars','Nice Product and nice fitting and fabric and easy to wear no meed of fitting.... ..... ..... .... ..... ......'
'B09Z78X599','Gopal Samadder','1.0 out of 5 stars',Bekar quality. Don't give discount please improve quality.
'B09Z78X599','Good one!','4.0 out of 5 stars','Makes me feel classic and in 1990’s. A must have pair!!!'
'B09Z78X599','Good Product.','5.0 out of 5 stars','Colour and texture are nice. Fitting is perfect and very comfortable to wear. Fabric quality and stitching are also excellent.'
'B09Z78X599','Dublicate','1.0 out of 5 stars',"Don't buy totally dublicate product, i purchased see positive review but it falae review.very cheap quality, stretching poor."
'B09Z78X599','Nice jeans👖','5.0 out of 5 stars','Nice👍 fit comfortable'
'B09Z78X599','Quality is good but fitting is not good.','5.0 out of 5 stars','After using lots of brands I like levis the most. This time I have bought 3 jeans of same style number (511) and size (38). Quality of all 3 is good but size and fitting is different for this colour. It seems it is not levis product or there is some mistake in stitching.'
'B09Z78X599','Wonderful and rare product','5.0 out of 5 stars','Amazing quality Extremely comfortable and light weight smooth fabric.'
'B09Z78X599','👌','5.0 out of 5 stars','I m 100% satisfied with the product.'
'B09Z78X599','Average','2.0 out of 5 stars','Quality is not good'
'B09Z78X599','well worth the money','5.0 out of 5 stars','I am wearing it. Fits perfectly after length adjustment.'
'B09Z78X599','Quality is not expected','3.0 out of 5 stars','Not a best fit product'
'B09Z78X599','Not bad','2.0 out of 5 stars','Not bad'
'B09Z78X599','Nice','4.0 out of 5 stars','Nice fitting'
'B09Z78X599','Low quality','1.0 out of 5 stars','A very low quality product'
'B09Z78X599','Original as expected','5.0 out of 5 stars',"'Good in quality and original as expected.  My waist size is 36"" and I have ordered 36"" waist jeans but this was loose fit.  Thanks Amazon...'"
'B09Z78X599','Average','3.0 out of 5 stars',It's average products
'B09Z78X599','Worthy','4.0 out of 5 stars','Worthy in this price.'
'B09Z78X599','Good deal','4.0 out of 5 stars','Nice jeans and good fit'
'B09Z78X599','Not value for money','2.0 out of 5 stars','Not value for money'
'B09Z78X599','Not satisfied with fitting','3.0 out of 5 stars','Its not a slim fit jeans its a regular fit old fashioned jeans'
'B09Z78X599','Duplicate product, not original','1.0 out of 5 stars'Don't like it
'B09Z78X599','Excellent','4.0 out of 5 stars','I like Levis brand jeans only.'
'B09Z78X599','Superb','5.0 out of 5 stars','Perfect fit at reasonable price'
'B09Z78X599',It's not DENIM.,'1.0 out of 5 stars',It's not DENIM. It's stretchable fabric. I personally don't like wearing them.
'B09Z78X599','Colour,fit ànd comfort..all in one.','5.0 out of 5 stars''Good value for money..'
'B09Z78X599','Bekar','2.0 out of 5 stars','Not as image and over priced'
'B09Z78X599','OG cloth','5.0 out of 5 stars','Cloth was good OG'
'B09Z78X599','Amazing buy for 6fit height','5.0 out of 5 stars','Amazing buy'
'B09Z78X599',Won't recommend,'1.0 out of 5 stars','The fabric is like canvas. It also shrunked after wash.'
'B09Z78X599','Quality is not good.','1.0 out of 5 stars','Jeans got ripped at inseam in first wash.'
'B09Z78X599','Bad Fabric','1.0 out of 5 stars','verry bad fabric'
'B09Z78X599','NICE NICE NICE','5.0 out of 5 stars','No other word i could think off!!!'
'B09Z78X599','Good','5.0 out of 5 stars','Good quality jeans.. but the levis is not written on small red tag on back pocket'
'B09Z78X599','Not slim fit','1.0 out of 5 stars','Not as expected.'
'B09Z78X599',Product doesn't meets expectation,'2.0 out of 5 stars','Product is not as per the expectations. I have ordered 32 waist size however it seems to be little large in size so fitting is not good. Stretch is also not good.'
'B09Z78X599','Levi’s 511 is a good quality slim fit jeans','4.0 out of 5 stars','Nice fitting jeans. Got it for an Excellent price during sale.'
