item,title,rating,body
'B0B176J8V5','Not Recommended','1.0 out of 5 stars','Bad built. Difficult to cap the bottle. Just go for plastic simple bottle rather.'
'B0B176J8V5','Nice product','5.0 out of 5 stars','As i expected This product is good with this price I wil be recommended to buy this without hesitation. Go ahead'
'B0B176J8V5','Light weight, easy to use ..','5.0 out of 5 stars''Very good material used for manufacturing.. 👍'
'B0B176J8V5','Poor quality - leaking','1.0 out of 5 stars','Substandard product Very thini metal and has many holes at the bottom. LEAKING Please do not recommend/ promote such products'
'B0B176J8V5','Worst quality','1.0 out of 5 stars',These bottles can't even withstand freezing water. Just one drop will crack open the bottle. I don't recommend at all.
'B0B176J8V5','Value for money. Good','4.0 out of 5 stars','Looks good and quality is also good. Value for the money'
'B0B176J8V5','Good but pne of these leaks','4.0 out of 5 stars','Overall good purchase but one bottle is leaking even after closimg the cap tightly.'
'B0B176J8V5','Safe to use great quality','5.0 out of 5 stars','Great quality'
'B0B176J8V5','Product Quality','1.0 out of 5 stars','Quality is not good. Cap is not fitting well to bottle.'
'B0B176J8V5','Low quality','2.0 out of 5 stars','The bottle is leaking. Cap is defective'
'B0B176J8V5','Did justice to the price .','3.0 out of 5 stars',Wasn't that good . After around a week the caps were leaking water and the bottle base swelled up and got a crack near the joint . Never refrigerate these bottles .
'B0B176J8V5','Good','5.0 out of 5 stars','Good service and material return also better Ready to use no hidden product all good no any further update like and recommend all my family'
'B0B176J8V5','Good','3.0 out of 5 stars','Good but cap delicate'
'B0B176J8V5','Good quality','5.0 out of 5 stars','Good product'
'B0B176J8V5','क्वालिटी','1.0 out of 5 stars','क्वालिटी नॉट बेटर'
'B0B176J8V5','As per the price point good product','3.0 out of 5 stars','Good as per the price point of view personally i did not like the bottle and returned it the steel is very thin easily it will be damage or get the dent. But much batter than the local products.'
'B0B176J8V5','Bad product','1.0 out of 5 stars','The lid broke off even before first use'
'B0B176J8V5','Quality is too wrost and one bottel is dammaged','1.0 out of 5 stars','Bad quality'
'B0B176J8V5','Quality','5.0 out of 5 stars','Good Quality at Price'
'B0B176J8V5','Steel bottle','5.0 out of 5 stars','No smell while drinking water or mountain dew'
'B0B176J8V5','Good quality','4.0 out of 5 stars','Nice'
'B0B176J8V5','Good','4.0 out of 5 stars','Good product'
'B0B176J8V5','Bottle is good','4.0 out of 5 stars','Sometimes water leakage happens from cap but overall best product thank you'
'B0B176J8V5','Sturdy','4.0 out of 5 stars','You can carry it by keeping your finger on the hook provided with the cap. Right size and good looking.'
'B0B176J8V5','Fraud on name of warranty','1.0 out of 5 stars',Don't buy it's fraud on name of warranty. I have brought this and it's damaged from bottom and when I tried to replace I come to know that no warranty is applicable. Fraud iteam
'B0B176J8V5','Very poor quality, bottle cap!','1.0 out of 5 stars''The media could not be loaded. Skip this product!'
'B0B176J8V5','Not good quality of steel.','1.0 out of 5 stars','The media could not be loaded. Quality dull after 2 hours smells in water.'
'B0B176J8V5','Good one','5.0 out of 5 stars','Excellent one no leakage ...go for it'
'B0B176J8V5','Not useful for cold or hot water. It is general bottle to store normal temperature water.','1.0 out of 5 stars','Cannot store cold or hot water. The bottle itself gets cold or hot from outside. And cannot keep the inside water cold or hot.'
'B0B176J8V5','Nice bottle','4.0 out of 5 stars','No leakage and spillage  worthy buy.'
'B0B176J8V5','Faulty product','1.0 out of 5 stars','Ordered 4 bottles Not able to close lid of any bottle properly'
'B0B176J8V5','Good package and the water bottles are good thanks Amazon','5.0 out of 5 stars','Good product nice'
