item,title,rating,body
'B0B59R76F1','Excellent fabric','5.0 out of 5 stars','Nice fitting good cost.'
'B0B59R76F1','Product good. but for me it;s small size','3.0 out of 5 stars',If the size mentioned in cm that will help the users to choose the right product. since it's not fit for me in the right way. Returned and it;s accepted.
'B0B59R76F1','Bit tight on the waist','3.0 out of 5 stars','Bit tight on the waist'
'B0B59R76F1','Nice','4.0 out of 5 stars','Good'
'B0B59R76F1','Very soft material','5.0 out of 5 stars','Good material to wear'
'B0B59R76F1','very thin and not even good for winter','1.0 out of 5 stars','not recommended'
'B0B59R76F1','Nice product','5.0 out of 5 stars','nice quality and colour'
'B0B59R76F1','Good','4.0 out of 5 stars','Good'
'B0B59R76F1','This is good and best product','4.0 out of 5 stars','The same product I choose'
'B0B59R76F1','Hmm','2.0 out of 5 stars','Patla bhot h ye sweater'
'B0B59R76F1','Full Rating','5.0 out of 5 stars','Better in the price range if you want to buy then go for it'
'B0B59R76F1','Poor quality','2.0 out of 5 stars','Cloth quality is not very good'
'B0B59R76F1',Denimholic men's turtle neck sweater,'5.0 out of 5 stars','Liked it'
'B0B59R76F1','It was Perfect','4.0 out of 5 stars',I liked the product as it fits perfectly and quality is almost better than other this type of shirts. I'll say that you can go for it. And I'll also buy this t shirt but diff colour. Don't worry about the fitting it's perfect ❣️
'B0B59R76F1','Very good 👍','5.0 out of 5 stars','Very good 👍'
'B0B59R76F1','Good quality product','5.0 out of 5 stars','Good quality product'
'B0B59R76F1',Don't purchase it ... I beg of you,'1.0 out of 5 stars',Guys seriously don't buy this product Waste of money Stuff is completely disgusting I bought better for 800 only So don't follow this dillema that online is reliable Online is just another place for making people stupid Be responsible towards your money!
'B0B59R76F1','Material is thin','3.0 out of 5 stars','Material is thin compared to the black colour which is found much warmer and better'
'B0B59R76F1','Nice fitting','5.0 out of 5 stars','Nice fitting'
'B0B59R76F1','Quality and fitting','5.0 out of 5 stars','Good quality material and body fitting.So order accordingly as per correct size .Nice feeling when worn.'
'B0B59R76F1','Good for my uncle','4.0 out of 5 stars','Good quality'
'B0B59R76F1',It's very nice to wear...got the same as expected.,'4.0 out of 5 stars',''
'B0B59R76F1','Too good.','5.0 out of 5 stars','Really good for this winter....'
'B0B59R76F1','Great fit on the first go, shrinks after first wash.','1.0 out of 5 stars'The material is not good. The size shrank after first wash. Couldn't wear it second time.
'B0B59R76F1','Ok','4.0 out of 5 stars','Quality can be improved'
'B0B59R76F1','Very nice product & soft waoooooo','5.0 out of 5 stars','I love product.'
'B0B59R76F1','Good','5.0 out of 5 stars','Good'
'B0B59R76F1','Very perfect','5.0 out of 5 stars','Fitting excellent'
'B0B59R76F1','Average product','3.0 out of 5 stars','Average product'
'B0B59R76F1','Product was torn at Left hand side elbow.','1.0 out of 5 stars','Product was torn at Left hand side elbow.'
'B0B59R76F1','The Color is not as shown in images. However, I like it.','3.0 out of 5 stars'''
'B0B59R76F1','Quality is good more than expected','5.0 out of 5 stars','Quality is very good Unfortunately it have only size upto 2XL and i need 4XL'
'B0B59R76F1','Overpriced low quality','1.0 out of 5 stars','Thread sweater with a high price. Not suitable for even little winter. Its just a high neck t-shirt. Should have not been for more than 400 rs.'
'B0B59R76F1','Nice product 👍👍 😊👍','5.0 out of 5 stars','Nice and beautiful ❤️ product'
'B0B59R76F1','Just.. want to say one thing ,, paisa vasoool''5.0 out of 5 stars'''
'B0B59R76F1','Good','5.0 out of 5 stars',It's good
'B0B59R76F1','Excellent ...','4.0 out of 5 stars','Should be more Darker...'
'B0B59R76F1','They sent some old product after use of 3-4 days size is increased in one wash unexpectedly','3.0 out of 5 stars','They sent some old product after use of 3-4 days size is increased in one wash unexpectedly'
'B0B59R76F1','Bad Quality product. Dont buy.','1.0 out of 5 stars','Quality and size are not as expected. Don’t buy its a waste of money.'
'B0B59R76F1','Very loose in neck and overall firmness.','2.0 out of 5 stars','It does not have dimension stability.'
'B0B59R76F1','Ordered XL but got L.','3.0 out of 5 stars','This thin compared to same price with other turtle necks but keeps you surprisingly warm with an outer.'
'B0B59R76F1','Nice product','5.0 out of 5 stars','Good fit and nice'
'B0B59R76F1','nice good','1.0 out of 5 stars','winter cloth'
'B0B59R76F1','Good quality','5.0 out of 5 stars','Buy one size bigger.'
'B0B59R76F1','Awesome','5.0 out of 5 stars','Too good'
'B0B59R76F1','very good','5.0 out of 5 stars','completely satisfied with the product'
'B0B59R76F1','Good Quality And Fits well','5.0 out of 5 stars','It is awesome ! You should go for it without a second thought'
'B0B59R76F1','Perfect fashion wear','4.0 out of 5 stars','Good product must buy value for money'
'B0B59R76F1','Best quality','5.0 out of 5 stars','Good quality  good fitting best for comfort !!!'
'B0B59R76F1','Value of money 💰💲💲','3.0 out of 5 stars','Value of money 💸💸'
