item,title,rating,body
'B0B5LLFRSX','Waist is very tight.','3.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r2ef20p1j5v29h_1697129108037""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""258-0535624-9145418""refMarkers:""vse_reviews_desktop_R2EF20P1J5V29H_1697129108037_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""RHRBPCP84PZDH2AQ9WEC""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2EF20P1J5V29H""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2EF20P1J5V29H_1697129108037_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/83997070-1aa7-4156-b5ea-c49789fc0e5e.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/5a072bea-b824-43f9-93bf-ae6cc356468e/default.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R2EF20P1J5V29H""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r2ef20p1j5v29h_1697129108037-player-2e543153-e8e8-4594-bc7d-ab544031a0d7""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""RHRBPCP84PZDH2AQ9WEC""pageAsin:""""sessionId:""258-0535624-9145418""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""258-0535624-9145418""refMarkers:""vse_reviews_desktop_R2EF20P1J5V29H_1697129108037_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""RHRBPCP84PZDH2AQ9WEC""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R2EF20P1J5V29H""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R2EF20P1J5V29H_1697129108037_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61epy62YpaL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Waist is very tight'"
'B0B5LLFRSX','Very nice product I like it','3.0 out of 5 stars','Only price is high but it worth'
'B0B5LLFRSX','Nice','4.0 out of 5 stars','nice material'
'B0B5LLFRSX','This fabric quality is very bad','1.0 out of 5 stars','Not useful fabric'
'B0B5LLFRSX','Good one','5.0 out of 5 stars','Comfortable nice quality.. same as picture no colour fading..'
'B0B5LLFRSX','Just OK','3.0 out of 5 stars','It is just OK Can be bought for daily use.'
'B0B5LLFRSX','Nice purchase','5.0 out of 5 stars','Very nice'
'B0B5LLFRSX','Good Quality','5.0 out of 5 stars','The trousers are very good and the quality and fabric is really good value for money. You can buy without any doubt.'
'B0B5LLFRSX','Okay okay product','1.0 out of 5 stars','Not good very bad material'
'B0B5LLFRSX','Not expected','2.0 out of 5 stars','Only 2 pieces recieved in the package. Yellow one is missing. Disappointed. Fabric is goodfit is good.'
