item,title,rating,body
'B0B6BLTGTT','Very smooth','4.0 out of 5 stars','Very good product in this price pacakaging was very good the watch is running very smoothly Satisfied'
'B0B6BLTGTT','Watch ka button kam nahi kar raha','1.0 out of 5 stars','The media could not be loaded. Iska button nahi kam kar raha hai. Abhi guarantee period me hai. Ise Cheng kara dijiye'
'B0B6BLTGTT','Worst service from Noise','1.0 out of 5 stars',"Don't buy this product, Worst service from Noise your are helpless after any issues. No service exicutive to direct communication. It's very difficult costomer to get service."
'B0B6BLTGTT','Not getting Bluetooth incoming calls','1.0 out of 5 stars','Worst product. Bluetooth incoming calls not working. I set all the settings from help tutorial. But not worked.'
'B0B6BLTGTT','Great product','5.0 out of 5 stars','Product was good no lag comfortable to wear.'
'B0B6BLTGTT','Inconvenience','1.0 out of 5 stars','Worst'
'B0B6BLTGTT','Fake','1.0 out of 5 stars','In specification it showed internal storage 256 gb and ram 12gb but it came without this. Just normal local kind of watch. Seriously not happy with noise.'
'B0B6BLTGTT','THIS IS A BUDGET FRIENDLY WATCH','5.0 out of 5 stars','This product display is very good The product quality is very well The product is very comfortable to wearing This product is always track your step and sllep tracking is very good for this watch ⌚. I am really love this watch'
'B0B6BLTGTT','Super 👍😊','5.0 out of 5 stars','Display quality+ Battery 🔋 life + features provided by Noice is Next level💪. Very Happly to buy this product. Price is very reasonable and product is too good'
'B0B6BLTGTT','Touch and screen','1.0 out of 5 stars','Bad product and poor customer service'
'B0B6BLTGTT','Nice product','5.0 out of 5 stars','Fit to the wrist and dashing look.'
'B0B6BLTGTT','Worst product...in thus prize','1.0 out of 5 stars','Less features worst product'
'B0B6BLTGTT','Quality','1.0 out of 5 stars','This is use and throw product and not be repaire in any service centre or shop'
'B0B6BLTGTT','amazing experience','5.0 out of 5 stars','I genuinely loved this product..'
'B0B6BLTGTT','Unsatisfied with product','1.0 out of 5 stars',I am totally unsatisfied with this smart watch I thought it each charge will long last up to 8days and more but when we connect to our phone Bluetooth it is not atall coming 3days ... And and i want return it back within period of time I tried many times but no response from the company and from Amazon nowadays Amazon service is getting worse... I won't suggest this to my friends and family members.  Finaly I thown this watch in my home in a corner
'B0B6BLTGTT','Very bad condition','1.0 out of 5 stars','On nhi ho rhe hai very poor product discusting'
'B0B6BLTGTT',Very bed quality of display.West of money don't buy,'1.0 out of 5 stars','The media could not be loaded. Lining on display in 3 months after putting. Totely west of money'
'B0B6BLTGTT','Worst service - noise','1.0 out of 5 stars',"Noise charging cable not working after one month, many complaints raised & spoke to noise customer care for more than 10 time still they didn't replaced charging cable. Shared photos & video., still they'nt dispatching cable.. i have ever seen this type of worst service. Please don't buy Noise products.. service is very worse 😡🤬"
'B0B6BLTGTT','Replace it','1.0 out of 5 stars',''
'B0B6BLTGTT','Good quality','4.0 out of 5 stars','Value for money'
'B0B6BLTGTT',It's features are really good,'5.0 out of 5 stars',Over all it's really smart watch with look n features
'B0B6BLTGTT','Battery back is bad','2.0 out of 5 stars','Battery is lasting only for 3 days. Product claim 10 daysI have done the replacement still same issue.'
'B0B6BLTGTT','Watch is very nice','5.0 out of 5 stars',But don't 🎁 pack this I paid for gift pack 30 rs
'B0B6BLTGTT','Connection issue','1.0 out of 5 stars',Waste of money ..get disconnected so often and it's been only a month since I bought this but it is getting hanged...such a bad experience
'B0B6BLTGTT','Good to keep','4.0 out of 5 stars','I am keeping this as next delivery is late however it has small crack as picture.'
'B0B6BLTGTT','Very good loved it','5.0 out of 5 stars','Quality is just awesome n very easy to use n wear comfortablely'
'B0B6BLTGTT','Great Value for Money','5.0 out of 5 stars','Looking for an Indian BT calling fitness tracker and good looking watch. This is it. Have been using for past month and offers more than I expected. Smart buy. Recommend it'
'B0B6BLTGTT','Mast hai watch','5.0 out of 5 stars','Nice watch'
'B0B6BLTGTT','Used and defective product received 😡😡😡','1.0 out of 5 stars','Used and defective product received 😡😡'
'B0B6BLTGTT','Waste of money','1.0 out of 5 stars','Very bad product.. new watch getting drained within 4/5 hrs'
