item,title,rating,body
'B0B6F5V23N','Dont buy','2.0 out of 5 stars','Writing the review after 6months of usage- over heating issues loud fan sound wrong fan vent position making screen to heat up. I will not suggest it'
'B0B6F5V23N','Laptop','3.0 out of 5 stars','Awesome'
'B0B6F5V23N','Decent & worthy product','4.0 out of 5 stars','An extra USB port on the right side would have been very much helpful.'
'B0B6F5V23N','Nice product','5.0 out of 5 stars','I purchased for my daughter. Less price than market'
'B0B6F5V23N','Screen issue when brightness is low','3.0 out of 5 stars','When Brightness is low then I see black patch on the laptop screen'
'B0B6F5V23N',Don't buy HP laptop,'1.0 out of 5 stars',I have purchased the HP Laptop 15s i5 12th generation on 7May 23. It's not getting started. Fully dead. Very poor service support from HP. It is advisable not to buy HP Laptop. It got bend also. We are not able to close it's screen.
'B0B6F5V23N','Laptop mother board gone faulty after 15 days','1.0 out of 5 stars','After 15 days Laptop gone faulty customer care helpless to resolve the issue. They provided on site engineer and declared mother board faulty. Now they will change mother board. How HP care is working ? How will I be satisfied with Repaired Laptop which is gone faulty just after 15 days. I never expect this type of service from HP'
'B0B6F5V23N','Goof','5.0 out of 5 stars','Very good  got in offer'
'B0B6F5V23N','Hp15s i5-1235U 8gb ram','5.0 out of 5 stars','Good product at budget'
'B0B6F5V23N','No one came to pick up return the laptop from last 7 days','1.0 out of 5 stars','Very pathetic service from the seller to deliver the defective product i create return request more than 7 days but no one came to pick up return of laptop and no one call'
'B0B6F5V23N','Nice functioning','5.0 out of 5 stars',Working smoothly with the good speed as expected. I'm able to work with heavy applications as well
'B0B6F5V23N','Bogus camera','3.0 out of 5 stars','Good product with bogus camera'
'B0B6F5V23N','Heavy fan noise','1.0 out of 5 stars',"The media could not be loaded. I don't know why HP is manufacturing such bad products. Hinges were so tight , while opening I got such sound that it might break if I open by applying more pressure. Heavy fan noise coming out near speakers. After connecting charger, both laptop and adapter got heated up in the first go itself. Badly disappointed with this product!"
'B0B6F5V23N','Make a lot of noise','3.0 out of 5 stars','Everything is good excepts this lappy makes a lot of noise. So much that it gives feeling of water pumping motor is running heats up enough to iron cloths'
'B0B6F5V23N','Good product','5.0 out of 5 stars',''
'B0B6F5V23N','Nice product','5.0 out of 5 stars',''
'B0B6F5V23N','Very good','5.0 out of 5 stars','It is a very good laptop. Overall performance is very good . Even the battery backup is very good i continuously used the laptop for 3 hours and the the battery went from 100 to 63  which is a very good .'
'B0B6F5V23N','Good','4.0 out of 5 stars','Good'
'B0B6F5V23N','Battery life 2-3 hrs','1.0 out of 5 stars','I was absorbed 4days Charge 100% within 50 minutes But 2-3hrs Battery life only. I use with charging between 30-85% also same results. * Low Quality product. * Seller said 5-7 hrs.'
'B0B6F5V23N','HP Laptop 15s fq5111TU: A Blend of Power, Performance," and Portability''5.0 out of 5 stars'The HP Laptop 15s, equipped with a 12th Gen Intel Core i5-1235U, is a powerhouse of performance and efficiency. The laptop's 15.6-inch FHD display provides a crisp and clear visual experience, making it ideal for both work and entertainment. Its 8GB DDR4 RAM ensures smooth multitasking, while the 512GB SSD offers ample storage space and faster data access. Moreover, the Intel Iris Xe Graphics enhances the overall visual performance, making it a great choice for graphic designers and gamers alike.  The laptop's design is another impressive feature. It is thin and lightweight, weighing just 1.69 kg, making it highly portable. The silver color gives it a sleek and stylish look, while the backlit keyboard adds to its aesthetic appeal and functionality, allowing for comfortable typing even in low light conditions. The laptop comes pre-installed with Windows 11 and MS Office 2021, providing users with the latest software and tools for productivity.  In conclusion, the HP Laptop 15s fq5111TU is a well-rounded device that offers a blend of performance, design, and convenience. Whether you're a student, a professional, or a casual user, this laptop is designed to meet your needs. Its powerful features and sleek design make it a worthwhile investment."
'B0B6F5V23N','Very good','5.0 out of 5 stars','Product nice'
'B0B6F5V23N','Best Buy, only battery issue.','4.0 out of 5 stars''Everything is Good accept battery back up...battery will die within 2 hours if used continuously. Rest everything is good as per price.'
'B0B6F5V23N','Good','5.0 out of 5 stars','Go for it'
'B0B6F5V23N','BATTERY CAPACITY AND OTHER FEATURES NOT UPTO LEVEL AS MENTIONED','1.0 out of 5 stars','I think we should buy HP laptop without any hesitation and suggestions and any worry but laptop performance is worst.wastage of money I feel purchasing this laptop'
'B0B6F5V23N','Battery backup is so bad..','1.0 out of 5 stars',After 6 days of purchase it's gives only 2 hours backup
'B0B6F5V23N','Waste money to buy, HP15s i5 12gen laptop','1.0 out of 5 stars''This laptop screen is not good at all.Waste money to buy this laptop.Screen colour and its light effect is not good.'
'B0B6F5V23N','Waste of money','2.0 out of 5 stars',What they mentioned about back up is wrong..it's hardly one hour to one half hour back
'B0B6F5V23N','Accept Return of My Hp laptop','1.0 out of 5 stars','Battery low back up issue 😭 I want to return but no one help me'
'B0B6F5V23N','Worst after sales support','1.0 out of 5 stars','Within one week the display went blank. For one week we are trying to get it replaced. We are not getting any roper response. Worst after sales support. The sales person himself telling We will service it and sell as new one to another customer'
'B0B6F5V23N','Poor battery','2.0 out of 5 stars','Worst battery ever in the laptop segment'
'B0B6F5V23N','Waste screen','3.0 out of 5 stars','Worst display'
'B0B6F5V23N','The laptop weight as claimed on Amazon is totally different','1.0 out of 5 stars','The laptop weighs more than 1.7 kgs as mentioned by HP but amazon displays on its website as 1.41 kgs. The amazon call that i had made said that this weight is provided by HP. This is mis leading the customers. The battery drains in 3-4 hours max on normal excel internet use. All in all a pathetic product quality'
'B0B6F5V23N','Amazing laptop','5.0 out of 5 stars','Have been using for a month. Find it amazing in all respects'
'B0B6F5V23N','Charger not working.','4.0 out of 5 stars',"The media could not be loaded. The laptop is working fine, the only problem was with the charger, I asked for a replacement of charger but they said they can't do it. hence returning the laptop."
'B0B6F5V23N','good','5.0 out of 5 stars','under budget best choice'
'B0B6F5V23N','Getting too much noise...','1.0 out of 5 stars','The media could not be loaded.'
'B0B6F5V23N','Very Poor Battery','1.0 out of 5 stars','Drain 1 percent every minute'
'B0B6F5V23N','HP selling refurbished Laptop donot purchase HP LAPTOP','1.0 out of 5 stars',HP selling refurbished Laptop.HP customer care doesn't respond after purchasing LAPTOP and making fool to customers. donot purchase HP LAPTOP .
'B0B6F5V23N','Terrific purchase','4.0 out of 5 stars','Good laptop  beautiful backlit keyboardtop level performance4-5 hrs battery backup.'
'B0B6F5V23N','What a terrible display. cannot believe such a positively reviewed laptop would be a scam.','1.0 out of 5 stars','What terrible display. cannot believe such a positively reviewed laptop would be so bad. Almost felt cheated buying on the basis of positive reviews. 1) Poor quality display. Not a sharp display of pictures and texts. 2) Poor bttery quality. Works for only 1 hour max. 3) Poor contrast betwen keypad keys and symbols on it. 4) Keyboard gets too hotto handle towards the right-half of the keyboard. Again felt cheated buying based on amazon reviews. scam! scam! scam! scam! scam! scam!'
'B0B6F5V23N','Warranty Issue','2.0 out of 5 stars','Received a product with less warranty than the purchase date. Also C type USB port and HDMI not working when connecting to Monitor'
'B0B6F5V23N','Excellent processor from intel','5.0 out of 5 stars','Worth product from hp with intel processor'
'B0B6F5V23N','Great product in the price range','5.0 out of 5 stars','Have been using this product for around 6 months now. Pros: 1. Good performance hardly felt any lags for normal office usage 2. Quick boot time 3. Good display and sound  Cons: 1. Poor keyboard backlight'
'B0B6F5V23N','Too good parts','5.0 out of 5 stars','All things are good for uses'
'B0B6F5V23N','Awasome 👍😃','5.0 out of 5 stars',The laptop is very good A very good laptop in this price range. I have been using it for a few days and I haven't faced any issues. All round the best laptop
'B0B6F5V23N','Worst in battery, drainage rapidly and it is going to be far worse in feature','1.0 out of 5 stars'''
'B0B6F5V23N','Pretty impressive!','5.0 out of 5 stars','This laptop is latest in technology at the lowest comparable prices! Would totally recommend. Student/work friendly.'
'B0B6F5V23N','Perfect for student uses','5.0 out of 5 stars','Very good'
'B0B6F5V23N','Laptop received without MSO 21','3.0 out of 5 stars','Laptop doesnot have MSO 21 unable to open any word or excel'
'B0B6F5V23N','in specs','3.0 out of 5 stars','Slow and processes speed is 1.3 Ghz not mentioned in specifications'
