item,title,rating,body
'B0B6ZZB6Q6','Bad smell','1.0 out of 5 stars','Bad smell'
'B0B6ZZB6Q6','Worst product','1.0 out of 5 stars','Smell like washing soap'
'B0B6ZZB6Q6','Very awwh product','1.0 out of 5 stars','The product is very Ganda if you want to buy than change your mood'
'B0B6ZZB6Q6','Very nice soap 🫧🧼.... Amazing','5.0 out of 5 stars','Very nice soap 🧼🧼.... Amazing'
'B0B6ZZB6Q6','Old Stock','3.0 out of 5 stars','Product is Okay for the Discounted Price of 114/-. However this is more than a year Old stock Jun 2022.'
'B0B6ZZB6Q6','Worst packing. Address sticker stick on soap box.','3.0 out of 5 stars','The media could not be loaded.'
'B0B6ZZB6Q6','Great Product By park avenue','5.0 out of 5 stars','I’m using this product and this is totally awesome soap. The things I like most in this that was long lasting fragrance and second one is the skin was always moisture not like other shop that will make our skin dry after using them. All over this is totally awesome product and highly recommend by me'
'B0B6ZZB6Q6','Awesome','5.0 out of 5 stars',Fragrance of the soap is literally awesome..... I've got it @112
'B0B6ZZB6Q6','Not worth','1.0 out of 5 stars','Not looking fresh And getting pimples'
'B0B6ZZB6Q6','Offer','4.0 out of 5 stars','Good 👍'
'B0B6ZZB6Q6','Good 👍','5.0 out of 5 stars',''
'B0B6ZZB6Q6','from chote papa','1.0 out of 5 stars','sabun nahate wqt bohot gila ho jata h upr se isme jhaag bhi bohot bnte h hatho se fisal jata h  or fir ghis bhi jldi jata h'
'B0B6ZZB6Q6','Awesome fragrance','5.0 out of 5 stars','It just give me awesome refreshment.. love it'
'B0B6ZZB6Q6','Worst','1.0 out of 5 stars','like a cloth soap'
'B0B6ZZB6Q6','Soap quality','5.0 out of 5 stars','Soap quality is awesome and smell is good'
'B0B6ZZB6Q6','Bad product','1.0 out of 5 stars','Causes irration and redness'
'B0B6ZZB6Q6','Good scent','5.0 out of 5 stars','Nice smell'
'B0B6ZZB6Q6','Poor quality','1.0 out of 5 stars','Waste of money'
'B0B6ZZB6Q6','Very good product.','5.0 out of 5 stars','Very good product.'
