item,title,rating,body
'B0B71K5CM5',It's worth it,'5.0 out of 5 stars',It's a decent belt and i would definitely recommend this. Handy thing for sure. You have to be careful while using to make it long lasting
'B0B71K5CM5','Must buy product','5.0 out of 5 stars','Value for money product must buy'
'B0B71K5CM5','Good','5.0 out of 5 stars','Good'
'B0B71K5CM5','Go for it','5.0 out of 5 stars','Nice belt for thin girls like me 😄'
'B0B71K5CM5','Good purchase','5.0 out of 5 stars','Loved it'
'B0B71K5CM5','Good investment for all your loose pants','5.0 out of 5 stars','Comfortable'
'B0B71K5CM5','Does not hold the jeans up','3.0 out of 5 stars','Good for short period or short gap. It does nit hold the jeans up.'
'B0B71K5CM5','Good product','4.0 out of 5 stars','Good product'
'B0B71K5CM5','It solved my problem','4.0 out of 5 stars','I don’t like wearing belts but some of my jeans need a little tightening so this really solved my problem.'
'B0B71K5CM5','Good 👍','3.0 out of 5 stars','Ok good'
'B0B71K5CM5','Hello','5.0 out of 5 stars','Good'
'B0B71K5CM5','Satisfied','5.0 out of 5 stars','I love it'
'B0B71K5CM5','Product working.','5.0 out of 5 stars','Working amazingly! Try once.'
'B0B71K5CM5','Amazing product','5.0 out of 5 stars','Good quality and worth for money so just go for it You won’t regret it.'
'B0B71K5CM5','Nice concept','4.0 out of 5 stars',I like the fact that you don't need to unfasten the belt to put on or remove the garment. Very convenient for my teens children. Look is average but it is anyway pretty discrete. Works well.
'B0B71K5CM5',Need some more safety button won't work after many uses it will become loose,'4.0 out of 5 stars','Good but need more safety button to fix around waist .'
'B0B71K5CM5',It's ok to the price could be better,'4.0 out of 5 stars','You can buy it'
'B0B71K5CM5','Low quality','1.0 out of 5 stars','Quality is as not good as shown. Not worthy for value.'
'B0B71K5CM5','Super amazing','5.0 out of 5 stars',I love it..my waist is thin so earlier I got problem finding belt but now it goes with every jeans/pant I have it's super amazing
'B0B71K5CM5','Good usage','4.0 out of 5 stars','It can replace a conventional belt and quality also good.'
'B0B71K5CM5','Not for everyone','3.0 out of 5 stars','This belt is good but only for thin people.if your waist is big like me it is not at all useful.'
'B0B71K5CM5','satisfied with the product','5.0 out of 5 stars','go for it'
'B0B71K5CM5','Satisfied','5.0 out of 5 stars','Product is very good..and there is no any mention of size but this belt fits any size..approx waist size 40-42..you can definitely buy this . The product is totally worth it.✨'
'B0B71K5CM5','Good','4.0 out of 5 stars','Good'
'B0B71K5CM5','Best 👍','5.0 out of 5 stars',Everyone who sow it was asking me to send the like :) it's so cool guys...buy it 💜
'B0B71K5CM5','Good','4.0 out of 5 stars','Really like the product. As mentioned is not bulky and gives a good look under t-shirts.'
'B0B71K5CM5','Good at this price','4.0 out of 5 stars',It's like you can use it with your very little adjustable bottoms. Quality is good at this price.
'B0B71K5CM5','Very good product','4.0 out of 5 stars','Awesome product as shown in the pictures.It is also of very good quality.'
'B0B71K5CM5','Good','5.0 out of 5 stars','Good'
'B0B71K5CM5','I like this product','5.0 out of 5 stars','Perfect product for girls and women'
'B0B71K5CM5','Small size','2.0 out of 5 stars','It is not one size as mentioned. For a hip size of 32 its length is not sufficient.'
'B0B71K5CM5','Go for it','5.0 out of 5 stars','Best product at this price'
'B0B71K5CM5','V good','5.0 out of 5 stars','V good belt'
'B0B71K5CM5','much needed','4.0 out of 5 stars','The buckle-less belt idea is really helpful. It gives a clean look. The length is adjustable and the material is stretchable.'
'B0B71K5CM5','Great','5.0 out of 5 stars','Quality is good'
'B0B71K5CM5','Lovely!','5.0 out of 5 stars','I just love this belt! this is very unique and comfortable plus no wrinkles around the stomach!'
'B0B71K5CM5',Don't waste your money on this belt,'1.0 out of 5 stars','This belt is not what it claims to be. The quality is below par and not worth the money you are paying. Hardly used it for a week and the belt snapped into 2. Better to buy a normal leather belt.'
'B0B71K5CM5','Excellent','5.0 out of 5 stars','Can be ised as dhothi belt'
'B0B71K5CM5','Useful','5.0 out of 5 stars','If u weight fluctuates or if ur bottoms r loose at your waist go for it and taking a inch in is nt an option.'
'B0B71K5CM5','Awesome invention and twist to the traditional belts','5.0 out of 5 stars','So convienient and easy to use . Such a cool product. Awesome twist to the traditional belts'
'B0B71K5CM5','Money','1.0 out of 5 stars','West for my money'
'B0B71K5CM5','Its ok sort of','3.0 out of 5 stars','The belt works good when you are standing but when you sit the belt tends to tighten and then stretch resulting in moving against the straps present in the jeans or pants... If your rear is a bit bulky then you will have little problem...'
'B0B71K5CM5','Fantastic','5.0 out of 5 stars','Love the product. Looks beautiful..now I can wear daily ..to my loose pant/jeans . Recommend to all Amazong one'
'B0B71K5CM5','Belt is fine but too costly...','3.0 out of 5 stars','Belt is fine but too costly....'
'B0B71K5CM5','belt👌👌','5.0 out of 5 stars','I liked this product. 👌👌Get same as shown in picture 👌👌'
'B0B71K5CM5','Quality is Ok but way to expensive','2.0 out of 5 stars','Expensive according to the product'
'B0B71K5CM5','Good product','4.0 out of 5 stars','Nice and good product 👍'
'B0B71K5CM5','The belt was received broken','2.0 out of 5 stars','The belt was btoken and even the quality was not worth 300.'
'B0B71K5CM5','Awesome 👌','5.0 out of 5 stars','Initially before buying I was in a dilemma whether to buy it or not.. but now after having it am fully satisfied.. it is so perfect.. I always hated buckles shining fat from below the tshirt.. this one serves the purpose so well... what else do u need!!'
'B0B71K5CM5','Very Helpful','5.0 out of 5 stars','This belt is the best one I have ever had.'
