item,title,rating,body
'B0B71WT5XT','Ware length is not enough to connect cpu properly','4.0 out of 5 stars','Ware length is not enough to connect cpu properly'
'B0B71WT5XT','Good for day to day use.','5.0 out of 5 stars','Good for rigorous use.'
'B0B71WT5XT','Lightweight and Strudy','5.0 out of 5 stars','Handy one . Can be carried easily along with laptop. Lightweight and durable product'
'B0B71WT5XT','Super','5.0 out of 5 stars','Good working'
'B0B71WT5XT','Good','5.0 out of 5 stars','Good'
'B0B71WT5XT','Good','4.0 out of 5 stars','Nice and relaxing'
'B0B71WT5XT','Keyboard get struck','2.0 out of 5 stars','Keys are get struck with 2month'
'B0B71WT5XT','Keys stop working','1.0 out of 5 stars','This is not seems like a HP original product Amazon must check the quality before sending the product  This is not factory second product which may I accept but i am sure this is a duplicate HP product'
'B0B71WT5XT','Worth buying','4.0 out of 5 stars','The media could not be loaded. I like the quality of keys worth buying it. Simple keyboard'
'B0B71WT5XT','Key pressing feel is not as a normal keyboard','3.0 out of 5 stars','This is an extraordinary keyboard'
'B0B71WT5XT','Great','4.0 out of 5 stars','It works great and is comfortable and is compact but the only problem is the software. It disconnected frequently for some time but later stopped'
'B0B71WT5XT','good keyboard','5.0 out of 5 stars','its keyboard is very smooth for typing ... really good product'
'B0B71WT5XT','Nice product','4.0 out of 5 stars','Smooth feeling while typing'
'B0B71WT5XT','Good','5.0 out of 5 stars','Good'
'B0B71WT5XT','Keyboard not working properly','1.0 out of 5 stars','The media could not be loaded.'
'B0B71WT5XT','Excellent for comfort','5.0 out of 5 stars','Very good for comfortability & relaxing sound.'
'B0B71WT5XT','Good brand, nice product',"'5.0 out of 5 stars'The HP keyboard is a fantastic addition to any setup. Its sleek design, comfortable keys, and reliable performance make it a top choice. Typing feels smooth and responsive, and the built-in shortcuts enhance productivity. The keyboard's durability ensures it will last. Overall, it's a solid choice for everyday use."
'B0B71WT5XT','Good','4.0 out of 5 stars','Value for money'
'B0B71WT5XT','Good product value for money','5.0 out of 5 stars','Little bit slower for normal mobile wifi'
'B0B71WT5XT','Best Keyboard On This Price','5.0 out of 5 stars',Build Quality is Very Good. All Keys Are Working Condition. This Keyboard Like Premium Keyboard. Thank's HP😊
'B0B71WT5XT','Keyboard','3.0 out of 5 stars','This is not work some keys properly so refund my product I change another choose'
