item,title,rating,body
'B0BBNLS34T','Very bad','1.0 out of 5 stars',I don't recommend buying it. Quality not good. It will get torn in just few days 👎
'B0BBNLS34T','Good','5.0 out of 5 stars','Good quality product'
'B0BBNLS34T','Quality','1.0 out of 5 stars','Nothing to like about the product. All dislike. A total waste of money'
'B0BBNLS34T','Ok quality','4.0 out of 5 stars',"Ok quality, don't expect more went by the brand but turns out like any other brand of playing cards, better ones available in the same price range"
'B0BBNLS34T','Not worth the Pricw','1.0 out of 5 stars','Quality - Its Poor very Slippery Thickness - Ok Size - too big'
'B0BBNLS34T','Quality product','5.0 out of 5 stars','Good quality cards especially for bridge'
'B0BBNLS34T','Good quality cards','5.0 out of 5 stars',"The cards are of good quality. I bought them for cardistry purposes. They are smooth and shuffle well. They have good maneuverability. The print is also nice. They're a bit pricey, but I think they're worth it."
'B0BBNLS34T','Deck arrived in poor condition','1.0 out of 5 stars','Even Replacement Deck is poor shuffled and used. I am fed up of the seller and poor quality of cards.'
'B0BBNLS34T','Poor quality cards. Very delicate.','1.0 out of 5 stars','The media could not be loaded. The quality is not Bicycle like. This is flimsy bends easily. Bicycle seconds have much better quality for 1/4th of the price. Deeply disappointed.'
'B0BBNLS34T','Great quality','5.0 out of 5 stars','Well-made set of paper cards'
'B0BBNLS34T','rider bicycle cards are way better','1.0 out of 5 stars',"don't buy standard version, please buy rider back bicycle cards, you will realise the smoothness and quality of those compared to these standard cards"
'B0BBNLS34T','Quality is good and I love the design and Color','4.0 out of 5 stars',''
'B0BBNLS34T','It is not the plastic ones','2.0 out of 5 stars','Not satisfied its not in plastic. By the way they are smooth'
'B0BBNLS34T','Good, but folds','4.0 out of 5 stars''Very smooth and perfect for cardistry. But use carefully as the cards bend very easily'
'B0BBNLS34T','They look cheap','1.0 out of 5 stars','The pack cost ₹800 but the cards are built like ₹50.'
'B0BBNLS34T','Good time pass','4.0 out of 5 stars','Very smooth finish cards for handling'
'B0BBNLS34T','Cards quality','3.0 out of 5 stars','Nice ones'
'B0BBNLS34T','Very Expensive and It get worst after little time','2.0 out of 5 stars','Not worth it'
'B0BBNLS34T','Genuine product','4.0 out of 5 stars','The media could not be loaded. Super this is the original bicycle playing card.'
'B0BBNLS34T','Matte cards','5.0 out of 5 stars','Classic cards'
'B0BBNLS34T','Use only in casino grade atmospheres','2.0 out of 5 stars',"Deal breakers : - the cards get wet just as fast as a normal notebook or a4 paper does. Once its wet, you cannot use it until it dries up (probably few hours). Don't even think about ironing it (with or without cloth), as it would burn right away.  - the cards get dirty extremely fast. I have hosted only 2 poker nights with this deck, the paper has picked up so much dirt that its clearly visible.  I would have returned it right away if I would have used the deck sooner."
'B0BBNLS34T','Qaulity','5.0 out of 5 stars','Goodqaulity but fades with time water proooof blablabala ama a abshshd bdhdo febd keep out od reach of childern continey'
'B0BBNLS34T','Superb Quality','4.0 out of 5 stars','The only problem in my opinion is that there is no double facced card despite the product being expensive. Otherwise the air cushioning is one of the best in the price range.'
'B0BBNLS34T','original Bicycle awesome','4.0 out of 5 stars','the box came a bit distorted but the cards are in nice conditionit is understandable as it travelled so much go for it guys this is original Bicycle playing cards look at the air cushion finish in the photos it comes only in the original and i have even checked the video of fake vs original comparison and the Ace looks exactly the same of the original go for it thanx Amazon for this cards are softer than butter😍'
'B0BBNLS34T','These are not pastic but still the quality of card is good','4.0 out of 5 stars',"YOu will enjoy playing with them, don't expect to do some magic or juggle as you can do with plastic cards."
'B0BBNLS34T','Misaligned borders again','4.0 out of 5 stars','Great cards but need to improve their quality control. 50% of the decks I get have misaligned borders. Sometimes will give out sleights due to imperfect borders.'
'B0BBNLS34T','Card size must be written','3.0 out of 5 stars','Playing cards come in two sizes  poker size 3.5” * 2.5”  bridge size 3.5” * 2.25” . Bridge size is easier to shuffle . Amazon does not specify card size . These cards i recd are wider & difficult to shuffle.'
'B0BBNLS34T','may not be suitable for senior citizens','4.0 out of 5 stars','the card values were not easily visible as there is a lot on one card.. but a beautiful piece of art it is.'
'B0BBNLS34T','Great','5.0 out of 5 stars','Good'
'B0BBNLS34T','Superb quality','5.0 out of 5 stars','Very high quality cards. Sturdy and good for tricks and shuffling.'
'B0BBNLS34T','Premium product','5.0 out of 5 stars','Super premium quality. Loved the product'
'B0BBNLS34T','Quality is good','5.0 out of 5 stars','Value for money'
'B0BBNLS34T','Awesome product','5.0 out of 5 stars','The cards are exactly how they look and are of premium quality. Worth the money'
'B0BBNLS34T','The cards are very old. The edges are dark with black dots.','2.0 out of 5 stars',Didn't liked it.
'B0BBNLS34T','This is Factory rejected product','1.0 out of 5 stars','This cards are not the quality you expect from bicycle edges are very bad cut and back prints are off center tried to get it replaced and still same issue they are probably selling factory rejected pieces'
'B0BBNLS34T','Original Bicycle playing cards','5.0 out of 5 stars','Original Bicycle playing cards. Some online websites are selling at 600 for one pack here we get two packs for less than than that price. Fantastic !!'
