item,title,rating,body
'B0BCF988TS','Nice Product','4.0 out of 5 stars','Value for money 💸💰. Good looking and best quality .. . . . .. .... .  . . . .'
'B0BCF988TS','Quality low','2.0 out of 5 stars','Size Issues'
'B0BCF988TS','Poor quality','2.0 out of 5 stars','Very bad'
'B0BCF988TS','Cheap and risky might flip','1.0 out of 5 stars','Bad material you might fall'
'B0BCF988TS','Quality','5.0 out of 5 stars','Vari good'
'B0BCF988TS',"Overall I like it's a comfortable, for daily user",'4.0 out of 5 stars','Comfortable grip  probably fit'
'B0BCF988TS','Lite weight comfort to walk','5.0 out of 5 stars','Comfort'
'B0BCF988TS','Okish product','3.0 out of 5 stars',"Too soft, any sharp thing can easily hurt your feet, you can walk more as the design isn't that good for the feet"
'B0BCF988TS','Quite good product.','5.0 out of 5 stars','I ordered it for my friend & he is satisfied with the product.'
'B0BCF988TS','Good','4.0 out of 5 stars','ಕ್ವಾಲಿಟಿ ಇನ್ನು ಇಂಪ್ರೂ ಮಾಡಬೇಕು'
'B0BCF988TS','Low quality item','1.0 out of 5 stars','Difficult to walk as it will bend in the front side.'
'B0BCF988TS','Poor quality product','1.0 out of 5 stars','The product is made of poor quality rubber and breaks like paper only after 6 to 7 days of use .'
'B0BCF988TS','Good','5.0 out of 5 stars','Soft'
'B0BCF988TS','Not durable','1.0 out of 5 stars','Product is not durable.'
'B0BCF988TS','Low quality....not like zudio one','1.0 out of 5 stars',It's used for ntng
'B0BCF988TS','Nice','4.0 out of 5 stars','Nice n comfortable'
'B0BCF988TS','Excellent product','5.0 out of 5 stars',The sizing is perfect it's very comfortable...
'B0BCF988TS','Nice','5.0 out of 5 stars','Good quality'
'B0BCF988TS','Worst','1.0 out of 5 stars','Broke in 1 month'
'B0BCF988TS','Very bad qulity','1.0 out of 5 stars','The media could not be loaded. After 15 days broken'
'B0BCF988TS','Light and comfortable.','5.0 out of 5 stars','Very good buy. Comfortable and light.'
'B0BCF988TS','Decent for the price','3.0 out of 5 stars','It does it’s job pretty light and comfortable for the price'
'B0BCF988TS','Rate is too high','3.0 out of 5 stars','Sliders are comfortable but according that price not good but looking superb 300 is fare price for this hygear slider'
'B0BCF988TS','Waste product.','1.0 out of 5 stars','The media could not be loaded. Very poor product Within one month of purchase its buckle came out and the chapel became useless.'
'B0BCF988TS','Just like Birkenstock sandals','5.0 out of 5 stars','Affordable version of the famous Birkenstock model very soft supple and comfortable for use preferable for indoor use. Nice colours and finish. Value for money! Go for it..'
'B0BCF988TS','Fully comfortable Slippers','4.0 out of 5 stars','Good quality products and very comfortable Slippers to use and best for rainy season So good to use for everyday purpose .'
'B0BCF988TS','Looks good but not durable','3.0 out of 5 stars','Looks good but not durable and cannot wear so long bcz our foot cannot breath with the material they used..'
'B0BCF988TS','I like this product','5.0 out of 5 stars','I like this product'
'B0BCF988TS','Worst product','1.0 out of 5 stars','Worst product very uncomfortable do not buy this'
'B0BCF988TS','Amazan must not deal with this bogus item.','1.0 out of 5 stars',"It is with nothing . A bogus product. It finished in one month only. Cuts developed from every angle. Overall it is nonsence product. It's cost should Rs.50/,- instead of Rs.400/-"
'B0BCF988TS','Not worthy','1.0 out of 5 stars',As per price concern it's not good... low quality...not at all good...don't buy...
'B0BCF988TS','Poor quality','1.0 out of 5 stars','Quality was very poor'
'B0BCF988TS','Value for money','5.0 out of 5 stars','Value for money'
'B0BCF988TS','Horrible','1.0 out of 5 stars',"The product is oversized, I ordered a size 8, it says 8 on the sole, but I have taken a photo of my slippers with my FIL slippers, he wears a size 11! The material is not good, the slippers cracked near the toe joint, within the first 1 hour of use. I threw away the box before I took it for use , so unable to return it. I'll probably just use it till it tears, then keep it as a reminder to never buy footwear from Amazon."
'B0BCF988TS','Flip flops','1.0 out of 5 stars',Plzz Don't buy this footwear friends Not value for money Foot pain🤯😠
'B0BCF988TS','Good product','4.0 out of 5 stars','Good product worth it... Waterproof and durable'
'B0BCF988TS','totally waste','1.0 out of 5 stars','Low quality waste of money.totally waste'
'B0BCF988TS','Nice one...','4.0 out of 5 stars',"It's very nice, light weight and comfortable..."
'B0BCF988TS','OTHER APP IS VERY LOW PRICE.','1.0 out of 5 stars','Yeh sab Jagah sleep hota hain. Other app iska mrp rs Kum hain . Thumb hona CHAYEIN. Is sleeper se bahut baar girgya mein.thirdclass quality PRODUCT hain yeh.EXPENSIVE HONEKE BAAD QUALITY IS VERY BAD.'
'B0BCF988TS','Excellent','4.0 out of 5 stars','The shoes are very much good looking n comfortable'
'B0BCF988TS','Very bad product','2.0 out of 5 stars',"I bought the company's product, I thought it might give a good product, but it is not like this, it feels good to wear slipper, but the slipper is so soft that it becomes difficult to go out wearing it, if you walk on the road, even a small pebble gets pricked, such is the quality of this company. ."
'B0BCF988TS','Worst','1.0 out of 5 stars','Very bad quality.. and 0 durability don’t buy this'
'B0BCF988TS','One more crap available on Amazon.','1.0 out of 5 stars',It's not even rubber. It's lowest quality foam shaped like a footwear. Don't ever buy it..!!!
'B0BCF988TS','Worst quality.... Roadside quality','1.0 out of 5 stars','Worst quality'
'B0BCF988TS','picture one hesnd one product','1.0 out of 5 stars','west product'
'B0BCF988TS','Cheap material','1.0 out of 5 stars',"It's very soft and comfortable to use inside a dry house. But it's very risky to wear on a slippery or wet floor, it can make you fall down and hurt you very seriously."
'B0BCF988TS','👍','5.0 out of 5 stars','Awesome product'
'B0BCF988TS','Excellent product','5.0 out of 5 stars','Like good soft for sr.citizen'
'B0BCF988TS','1 din mai ye hal h bhai koi mat kharidna','1.0 out of 5 stars','The media could not be loaded. Tharmakol ka chappal h ek dam bakwas quality h .Jo kharide ga us ka paisa wast ho gaya samjo'
'B0BCF988TS','Must hai bro','4.0 out of 5 stars',''
