item,title,rating,body
'B0BD8FJ4QT','Good product','4.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rioju9flfpxhe_1697118876539""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-0541286-5073618""refMarkers:""vse_reviews_desktop_RIOJU9FLFPXHE_1697118876539_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""J6G27Y5WAFC04WMVWJB3""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RIOJU9FLFPXHE""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RIOJU9FLFPXHE_1697118876539_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/2947bb83-d013-4531-ba9c-1f88888ef9e2.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/15a5066f-14bc-4180-89d4-0536b65a17eb/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RIOJU9FLFPXHE""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rioju9flfpxhe_1697118876539-player-12244bb2-9f95-4369-b10c-906ae5583c5c""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""J6G27Y5WAFC04WMVWJB3""pageAsin:""""sessionId:""259-0541286-5073618""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-0541286-5073618""refMarkers:""vse_reviews_desktop_RIOJU9FLFPXHE_1697118876539_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""J6G27Y5WAFC04WMVWJB3""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RIOJU9FLFPXHE""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RIOJU9FLFPXHE_1697118876539_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51wUtejS2eL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. I am using it for iphone and MacBook pro charging purpose.'"
'B0BD8FJ4QT','Fast charger','5.0 out of 5 stars','Compact in size  fast in charging  great build quality best for everyone .'
'B0BD8FJ4QT','Excellent','5.0 out of 5 stars','Small yet so functional  efficient durable and working very well to charge very rapidly'
'B0BD8FJ4QT','Good Product','5.0 out of 5 stars','Impressed with the quality of the products'
'B0BD8FJ4QT','One of the ports not charging','1.0 out of 5 stars','Dislike the quality. It is a two port charger and only one port charging is working. Since the product is under warranty please change the defective piece and give a good one.'
'B0BD8FJ4QT','Best Quality','5.0 out of 5 stars','Best Design and Fast charging'
'B0BD8FJ4QT','Fast charging','5.0 out of 5 stars','Fast charging is good'
'B0BD8FJ4QT',It's a fantastic addition to my tech arsenal!,'5.0 out of 5 stars',"I recently purchased the COSTAR 33W Dual Port Fast Charger QC/PD, and I couldn't be happier with my purchase! This charger is an absolute game-changer for anyone looking to charge multiple devices quickly and efficiently.  The dual-port design is incredibly convenient, allowing me to charge both my USB and Type C devices simultaneously without any compromise in charging speed. Whether it's my smartphone, tablet, or any other gadgets, this charger handles them all with ease.  The fast charging capability is a real game-changer, reducing the time it takes to power up my devices significantly. I can now get a substantial battery boost in just a short amount of time, which is perfect for my busy lifestyle.  The build quality is top-notch, and I can tell that this charger is built to last. It feels sturdy and reliable, giving me the confidence that it will stand the test of time.  Overall, the COSTAR 33W Dual Port Fast Charger QC/PD is an exceptional product that delivers on its promises. It has made my life so much easier, and I highly recommend it to anyone in need of a reliable and fast charger for their devices."
'B0BD8FJ4QT','Worked for a month and conked off','2.0 out of 5 stars','Worked for a month then led to triping'
'B0BD8FJ4QT','SUPER FAST CHARGING','5.0 out of 5 stars','VERY GOOD BUILD QUALITY.. ITS PD ASTCHARGINGIS AWESOME AND THE OUTPUT IS SUPERB!!!THIS COLOUR MAKES THIS PRODUCT PREMIUM...'
'B0BD8FJ4QT','Good product','5.0 out of 5 stars','Value for Money'
'B0BD8FJ4QT','good built','5.0 out of 5 stars','good quality'
'B0BD8FJ4QT','The Charger bursted inside and stopped working','1.0 out of 5 stars','Inferior product. Charged bursted inside and stopped working.'
'B0BD8FJ4QT','GOOD POWER','5.0 out of 5 stars','HAS GOOD CHARGING CAPABILITY AND IS DUAL CHARGING TECHNOLOG IS AWESOME. ITS PERFORMANCE IS GOOD IN PD FAST CHARGING. ITS BUILD QUALITY IS AWESOME AND THE PLASTIC IS GOOD.'
'B0BD8FJ4QT','Very bad quality, not suitable','1.0 out of 5 stars''The media could not be loaded. Bad quality not working properly'
'B0BD8FJ4QT','Good','3.0 out of 5 stars','This charger is good. But fast charging not supported in my Vivo X60'
'B0BD8FJ4QT','About charge adaptor','5.0 out of 5 stars','The product is awesome and excellent👌👌'
'B0BD8FJ4QT','Product is good','5.0 out of 5 stars','Adapter quality is best.....'
'B0BD8FJ4QT','Waste','1.0 out of 5 stars','Second time it was replaced and again stopped working'
'B0BD8FJ4QT','Not a good product','1.0 out of 5 stars','Inspite of keeping it for 45 minutes charging does not complete even 45%. Not worth for the money spent'
'B0BD8FJ4QT','Charger stopped working after a few days. Bad customer care','1.0 out of 5 stars',The item isn't working. Their support is quite frustrating. It's been around a month that I claimed replacement under warranty and I haven't got my replacement charger yet.  The iPhone standard cable USB doesn't go in completely and I won't recommend it. Poor quality product which stopped working after a couple of days.
'B0BD8FJ4QT','Adapter','5.0 out of 5 stars','Fast charging was amazing'
'B0BD8FJ4QT','Awesome product','5.0 out of 5 stars','Awesome people just go for it. Im using iphone- full 100% requires just 50 minutes.'
'B0BD8FJ4QT','Good product.','5.0 out of 5 stars','As it states.. it is a good product and is bery compact as said but if youre like me and expected a cable to also come with it. Dont. It did not. Only the adaper will be given as said in its details. The 33W outlet is a usb c type so it is not something you will generally have around and will have to buy that extra.'
'B0BD8FJ4QT','No fast charging','1.0 out of 5 stars','No fast charging'
'B0BD8FJ4QT','Its hopeless product I want to return','1.0 out of 5 stars','Dislike 200% i had written one week back this product is not upto the quality mark hence i want you return the same and you assured me it will deliver by 21st august 2023 and nothing has been done now today is 22nd aug2023 pls update and confirm the same i never seen like this services from amazon'
'B0BD8FJ4QT','Seems a good PD charger','4.0 out of 5 stars',"Looks, fit and finish are very good. Hope it will last long. I've used it to charge my S23 phone. I can observe is quicker than my old chargers.  While charging, I feel mild shock on my mobile device. Which I don't see with my regular charger. I'm going to test with other mobiles. It's on the expensive side by 150rs."
'B0BD8FJ4QT','Works as expected','4.0 out of 5 stars','There is a slight earth when came in contact with the usb conductor'
'B0BD8FJ4QT','Best in the 33watt category......','5.0 out of 5 stars',Ultra compact and we'll build Quality....Best in this Price Tag
'B0BD8FJ4QT','Very bad charging','1.0 out of 5 stars','Very bad charging'
'B0BD8FJ4QT','Overheating issues','1.0 out of 5 stars','Overheating issues'
'B0BD8FJ4QT','Good quality charger','4.0 out of 5 stars','Works nice.'
'B0BD8FJ4QT','Excellent quality','5.0 out of 5 stars','Excellent quality and reasonable price fast charging thank you amazon and seller'
'B0BD8FJ4QT','Works well BUT ONLY FOR 2 MONTHS','1.0 out of 5 stars','Trash product built quality is good design is good I was very happy but post 2 months it suddenly stopped working even when it was always connected to a spike protector so I can safely deduce that there was no fault on the user end.'
'B0BD8FJ4QT','Excellent product','5.0 out of 5 stars','Tough build quality good power delivery value for money'
'B0BD8FJ4QT','Overpriced but kinda worth it','5.0 out of 5 stars','33W for 900 is abit too much but the charging speed is amazing. worth it if you got that $$$'
'B0BD8FJ4QT','Think before you buy - Explanation below','2.0 out of 5 stars',"'1. First thing first it\'s small and lightweight 2. You can charge two devices simultaneously 3. It\'s not an original charger. So think twice before buying. 4. I explored that it starts with ""Fast Charging"" and after a few minutes it changes its mode to ""Standard Charging"". So if you are thinking to buy it for charging your supported phone it won\'t help you. My phone supports Fast Charging 33W. But this device working like a normal charger. 5. No support for the device is available. If you face any issue with the product you are gone.'"
'B0BD8FJ4QT','Good charger does what it promises','5.0 out of 5 stars','Bought it as i needed a fast charger solved my problem'
'B0BD8FJ4QT','Bad quality','1.0 out of 5 stars','You will get electric shock from this charger whenever you put your phone for charge. Unfortunate to see company selling low quality product in amazon'
'B0BD8FJ4QT','Working as expected','5.0 out of 5 stars','Using it since couple of weeks and working as expected. Rapid charrge is working as expected.'
'B0BD8FJ4QT','Best charger','5.0 out of 5 stars','Osm quality super fast charging durable value for money🥰'
'B0BD8FJ4QT','Nice Product','5.0 out of 5 stars','Cheap and best price Good product'
'B0BD8FJ4QT','Àmazing Super Charger !!!','5.0 out of 5 stars','It is great to see charging Pixel 7a from 60% to 90% in 30 minutes and iPhone 14 from 50% to 90% in 30 minutes..Charger looks genuine and trustworthy for long term usage. 👍'
