item,title,rating,body
'B0BHTCVTC8','Very good finish','4.0 out of 5 stars','Every thing as stated is good but no where on the product the manufacturer name of KUBER is mentioned instead sticker of WONDER is pasted. Pl clarify.'
'B0BHTCVTC8','Poor Poor quality','1.0 out of 5 stars','The buckets were broken n taped n sent. No return allowed even though they told. Replacement also messed up n no Replacement done.'
'B0BHTCVTC8','Not very strong please use sparingly','3.0 out of 5 stars','Its not strong not durable esp the handles but its alright use it for occasional pick ups or with as minimum weight in it as possible for long term durability'
'B0BHTCVTC8','Good quality','5.0 out of 5 stars','Very useful. Value for money'
'B0BHTCVTC8','Durable & sturdy pvc bucket..','5.0 out of 5 stars','This pvc (plastic material) bucket is made up of elastic & durable plastic..'
'B0BHTCVTC8','Plastic Quality ❤️ go for it 💓','5.0 out of 5 stars','This Quality very good 👍 Perfect Size..easy to use Price at a reasonable amount..go for it'
'B0BHTCVTC8','Nice 👍','5.0 out of 5 stars','Go for it.. Quality very good Value for money 🎉 Price at a reasonable amount...best transparent Bucket..'
'B0BHTCVTC8','Excellent','5.0 out of 5 stars','This plastic bucket is a fantastic product that I highly recommend. This bucket is made of high quality. Another great feature of this plastic bucket is its versatility'
'B0BHTCVTC8','Build quality!','5.0 out of 5 stars','An exceptionally well built product with new colours at a reasonable price.. Nice quality product.'
'B0BHTCVTC8','Bucket is in gud quality.','5.0 out of 5 stars','Transparent bucket wid lid is nyc product. Hard plastic is used  vry useful thanku.'
