item,title,rating,body
'B0BJZDV7ZB','Superb quality','5.0 out of 5 stars','Thickness is good. Good absorbant socks.quality and colour combination is very premium.'
'B0BJZDV7ZB','Attractive design 😉','5.0 out of 5 stars','These are very comfortable with nice fabric quality and easy to use socs. They are very attractive with beautiful patterns and designs. Also seems quite durable and stable.👍🏻'
'B0BJZDV7ZB','Product is good','4.0 out of 5 stars','Size is 9 for footwear.This socks is tight for me. quality is ok . material is fine'
'B0BJZDV7ZB','Best quality at best price','5.0 out of 5 stars','Very good quality socks'
'B0BJZDV7ZB','Not cotton','1.0 out of 5 stars',It's polyester mixed cotton. Not suitable for long hours. Low quality for low cost.
'B0BJZDV7ZB','Good','5.0 out of 5 stars','The media could not be loaded. Good ordat'
'B0BJZDV7ZB','Size','5.0 out of 5 stars','Size is perfect... And colors are very bright'
'B0BJZDV7ZB','Socks are good','4.0 out of 5 stars','The socks are great but the ankle is a little small'
'B0BJZDV7ZB','Superb quality','5.0 out of 5 stars','The material is very good and soft. The size is perfect and they are very comfortable to wear The designs are pretty too. Really happy with the purchase'
'B0BJZDV7ZB','Soft and comfy','5.0 out of 5 stars','Firstly the colors are vibrant and beautiful secondly socks are of pure cotton and very soft'
'B0BJZDV7ZB','Bad quality and small size','1.0 out of 5 stars','Bad quality and small size'
'B0BJZDV7ZB','Superb quality','5.0 out of 5 stars','Just the way I wanted its thick cloth is soft and comfortable to wear. Comes in nice three colors. Overall loved this socks quality and the reasonable price would definitely buy back the same.'
'B0BJZDV7ZB','Comfortable','5.0 out of 5 stars','These socks are quite comfortable to wear colours and design is also cool.'
'B0BJZDV7ZB','Nice Comfy product','5.0 out of 5 stars','Value for money comfortable to wear looks exactly same as shown in pic  very soft.'
'B0BJZDV7ZB','Quality is good','5.0 out of 5 stars','Received the socks with perfect size and length. Quality is also upto the mark. Worthy product.'
'B0BJZDV7ZB','Greatest Experience... Quality is superb according to the price. I Would highly recommend it.','5.0 out of 5 stars','Greatest Experience... Quality is superb according to the price. I Would highly recommend it. thanks Amazon for this amazing gift.'
'B0BJZDV7ZB','Superb product','5.0 out of 5 stars',Material is very thick and takes very long to dry even in direct sun.The sock feels quite soft and cushy.It's worth for it's price.
'B0BJZDV7ZB','Superb Product','5.0 out of 5 stars',Material is very thick and takes very long to dry even in direct sun.The sock feels quite soft and cushy.It's worth for it's price.
'B0BJZDV7ZB','Worthy deal','5.0 out of 5 stars','I am doing this review after 3 weeks the Woodland socks that I used before this got torn after one and a half months and this deal is worth it after using them I felt they were good quality socks.'
'B0BJZDV7ZB','Very useful','5.0 out of 5 stars','Wonderful product. Very comfortable socks . Colour is very bright and design also too good . My son is happy with this wonderful socks .'
'B0BJZDV7ZB','Comfortable and fit','5.0 out of 5 stars','Fabulous socks just outstanding and comfortable'
'B0BJZDV7ZB','Superb quality','5.0 out of 5 stars',Prints and quality is too good. It's comfortable also. Easily washable. Soft from inside .one can surely buy this
'B0BJZDV7ZB','good quality product','5.0 out of 5 stars','this is very soft and eye catching product quality is soo good perfect fitting colour of all three is attractive and most important value for money thanks'
'B0BJZDV7ZB','Value for money','5.0 out of 5 stars','Very good product. Its best quality product. It is best for whom who believes in quality. Nice fabric. Nice and attractive colour. Will reorder at my next purchase.'
