item,title,rating,body
'B0BL11Q9D3','Average','1.0 out of 5 stars','Quality is not good and weast of amount that much'
'B0BL11Q9D3','Unable to unlock','2.0 out of 5 stars','Unable to unlock'
'B0BL11Q9D3','This product is too amazing','5.0 out of 5 stars','The weight is too light. The lock system is very good. The quality of the product is very amazing .'
'B0BL11Q9D3','Not durable','3.0 out of 5 stars','Not durable'
'B0BL11Q9D3','A Good product.','5.0 out of 5 stars','Ir is very light weight and very useful for cabin baggage.'
'B0BL11Q9D3','Good','4.0 out of 5 stars',It's good and handy. Value for money product.
'B0BL11Q9D3','Bad','2.0 out of 5 stars','Bad'
'B0BL11Q9D3','Poor quality','1.0 out of 5 stars',Very disappointed. Didn't expect from American tourister
'B0BL11Q9D3','Suitcase','5.0 out of 5 stars','Product very good but price very high'
'B0BL11Q9D3','Good item,worthy','5.0 out of 5 stars''Like'
'B0BL11Q9D3','No quality','2.0 out of 5 stars','Very bad..'
'B0BL11Q9D3','उत्पाद अच्छा है।','5.0 out of 5 stars','Pasand ke anusar Sahi time per delivery utpad Achcha Raha'
'B0BL11Q9D3','Dilivery saf and fast','5.0 out of 5 stars','Good'
'B0BL11Q9D3','Size issue','5.0 out of 5 stars','Quality is nice but too small'
'B0BL11Q9D3','Great travel bag','5.0 out of 5 stars','Nice product'
'B0BL11Q9D3','Nice and sturdy in use','5.0 out of 5 stars','Easy to carry... Enough space for 2-3 days trip for one person. Elegant look. Wheels are smooth n strong.'
'B0BL11Q9D3','Lock','2.0 out of 5 stars','Material quality ok but lock is very poor quality only after 2 month lock not working'
'B0BL11Q9D3','Suitcase looks very delicate','2.0 out of 5 stars',Suitcase looks very delicate and handle is not strong. It doesn't have side handle to lift. Not sure if we can fill to the brim as it looks delicate and feel like it may break open. For hand luggage this is not strong for travel .. I travelled once international..no complaints
'B0BL11Q9D3','Fantastic','5.0 out of 5 stars',Loved the Product alot. Quality vise it's great and the product is same like it is shown in the description.
'B0BL11Q9D3','Not bad','3.0 out of 5 stars','Average product according to price is not bad'
'B0BL11Q9D3','Good','4.0 out of 5 stars','Trolley bag is according to price good 👍😊'
'B0BL11Q9D3','Screcheed product received need to replace','4.0 out of 5 stars','Screcheed product received need to replace'
'B0BL11Q9D3','True value','4.0 out of 5 stars','Nice light weight trolly beg 56 cm'
'B0BL11Q9D3','प्रोडक्ट नहीं मिला अभी तक','2.0 out of 5 stars','प्रोडक्ट नहीं मिला अभी तक'
'B0BL11Q9D3','Super','5.0 out of 5 stars','Quality is goog'
'B0BL11Q9D3','perfect cabin trolly','5.0 out of 5 stars','As my requirement fulfil by tish trolley'
'B0BL11Q9D3','Good quality','5.0 out of 5 stars',''
'B0BL11Q9D3','Nice product','5.0 out of 5 stars','Good product'
'B0BL11Q9D3','Worth buying it','5.0 out of 5 stars','Value for money...'
'B0BL11Q9D3','Value for money','5.0 out of 5 stars','Good product'
'B0BL11Q9D3','Good.','5.0 out of 5 stars',"Bag is sturdy. It's small size, so we can carry it as a Handbagage in plane travelling."
'B0BL11Q9D3','Very nice and sturdy','5.0 out of 5 stars','Very nice and sturdy as always. I always prefer such product range.'
'B0BL11Q9D3','Colour difference from ordered','5.0 out of 5 stars','I placed order for black but received grey  But quality is good'
'B0BL11Q9D3','So. Many scared','1.0 out of 5 stars','So many scared'
'B0BL11Q9D3','Travel bag','4.0 out of 5 stars',It's good but small.
'B0BL11Q9D3','Poor quality','1.0 out of 5 stars','Dislike'
'B0BL11Q9D3','Happiness','5.0 out of 5 stars','Good product. satisfied and worth the price.'
'B0BL11Q9D3','BUY IT','4.0 out of 5 stars','The product is good and great value for money'
'B0BL11Q9D3','The zipper is por quality','3.0 out of 5 stars',The zipper quality is poor and it slips and doesn't lock when it's moved in one direction
'B0BL11Q9D3','Not good','1.0 out of 5 stars',"Bad product, don't buy Zip broke after 10 days"
'B0BL11Q9D3','Good','4.0 out of 5 stars','Good'
'B0BL11Q9D3','Good poduct','5.0 out of 5 stars','Good product'
'B0BL11Q9D3','Amazing Product','5.0 out of 5 stars',"This is the second time we bought this product. It's just amazing, the colour and the quality. Highly recommend this product."
'B0BL11Q9D3','Perfect','5.0 out of 5 stars','Best cabin bag at this price. Got it for an odd 1500 rs and couldn’t have asked for anything better.'
'B0BL11Q9D3','Quality','1.0 out of 5 stars','Quality is not good Body material is very cheap'
'B0BL11Q9D3','Very good product at this price','5.0 out of 5 stars','Quality product at affordable price with good packaging and service.'
'B0BL11Q9D3','Product is good','4.0 out of 5 stars','Product is good but the name has broken in the top of the bag'
'B0BL11Q9D3','Ok','4.0 out of 5 stars','Good'
'B0BL11Q9D3','Pretty good product','5.0 out of 5 stars','Reasonable price. Hope this lasts.'
'B0BL11Q9D3','good but small','3.0 out of 5 stars','Too small'
