item,title,rating,body
'B0BNV1FHVB','quality','4.0 out of 5 stars','good product'
'B0BNV1FHVB','Product damaged unable to return','1.0 out of 5 stars','We have ordered this products few days back but the handle is not working properly .'
'B0BNV1FHVB','Dint receive mop stick only mopping head of scotch pad received','1.0 out of 5 stars',''
'B0BNV1FHVB','Good','5.0 out of 5 stars','Easy to use'
'B0BNV1FHVB','There is no handle rod only mop head and cloth fibers are given','1.0 out of 5 stars','Part of the product is missing during delivery it handle.'
'B0BNV1FHVB','Spin not working','1.0 out of 5 stars','The mop stopped working in a month... they are not returning or exchanging the product... looks like it is fake or second quality!'
'B0BNV1FHVB','Very bad','1.0 out of 5 stars','Mera mop Bigada hua aaya tham Hai Maine replacement ka order Diya Hai Lekin abhi tak Kuchh Nahin hua bed mop'
'B0BNV1FHVB','Poor quality','1.0 out of 5 stars','Damaged product handle defects'
'B0BNV1FHVB','Good quality','5.0 out of 5 stars','Useful equipment for daily use'
'B0BNV1FHVB','Nice product','4.0 out of 5 stars','Good quality'
'B0BNV1FHVB','Sturdy','5.0 out of 5 stars','Better than local brands. Sturdy'
'B0BNV1FHVB','Waste of money','1.0 out of 5 stars','Worthless'
'B0BNV1FHVB','Bad and worst product','1.0 out of 5 stars','Bad product don’t buy it. Not sure how these guys designed and wanted ppl to use it.'
'B0BNV1FHVB','Very very good quality','5.0 out of 5 stars','This product is very very nice and very useful.'
'B0BNV1FHVB','Nice cleaning','4.0 out of 5 stars','Good quality mop'
'B0BNV1FHVB','👍','4.0 out of 5 stars','good product👍'
'B0BNV1FHVB','Effortless Floor Cleaning with Scotch-Brite 2-in-1 Spin Mop Head and Handle','5.0 out of 5 stars',"'""I purchased the Scotch-Brite Spin Mop Head and Handle specifically designed for the Scotch-Brite 2 in 1 Spin mop and I must say it\'s a very useful and durable product. It\'s flexible to use and makes mopping the floor easy. Thanks to this mop I no longer experience back pain.""'"
'B0BNV1FHVB','Very nice product and delivery boy','5.0 out of 5 stars','Material good all good'
'B0BNV1FHVB','Wonderful','5.0 out of 5 stars','Perfect for sweeping'
'B0BNV1FHVB','Nice product.','4.0 out of 5 stars',Without bucket it is very difficult to use it otherwise it's good. It is value for money durability is very nice. It's clean nice over all performance are good.
'B0BNV1FHVB','Good product','5.0 out of 5 stars','Performance is good Quality is very good 👍🏻'
'B0BNV1FHVB','Product is not upto the mark','2.0 out of 5 stars','So light and low quality'
'B0BNV1FHVB','Goog one','5.0 out of 5 stars','Must buy item'
'B0BNV1FHVB','Poor quality not expected from scotch brite','1.0 out of 5 stars','The back does not fix properly and this mop is jot compatible for the scotch Brite tub'
'B0BNV1FHVB','Defective product','1.0 out of 5 stars','The rod do not fix at all. Mostly the upper extension.'
'B0BNV1FHVB','Returned item not picked up','1.0 out of 5 stars','Service and manual was not given'
'B0BNV1FHVB','Not value for money','4.0 out of 5 stars','Bur product is ok 👍'
'B0BNV1FHVB','Your Return & cancel policy is very good','4.0 out of 5 stars','This mop is not fitting so pls cancel the order'
'B0BNV1FHVB','Quality','4.0 out of 5 stars','Good quality.go for it'
'B0BNV1FHVB','Poor quality','1.0 out of 5 stars',"Poor quality, not working from 2nd day, mop head doesn't rotate, the stick doesn't turn as it has to while mopping or squeezing water. Waste of money."
'B0BNV1FHVB','Good quality','4.0 out of 5 stars','Good quality mop.'
'B0BNV1FHVB','Quality','5.0 out of 5 stars','Nice product used for 1 month strong material very good material'
'B0BNV1FHVB','Good quality product','5.0 out of 5 stars','good quality'
'B0BNV1FHVB','Good','5.0 out of 5 stars','Worth'
'B0BNV1FHVB','Good product','4.0 out of 5 stars','Worth money'
'B0BNV1FHVB','NA','4.0 out of 5 stars','easy to use'
'B0BNV1FHVB','Sturdy','5.0 out of 5 stars','Firly long handles. Ease ofvuse.'
'B0BNV1FHVB','missing parts','1.0 out of 5 stars','bad product'
'B0BNV1FHVB','Mop','4.0 out of 5 stars','Too light  not strong enough.'
'B0BNV1FHVB','Seems counterfeit. Poor quality and no planatery rotation at bottom','1.0 out of 5 stars',The product seems counterfiet since the quality is extermely poor. The bottom also doens't roate.
'B0BNV1FHVB','ಉತ್ತಮ','5.0 out of 5 stars','ಉತ್ತಮ ಗುಣಮಟ್ಟದ ವಸ್ತು'
'B0BNV1FHVB','Spin Rod slips instead of rotating','1.0 out of 5 stars','Spin rod is slipping instead of rotating in the first use it self. Unable use it anymore.'
'B0BNV1FHVB','Good quality','5.0 out of 5 stars','Strong build quality.'
'B0BNV1FHVB','Damaged item delivered','1.0 out of 5 stars','Got damaged item and not working properly. Will return the product'
'B0BNV1FHVB','Not original product but of ok quality, price wise bit high','3.0 out of 5 stars''1Though scothch brite is a brand the label is not anywhere on the product 2 original handle was not this heavy and broad. So working with this is likeproblem 3. Quality was okay but price wise very high 4. Packaging was very bad. NOT ORIGNAL PRODUCT'
'B0BNV1FHVB','Handy scrub for mopping','5.0 out of 5 stars','A very handy and useful mop for floor cleaning'
'B0BNV1FHVB','Quality ok','3.0 out of 5 stars','Not smooth need to give hard push to spin'
'B0BNV1FHVB','Quality','5.0 out of 5 stars','Good'
'B0BNV1FHVB','Perfect','5.0 out of 5 stars','Perfectly served the need. Need to check the durability'
'B0BNV1FHVB','Bit heavy','3.0 out of 5 stars','Bought this mop to use with Scotch Brite jumper bucket even though I understood from the description that it is made to use with 2 in 1 spin mop bucket because spare jumper mop without the bucket is not available. This mop is a bit heavy compared to the original mop that came with jumper bucket.'
